Manager,Report Date,Value ($000),Shares,Option Type
"GROUP ONE TRADING, L.P.",12/31/2021,690,"36,181",
"CenterStar Asset Management, LLC",12/31/2021,675,"35,000",put
AGF INVESTMENTS INC.,12/31/2021,661,"34,705",
"BOKF, NA",12/31/2021,661,"34,687",
"Vident Investment Advisory, LLC",12/31/2021,636,"33,313",
"Robertson Stephens Wealth Management, LLC",12/31/2021,629,"33,031",
Cetera Advisors LLC,12/31/2021,624,"32,737",
"SIGNATUREFD, LLC",12/31/2021,619,"32,470",
CenterBook Partners LP,12/31/2021,600,"31,485",
Y-Intercept (Hong Kong) Ltd,12/31/2021,599,"31,427",
"BAKER TILLY WEALTH MANAGEMENT, LLC",12/31/2021,582,"30,543",
"Kestra Advisory Services, LLC",12/31/2021,581,"30,456",
Wealth Alliance,12/31/2021,581,"30,450",
"YOUSIF CAPITAL MANAGEMENT, LLC",12/31/2021,574,"30,082",
AE Wealth Management LLC,12/31/2021,570,"29,872",
"Johnson Financial Group, Inc.",12/31/2021,566,"29,662",
"Gyon Technologies Capital Management, LP",12/31/2021,557,"29,199",
CIGNA INVESTMENTS INC /NEW,12/31/2021,545,"28,563",
BANQUE PICTET & CIE SA,12/31/2021,540,"28,306",
"Focus Financial Network, Inc.",12/31/2021,539,"28,300",
FIERA CAPITAL CORP,12/31/2021,532,"27,913",
Brookstone Capital Management,12/31/2021,562,"27,824",
"Ashton Thomas Private Wealth, LLC",12/31/2021,519,"27,267",
Cumberland Partners Ltd,12/31/2021,508,"26,607",
HBK Sorce Advisory LLC,12/31/2021,497,"26,087",
NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO,12/31/2021,497,"26,060",
PEAPACK GLADSTONE FINANCIAL CORP,12/31/2021,496,"26,051",
RAYMOND JAMES TRUST N.A.,12/31/2021,486,"25,490",
"GRIMES & COMPANY, INC.",12/31/2021,480,"25,190",
ADVISOR PARTNERS LLC,12/31/2021,481,"25,184",
WESBANCO BANK INC,12/31/2021,473,"24,806",
MBB PUBLIC MARKETS I LLC,12/31/2021,469,"24,592",
Schonfeld Strategic Advisors LLC,12/31/2021,461,"24,200",
"WMS Partners, LLC",12/31/2021,458,"24,018",
MONTAG A & ASSOCIATES INC,12/31/2021,450,"23,574",
"ExodusPoint Capital Management, LP",12/31/2021,438,"22,967",
Trexquant Investment LP,12/31/2021,437,"22,896",
Veriti Management LLC,12/31/2021,431,"22,578",
"BUCKINGHAM STRATEGIC WEALTH, LLC",12/31/2021,423,"22,184",
Lingohr & Partner Asset Management GmbH,12/31/2021,419,"22,054",
GUGGENHEIM CAPITAL LLC,12/31/2021,405,"21,258",
"Laurel Wealth Advisors, Inc.",12/31/2021,405,"21,257",
D.A. DAVIDSON & CO.,12/31/2021,395,"20,729",
"MITCHELL & PAHL PRIVATE WEALTH, LLC",12/31/2021,394,"20,638",
CITADEL ADVISORS LLC,12/31/2021,387,"20,300",call
"Legg Mason Asset Management (Japan) Co., Ltd.",12/31/2021,386,"20,249",
BURKE & HERBERT BANK & TRUST CO,12/31/2021,386,"20,201",
Cetera Advisor Networks LLC,12/31/2021,385,"20,196",
Tacita Capital Inc,12/31/2021,382,"20,032",
GLENMEDE TRUST CO NA,12/31/2021,379,"19,894",
Sigma Planning Corp,12/31/2021,379,"19,885",
S. R. Schill & Associates,12/31/2021,376,"19,700",
"Allspring Global Investments Holdings, LLC",12/31/2021,370,"19,411",
"Private Advisor Group, LLC",12/31/2021,364,"19,076",
"Steward Partners Investment Advisory, LLC",12/31/2021,353,"18,508",
WETHERBY ASSET MANAGEMENT INC,12/31/2021,350,"18,374",
"DGS Capital Management, LLC",12/31/2021,350,"18,342",
NATIXIS,12/31/2021,344,"18,039",
Fayez Sarofim & Co,12/31/2021,342,"17,928",
BROWN BROTHERS HARRIMAN & CO,12/31/2021,338,"17,729",
K.J. Harrison & Partners Inc,12/31/2021,333,"17,468",
"Boothe Investment Group, Inc.",12/31/2021,333,"17,450",
"WOLVERINE TRADING, LLC",12/31/2021,323,"16,900",call
"CenterStar Asset Management, LLC",12/31/2021,336,"16,800",call
"CenterStar Asset Management, LLC",12/31/2021,320,"16,779",
"O'ROURKE & COMPANY, Inc",12/31/2021,316,"16,565",
EVERGREEN CAPITAL MANAGEMENT LLC,12/31/2021,309,"16,225",
"SUMMIT FINANCIAL GROUP, INC.",12/31/2021,309,"16,194",
Gulf International Bank (UK) Ltd,12/31/2021,308,"16,173",
"WEALTHSOURCE PARTNERS, LLC",12/31/2021,304,"15,962",
CREDIT AGRICOLE S A,12/31/2021,298,"15,631",
"Stratos Wealth Partners, LTD.",12/31/2021,297,"15,571",
Covington Capital Management,12/31/2021,295,"15,452",
OPPENHEIMER & CO INC,12/31/2021,292,"15,316",
TRUST CO OF VERMONT,12/31/2021,291,"15,265",
Doyle Wealth Management,12/31/2021,290,"15,225",
REGENTATLANTIC CAPITAL LLC,12/31/2021,286,"15,014",
NOMURA HOLDINGS INC,12/31/2021,286,"15,013",
CLIFFORD SWAN INVESTMENT COUNSEL LLC,12/31/2021,285,"14,925",
"Pacer Advisors, Inc.",12/31/2021,284,"14,881",
TownSquare Capital LLC,12/31/2021,269,"14,092",
WESTWOOD HOLDINGS GROUP INC,12/31/2021,263,"13,768",
RNC CAPITAL MANAGEMENT LLC,12/31/2021,262,"13,744",
Virtu Financial LLC,12/31/2021,252,"13,233",
"Mariner, LLC",12/31/2021,250,"13,105",
TD PRIVATE CLIENT WEALTH LLC,12/31/2021,249,"13,093",
ALGERT GLOBAL LLC,12/31/2021,249,"13,084",
Advisory Resource Group,12/31/2021,268,"12,855",
"Autus Asset Management, LLC",12/31/2021,241,"12,620",
"MATHER GROUP, LLC.",12/31/2021,240,"12,574",
"Fundamentun, LLC",12/31/2021,235,"12,347",
FINANCIAL COUNSELORS INC,12/31/2021,235,"12,323",
SYNOVUS FINANCIAL CORP,12/31/2021,234,"12,279",
JOHNSON INVESTMENT COUNSEL INC,12/31/2021,232,"12,168",
"KARPAS STRATEGIES, LLC",12/31/2021,229,"12,000",
"KESTRA PRIVATE WEALTH SERVICES, LLC",12/31/2021,228,"11,968",
Integrated Advisors Network LLC,12/31/2021,227,"11,900",
"Kistler-Tiffany Companies, LLC",12/31/2021,226,"11,835",
"Brinker Capital Investments, LLC",12/31/2021,226,"11,825",
"Pinnacle Wealth Planning Services, Inc.",12/31/2021,225,"11,819",
"Checchi Capital Advisers, LLC",12/31/2021,223,"11,687",
HUNTINGTON NATIONAL BANK,12/31/2021,221,"11,615",
"HAP Trading, LLC",12/31/2021,10,"11,600",put
"Heritage Financial Services, LLC",12/31/2021,217,"11,425",
BALASA DINVERNO & FOLTZ LLC,12/31/2021,217,"11,381",
PRUDENTIAL FINANCIAL INC,12/31/2021,217,"11,376",
KEYBANK NATIONAL ASSOCIATION/OH,12/31/2021,217,"11,353",
HARDING LOEVNER LP,12/31/2021,216,"11,300",
"BRANDES INVESTMENT PARTNERS, LP",12/31/2021,213,"11,187",
"Pekin Hardy Strauss, Inc.",12/31/2021,212,"11,124",
GREENLEAF TRUST,12/31/2021,211,"11,079",
"Hennion & Walsh Asset Management, Inc.",12/31/2021,210,"11,009",
"BLUEFIN CAPITAL MANAGEMENT, LLC",12/31/2021,210,"11,000",
"Sequoia Financial Advisors, LLC",12/31/2021,209,"10,975",
"Avidian Wealth Solutions, LLC",12/31/2021,209,"10,970",
FIRST NATIONAL BANK & TRUST CO OF NEWTOWN,12/31/2021,207,"10,892",
PARK NATIONAL CORP /OH/,12/31/2021,208,"10,890",
"BLUEFIN CAPITAL MANAGEMENT, LLC",12/31/2021,1,"10,800",put
Community Bank of Raymore,12/31/2021,203,"10,656",
CAMBRIDGE TRUST CO,12/31/2021,203,"10,641",
XTX Topco Ltd,12/31/2021,202,"10,611",
QUADRANT CAPITAL GROUP LLC,12/31/2021,202,"10,603",
"Stanley-Laman Group, Ltd.",12/31/2021,200,"10,474",
Sather Financial Group Inc,12/31/2021,198,"10,400",
GATEWAY INVESTMENT ADVISERS LLC,12/31/2021,193,"10,136",
MQS Management LLC,12/31/2021,192,"10,067",
"Hunting Hill Global Capital, LLC",12/31/2021,189,"10,000",
Knights of Columbus Asset Advisors LLC,12/31/2021,185,"9,680",
First Bank & Trust,12/31/2021,181,"9,490",
AMERICAN NATIONAL BANK,12/31/2021,177,"9,262",
Core Alternative Capital,12/31/2021,166,"8,708",
C M BIDWELL & ASSOCIATES LTD,12/31/2021,151,"7,895",
American Portfolios Advisors,12/31/2021,149,"7,823",
"Sandy Cove Advisors, LLC",12/31/2021,148,"7,760",
"Carroll Financial Associates, Inc.",12/31/2021,145,"7,704",
Belpointe Asset Management LLC,12/31/2021,141,"7,382",
"CONCOURSE FINANCIAL GROUP SECURITIES, INC.",12/31/2021,139,"7,274",
MACQUARIE GROUP LTD,12/31/2021,128,"6,735",
Geneos Wealth Management Inc.,12/31/2021,127,"6,710",
MUFG Americas Holdings Corp,12/31/2021,124,"6,480",
Rockefeller Capital Management L.P.,12/31/2021,112,"5,905",
WHITTIER TRUST CO,12/31/2021,112,"5,850",
"AdvisorNet Financial, Inc",12/31/2021,106,"5,561",
"TILIA FIDUCIARY PARTNERS, INC.",12/31/2021,99,"5,202",
"NEXT Financial Group, Inc",12/31/2021,95,"4,986",
Pacifica Partners Inc.,12/31/2021,97,"4,812",
MASSMUTUAL TRUST CO FSB/ADV,12/31/2021,88,"4,601",
JONES FINANCIAL COMPANIES LLLP,12/31/2021,85,"4,436",
Baystate Wealth Management LLC,12/31/2021,83,"4,335",
Glassman Wealth Services,12/31/2021,81,"4,267",
FIFTH THIRD BANCORP,12/31/2021,77,"4,036",
Snowden Capital Advisors LLC,12/31/2021,76,"4,033",
Regency Capital Management Inc.\DE,12/31/2021,76,"4,008",
"CWM, LLC",12/31/2021,76,"3,996",
WASHINGTON TRUST Co,12/31/2021,74,"3,878",
Banque Cantonale Vaudoise,12/31/2021,74,"3,850",
CENTRAL TRUST Co,12/31/2021,73,"3,810",
Kelly Financial Services LLC,12/31/2021,71,"3,772",
"CoreCap Advisors, LLC",12/31/2021,70,"3,646",
Tower Research Capital LLC (TRC),12/31/2021,65,"3,447",
Parkside Financial Bank & Trust,12/31/2021,65,"3,420",
UMB BANK N A/MO,12/31/2021,64,"3,340",
"Parallel Advisors, LLC",12/31/2021,58,"3,060",
"SIMPLEX TRADING, LLC",12/31/2021,57,"3,037",
"Lindbrook Capital, LLC",12/31/2021,56,"2,939",
"Graves-Light Private Wealth Management, Inc.",12/31/2021,55,"2,891",
BALDWIN BROTHERS LLC/MA,12/31/2021,53,"2,780",
CLEAR STREET MARKETS LLC,12/31/2021,51,"2,700",put
SALEM INVESTMENT COUNSELORS INC,12/31/2021,48,"2,500",
Cutler Group LP,12/31/2021,0,"2,500",put
Allworth Financial LP,12/31/2021,48,"2,495",
"Capital Analysts, LLC",12/31/2021,47,"2,462",
"Ancora Advisors, LLC",12/31/2021,47,"2,457",
"Bedel Financial Consulting, Inc.",12/31/2021,46,"2,430",
Sandy Spring Bank,12/31/2021,46,"2,387",
THOMPSON SIEGEL & WALMSLEY LLC,12/31/2021,44,"2,300",
"Aspire Private Capital, LLC",12/31/2021,44,"2,295",
