"Manager","Report Date","Value ($000)","Shares","Option Type"
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2023","4,634","209,700","call"
"STIFEL FINANCIAL CORP","12/31/2023","4,602","208,238",""
"Corient Private Wealth LLC","12/31/2023","4,500","203,629",""
"TRUIST FINANCIAL CORP","12/31/2023","4,463","201,973",""
"Lorne Steinberg Wealth Management Inc.","12/31/2023","4,444","201,094",""
"PRUDENTIAL FINANCIAL INC","12/31/2023","4,448","200,447",""
"Raymond James Financial Services Advisors, Inc.","12/31/2023","4,400","199,140",""
"JANUS HENDERSON GROUP PLC","12/31/2023","4,377","197,259",""
"CAPTRUST FINANCIAL ADVISORS","12/31/2023","4,124","186,614",""
"Credential Qtrade Securities Inc.","12/31/2023","4,105","185,735",""
"Mariner, LLC","12/31/2023","4,034","182,552",""
"Barry Investment Advisors, LLC","12/31/2023","4,029","182,334",""
"AJOVista, LLC","12/31/2023","4,012","181,600",""
"Thrivent Financial for Lutherans","12/31/2023","3,988","180,465",""
"Madison Asset Management, LLC","12/31/2023","3,820","172,854",""
"Crossmark Global Holdings, Inc.","12/31/2023","3,739","169,173",""
"OSSIAM","12/31/2023","3,700","166,639",""
"FIFTH THIRD BANCORP","12/31/2023","3,512","158,916",""
"Investment Management Corp of Ontario","12/31/2023","3,488","157,873",""
"D. E. Shaw & Co., Inc.","12/31/2023","3,427","155,140",""
"Balyasny Asset Management L.P.","12/31/2023","3,374","152,696",""
"CITADEL ADVISORS LLC","12/31/2023","3,348","151,525",""
"RITHOLTZ WEALTH MANAGEMENT","12/31/2023","3,316","150,058",""
"BANK OF AMERICA CORP /DE/","12/31/2023","3,315","150,000","put"
"Creative Planning","12/31/2023","3,305","149,571",""
"Susquehanna Portfolio Strategies, LLC","12/31/2023","3,286","148,700",""
"Maryland State Retirement & Pension System","12/31/2023","3,189","144,253",""
"Stamos Capital Partners, L.P.","12/31/2023","3,019","136,620",""
"ONTARIO TEACHERS PENSION PLAN BOARD","12/31/2023","3,001","135,828",""
"Varma Mutual Pension Insurance Co","12/31/2023","2,926","131,800",""
"Harvest Portfolios Group Inc.","12/31/2023","2,898","131,162",""
"VOLORIDGE INVESTMENT MANAGEMENT, LLC","12/31/2023","2,888","130,707",""
"SPINNAKER TRUST","12/31/2023","2,825","127,835",""
"Vident Advisory, LLC","12/31/2023","2,783","125,510",""
"Ensign Peak Advisors, Inc","12/31/2023","2,670","123,300",""
"Integrated Wealth Concepts LLC","12/31/2023","2,628","118,915",""
"PRINCIPAL FINANCIAL GROUP INC","12/31/2023","2,618","117,900",""
"Quantinno Capital Management LP","12/31/2023","2,603","117,801",""
"ICON ADVISERS INC/CO","12/31/2023","2,603","117,800",""
"Rathbones Group PLC","12/31/2023","2,590","116,650",""
"HighTower Advisors, LLC","12/31/2023","2,576","116,546",""
"DAVENPORT & Co LLC","12/31/2023","2,566","116,121",""
"Sequoia Financial Advisors, LLC","12/31/2023","2,504","113,333",""
"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC","12/31/2023","2,497","113,001",""
"CITADEL ADVISORS LLC","12/31/2023","2,291","103,700","call"
"Trexquant Investment LP","12/31/2023","2,211","100,073",""
"KEYBANK NATIONAL ASSOCIATION/OH","12/31/2023","2,176","98,493",""
"Cambridge Investment Research Advisors, Inc.","12/31/2023","2,176","98,479",""
"Atria Investments, Inc","12/31/2023","2,156","97,565",""
"Bridge Creek Capital Management LLC","12/31/2023","2,026","91,675",""
"Cresset Asset Management, LLC","12/31/2023","2,011","91,010",""
"Claret Asset Management Corp","12/31/2023","1,987","89,860",""
