Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
MEG ENERGY CORP,"  404,064.00 "," $ 5,258,470,523 ", $ 13.92 ,"  2,368,463 ","  2,384,503 ",0.11%,"  2,533.70 ","  2,550.86 "
NRG ENERGY INC,"  106,181.00 "," $ 15,176,632,000 ", $ 31.82 ,"  37,559,433 ","  37,561,865 ",0.02%,"  8,361.62 ","  8,362.16 "
NUVISTA ENERGY LTD,"  1,231,217.00 "," $ 2,236,125,334 ", $ 9.22 ,"  384,381 ","  755,312 ",0.51%,"  1,950.75 ","  3,833.24 "
OBSIDIAN ENERGY LTD,"  29,600.00 "," $ 717,018,885 ", $ 6.63 ,"  395,426 ","  395,426 ",0.03%,  108.27 ,  108.27 
OCCIDENTAL PETROLEUM CORP,"  310,975.00 "," $ 86,606,114,900 ", $ 62.99 ,"  22,500,000 ","  239,500,000 ",0.02%,"  5,088.98 ","  54,169.40 "
OGE ENERGY CORP,"  11,717.00 "," $ 12,413,210,000 ", $ 39.55 ,"  10,125,700 ","  18,749,700 ",0.00%,  378.01 ,  699.96 
ONEOK INC,"  1,783,433.00 "," $ 42,881,524,600 ", $ 65.70 ,"  6,600,000 ","  70,900,000 ",0.27%,"  18,034.16 ","  193,730.58 "
OVINTIV INC,"  279,347.00 "," $ 16,947,447,000 ", $ 50.71 ,"  3,738,714 ","  3,738,714 ",0.08%,"  3,125.04 ","  3,125.04 "
PAMPA ENERGIA SA-SPON ADR,  -   ," $ 762,848,269,900 ", $ 31.94 ,"  7,809,890 ","  7,809,890 ",0.00%,  -   ,  -   
PARAMOUNT RESOURCES LTD -A,"  231,907.00 "," $ 3,132,817,520 ", $ 21.15 ,"  560,451 ","  560,451 ",0.16%,  877.56 ,  877.56 
PARKLAND CORP,"  158,127.00 "," $ 8,516,333,237 ", $ 21.94 ,"  616,420 ","  616,420 ",0.04%,  251.14 ,  251.14 
PEYTO EXPLORATION & DEV CORP,"  905,809.00 "," $ 2,406,710,113 ", $ 10.24 ,"  713,781 ","  713,781 ",0.39%,"  2,751.95 ","  2,751.95 "
PEMBINA PIPELINE CORP,"  24,660,473.00 "," $ 28,162,846,184 ", $ 33.94 ,"  4,139,710 ","  5,873,170 ",2.97%,"  123,044.37 ","  174,567.91 "
PETROBRAS - PETROLEO BRAS-PR,"  106,158.00 "," $ 101,761,754,548 ", $ 4.64 ,"  47,902,355 ","  491,186,355 ",0.00%,  231.69 ,"  2,375.77 "
P G & E CORP,"  1,366,441.00 "," $ 85,165,383,300 ", $ 16.26 ,"  4,049,399 ","  45,554,598 ",0.03%,"  1,056.43 ","  11,884.49 "
PHILLIPS 66,"  444,774.00 "," $ 65,181,041,200 ", $ 104.08 ,"  31,200,000 ","  385,200,000 ",0.07%,"  22,158.48 ","  273,572.01 "
