"Manager","Report Date","Value ($000)","Shares","Option Type"
"Cardinal Capital Management, Inc.","12/31/2023","111,042","2,298,883",""
"TORONTO DOMINION BANK","12/31/2023","106,716","2,216,800",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2023","102,523","2,123,308",""
"FEDERATED HERMES, INC.","12/31/2023","99,500","2,066,907",""
"MUFG SECURITIES (CANADA), LTD.","12/31/2023","94,373","1,950,000",""
"MORGAN STANLEY","12/31/2023","92,638","1,924,347",""
"MORGAN STANLEY","12/31/2023","92,638","1,924,347",""
"Invesco Ltd.","12/31/2023","90,266","1,875,086",""
"BANK OF AMERICA CORP /DE/","12/31/2023","89,111","1,851,100","call"
"AMUNDI","12/31/2023","86,984","1,828,941",""
"Value Partners Investments Inc.","12/31/2023","80,923","1,677,568",""
"Federation des caisses Desjardins du Quebec","12/31/2023","81,673","1,653,659",""
"FIRST TRUST ADVISORS LP","12/31/2023","72,049","1,496,646",""
"CREDIT SUISSE AG/","12/31/2023","69,679","1,447,441",""
"BANK OF MONTREAL /CAN/","12/31/2023","68,897","1,422,600","call"
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2023","68,020","1,412,642",""
"Nuveen Asset Management, LLC","12/31/2023","64,143","1,325,548",""
"Value Partners Investments Inc.","12/31/2023","54,362","1,312,753",""
"Bank of New York Mellon Corp","12/31/2023","51,526","1,070,352",""
"TORONTO DOMINION BANK","12/31/2023","48,014","997,400",""
"Public Sector Pension Investment Board","12/31/2023","46,304","957,010",""
"Alberta Investment Management Corp","12/31/2023","45,921","949,100",""
"Clearbridge Investments, LLC","12/31/2023","44,779","930,191",""
"BlackRock Inc.","12/31/2023","42,262","877,904",""
"LINCLUDEN MANAGEMENT LTD","12/31/2023","41,775","867,719",""
"AMUNDI","12/31/2023","54,791","858,731",""
"ENVESTNET ASSET MANAGEMENT INC","12/31/2023","39,219","814,700",""
"RAYMOND JAMES & ASSOCIATES","12/31/2023","38,369","797,044",""
"WELLS FARGO & COMPANY/MN","12/31/2023","36,765","763,225",""
"1832 Asset Management L.P.","12/31/2023","36,304","754,145",""
"Triasima Portfolio Management inc.","12/31/2023","35,234","730,425",""
"AVIVA PLC","12/31/2023","34,574","715,590",""
"OMERS ADMINISTRATION Corp","12/31/2023","34,532","713,700",""
"GUARDIAN CAPITAL LP","12/31/2023","33,607","694,580",""
"D. E. Shaw & Co., Inc.","12/31/2023","33,324","692,300","call"
"Korea Investment CORP","12/31/2023","32,549","673,047",""
"FRANKLIN RESOURCES INC","12/31/2023","31,254","649,089",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2023","29,190","607,174",""
"CIDEL ASSET MANAGEMENT INC","12/31/2023","29,200","603,507",""
"MILLENNIUM MANAGEMENT LLC","12/31/2023","38,328","601,000","put"
"MILLENNIUM MANAGEMENT LLC","12/31/2023","38,328","601,000","call"
"HSBC HOLDINGS PLC","12/31/2023","26,792","556,521",""
"LPL Financial LLC","12/31/2023","25,759","535,088",""
"State of Tennessee, Treasury Department","12/31/2023","25,350","523,939",""
"Galibier Capital Management Ltd.","12/31/2023","24,817","512,922",""
"BANK OF AMERICA CORP /DE/","12/31/2023","24,122","501,100","put"
"GUARDIAN CAPITAL ADVISORS LP","12/31/2023","24,001","494,087",""
"PORTLAND INVESTMENT COUNSEL INC.","12/31/2023","21,714","450,966",""
"NORTHERN TRUST CORP","12/31/2023","20,105","417,647",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2023","19,934","412,000",""
"Grantham, Mayo, Van Otterloo & Co. LLC","12/31/2023","18,067","374,898",""
"Russell Investments Group, Ltd.","12/31/2023","17,837","368,818",""
"FORSTA AP-FONDEN","12/31/2023","17,568","363,100",""
"UBS Group AG","12/31/2023","17,181","356,914",""
"TORONTO DOMINION BANK","12/31/2023","16,946","352,028",""
"Pictet Asset Management Holding SA","12/31/2023","16,473","340,476",""
"Zurcher Kantonalbank (Zurich Cantonalbank)","12/31/2023","16,215","335,143",""
"TWO SIGMA INVESTMENTS, LP","12/31/2023","16,073","333,888",""
"CITIGROUP INC","12/31/2023","16,057","331,863",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2023","15,135","314,400","call"
"Foresight Global Investors, Inc.","12/31/2023","14,925","310,041",""
"Unigestion Holding SA","12/31/2023","14,081","292,433",""
"NEUBERGER BERMAN GROUP LLC","12/31/2023","14,135","292,146",""
"VOLORIDGE INVESTMENT MANAGEMENT, LLC","12/31/2023","14,053","291,933",""
"HSBC HOLDINGS PLC","12/31/2023","13,024","270,000","call"
"CITADEL ADVISORS LLC","12/31/2023","12,453","258,700","call"
"Candriam S.C.A.","12/31/2023","12,264","253,465",""
"Hillsdale Investment Management Inc.","12/31/2023","12,080","250,776",""
"TRUIST FINANCIAL CORP","12/31/2023","11,983","248,933",""
"Investment Management Corp of Ontario","12/31/2023","11,767","244,446",""
"Quadrature Capital Ltd","12/31/2023","11,327","234,900",""
"Onex Canada Asset Management Inc.","12/31/2023","11,272","234,127",""
"Crossmark Global Holdings, Inc.","12/31/2023","10,991","228,311",""
"Addenda Capital Inc.","12/31/2023","14,753","228,018",""
"Northwest & Ethical Investments L.P.","12/31/2023","10,872","225,802",""
"D. E. Shaw & Co., Inc.","12/31/2023","10,758","223,500","put"
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2023","10,591","218,892",""
"M&G INVESTMENT MANAGEMENT LTD","12/31/2023","10,390","215,124",""
"DekaBank Deutsche Girozentrale","12/31/2023","9,973","208,987",""
"AMERICAN CENTURY COMPANIES INC","12/31/2023","9,653","200,498",""
"BAROMETER CAPITAL MANAGEMENT INC.","12/31/2023","12,030","188,650",""
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC","12/31/2023","8,488","176,287",""
"STIFEL FINANCIAL CORP","12/31/2023","8,475","176,062",""
"Maryland State Retirement & Pension System","12/31/2023","7,964","165,406",""
"Pinnacle Financial Partners Inc","12/31/2023","7,839","162,849",""
"Lorne Steinberg Wealth Management Inc.","12/31/2023","7,808","162,137",""
"Claret Asset Management Corp","12/31/2023","7,572","157,179",""
"AXA S.A.","12/31/2023","7,358","152,855",""
"AXA S.A.","12/31/2023","7,358","152,855",""
"BANK OF NOVA SCOTIA TRUST CO","12/31/2023","6,950","144,390",""
"USS Investment Management Ltd","12/31/2023","6,850","142,258",""
"FMR LLC","12/31/2023","6,354","131,978",""
"Rathbones Group PLC","12/31/2023","5,764","119,152",""
"VAN ECK ASSOCIATES CORP","12/31/2023","5,644","117,218",""
"Skandinaviska Enskilda Banken AB (publ)","12/31/2023","4,241","116,376",""
"JANE STREET GROUP, LLC","12/31/2023","5,582","115,962",""
"Utah Retirement Systems","12/31/2023","5,170","106,855",""
"GTS SECURITIES LLC","12/31/2023","4,664","96,900","call"
"Power Corp of Canada","12/31/2023","4,574","94,861",""
"Walleye Trading LLC","12/31/2023","4,529","94,100","call"
"Zions Bancorporation, N.A.","12/31/2023","4,376","90,921",""
"JANUS HENDERSON GROUP PLC","12/31/2023","4,381","90,539",""
"Lipe & Dalton","12/31/2023","4,355","90,470",""
"NAPLES GLOBAL ADVISORS, LLC","12/31/2023","4,294","88,165",""
"NEW YORK STATE COMMON RETIREMENT FUND","12/31/2023","4,109","85,348",""
"OSSIAM","12/31/2023","3,975","82,161",""
"DEAN INVESTMENT ASSOCIATES, LLC","12/31/2023","3,906","81,157",""
"Janney Montgomery Scott LLC","12/31/2023","3,704","76,935",""
"Ilmarinen Mutual Pension Insurance Co","12/31/2023","3,692","76,714",""
"MILLENNIUM MANAGEMENT LLC","12/31/2023","3,646","75,750",""
"Assenagon Asset Management S.A.","12/31/2023","3,588","74,200",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2023","3,514","73,000","put"
"Nexus Investment Management ULC","12/31/2023","3,476","71,966",""
"CenterBook Partners LP","12/31/2023","3,460","71,888",""
"Parallax Volatility Advisers, L.P.","12/31/2023","3,369","70,000","call"
"Parallax Volatility Advisers, L.P.","12/31/2023","3,369","70,000","put"
"PCJ Investment Counsel Ltd.","12/31/2023","3,320","68,970",""
"PRINCIPAL FINANCIAL GROUP INC","12/31/2023","3,304","68,300",""
"ALLIANCEBERNSTEIN L.P.","12/31/2023","3,030","62,956",""
"Harvest Portfolios Group Inc.","12/31/2023","2,951","61,289",""
"Ensign Peak Advisors, Inc","12/31/2023","2,836","60,100",""
"CITADEL ADVISORS LLC","12/31/2023","2,811","58,400","put"
"Cubist Systematic Strategies, LLC","12/31/2023","2,758","57,300","put"
"MML INVESTORS SERVICES, LLC","12/31/2023","2,735","56,813",""
"Metis Global Partners, LLC","12/31/2023","2,690","55,876",""
"Allianz Asset Management GmbH","12/31/2023","2,617","54,131",""
"Gold Investment Management Ltd.","12/31/2023","2,552","53,003",""
"DAVENPORT & Co LLC","12/31/2023","2,383","49,508",""
"Credential Qtrade Securities Inc.","12/31/2023","2,312","48,015",""
"PEAK6 Investments LLC","12/31/2023","2,281","47,400","call"
"Te Ahumairangi Investment Management Ltd","12/31/2023","2,261","46,737",""
"TD PRIVATE CLIENT WEALTH LLC","12/31/2023","2,157","44,812",""
"Quantbot Technologies LP","12/31/2023","2,151","44,699",""
"Envestnet Portfolio Solutions, Inc.","12/31/2023","2,099","43,621",""
"SHELL ASSET MANAGEMENT CO","12/31/2023","2,050","42,392",""
"AE Wealth Management LLC","12/31/2023","1,919","41,927",""
"Creative Planning","12/31/2023","1,981","41,161",""
"NATIXIS ADVISORS, L.P.","12/31/2023","1,962","40,776",""
"CIBC Private Wealth Group, LLC","12/31/2023","1,867","38,798",""
"AGF MANAGEMENT LTD","12/31/2023","2,138","38,546",""
"First Bank & Trust","12/31/2023","1,840","38,240",""
"HighTower Advisors, LLC","12/31/2023","1,804","37,495",""
"Fiera Capital Corp","12/31/2023","1,801","37,300",""
"DORCHESTER WEALTH MANAGEMENT Co","12/31/2023","1,780","36,901",""
"Capital International, Inc./CA/","12/31/2023","1,749","36,352",""
"UNITED SERVICES AUTOMOBILE ASSOCIATION","12/31/2023","1,668","34,659",""
"MIRABELLA FINANCIAL SERVICES LLP","12/31/2023","1,667","34,630",""
"K.J. Harrison & Partners Inc","12/31/2023","1,616","33,501",""
"Mesirow Financial Investment Management, Inc.","12/31/2023","1,578","32,787",""
"AMERIPRISE FINANCIAL INC","12/31/2023","1,851","31,504",""
"OSAIC HOLDINGS, INC.","12/31/2023","1,471","30,554",""
"American Assets Investment Management, LLC","12/31/2023","1,444","30,000",""
"Cetera Investment Advisers","12/31/2023","1,443","29,978",""
"APG Asset Management N.V.","12/31/2023","1,300","29,682",""
"Canoe Financial LP","12/31/2023","1,396","29,000",""
"CAPITAL FUND MANAGEMENT S.A.","12/31/2023","1,386","28,800","put"
"Fulton Bank, N.A.","12/31/2023","1,365","28,368",""
"PNC FINANCIAL SERVICES GROUP, INC.","12/31/2023","1,362","28,302",""
"PARK CIRCLE Co","12/31/2023","1,347","28,000",""
"Mariner, LLC","12/31/2023","1,319","27,409",""
"JARISLOWSKY, FRASER Ltd","12/31/2023","1,311","27,106",""
"Atria Investments, Inc","12/31/2023","1,295","26,918",""
"HRT FINANCIAL LP","12/31/2023","1,294","26,896",""
"Octavia Wealth Advisors, LLC","12/31/2023","1,288","26,398",""
"D. E. Shaw & Co., Inc.","12/31/2023","1,232","25,600",""
"Bayesian Capital Management, LP","12/31/2023","1,215","25,243",""
"COMMONWEALTH EQUITY SERVICES, LLC","12/31/2023","1,188","24,671",""
"Raleigh Capital Management Inc.","12/31/2023","1,186","24,656",""
"Man Group plc","12/31/2023","1,161","24,015",""
"Intrua Financial, LLC","12/31/2023","1,121","23,287",""
"STEPHENS INC /AR/","12/31/2023","1,113","23,134",""
"First County Bank /CT/","12/31/2023","1,081","22,470",""
"Mitsubishi UFJ Trust & Banking Corp","12/31/2023","1,079","22,424",""
"OPPENHEIMER & CO INC","12/31/2023","1,037","21,554",""
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main","12/31/2023","1,035","21,500",""
"Investors Research Corp","12/31/2023","1,027","21,350",""
"Point72 Asset Management, L.P.","12/31/2023","1,010","21,000",""
"PINNACLE ASSOCIATES LTD","12/31/2023","957","19,900",""
"SIGNATUREFD, LLC","12/31/2023","925","19,219",""
"Vanguard Personalized Indexing Management, LLC","12/31/2023","908","18,881",""
"Versor Investments LP","12/31/2023","874","18,159",""
"Vontobel Holding Ltd.","12/31/2023","859","17,860",""
"AVANTAX ADVISORY SERVICES, INC.","12/31/2023","859","17,857",""
"PNC FINANCIAL SERVICES GROUP, INC.","12/31/2023","848","17,619",""
"CIGNA INVESTMENTS INC /NEW","12/31/2023","841","17,380",""
"Cetera Advisor Networks LLC","12/31/2023","813","16,908",""
"BANQUE PICTET & CIE SA","12/31/2023","1,070","16,776","call"
"BARCLAYS PLC","12/31/2023","795","16,511",""
"Pathstone Holdings, LLC","12/31/2023","793","16,395",""
"ASSETMARK, INC","12/31/2023","762","15,846",""
"Cubist Systematic Strategies, LLC","12/31/2023","755","15,700","call"
"TWO SIGMA ADVISERS, LP","12/31/2023","750","15,600",""
"Verdence Capital Advisors LLC","12/31/2023","746","15,503",""
"YOUSIF CAPITAL MANAGEMENT, LLC","12/31/2023","742","15,416",""
"Integrated Wealth Concepts LLC","12/31/2023","701","14,572",""
"Raymond James Financial Services Advisors, Inc.","12/31/2023","689","14,324",""
"CAPTRUST FINANCIAL ADVISORS","12/31/2023","680","14,136",""
"Grove Bank & Trust","12/31/2023","675","14,041",""
"Cutler Group LLC / CA","12/31/2023","48","13,800","call"
"Wealth Alliance","12/31/2023","658","13,689",""
"Walleye Trading LLC","12/31/2023","654","13,600","put"
"RAYMOND JAMES TRUST N.A.","12/31/2023","653","13,576",""
"US BANCORP \DE\","12/31/2023","634","13,173",""
"Hilltop Holdings Inc.","12/31/2023","628","13,050",""
"Quantinno Capital Management LP","12/31/2023","618","12,842",""
"Gradient Investments LLC","12/31/2023","604","12,562",""
"AJOVista, LLC","12/31/2023","596","12,400",""
"Signal Advisors Wealth, LLC","12/31/2023","604","12,388",""
"Keudell/Morrison Wealth Management","12/31/2023","594","12,355",""
"Laird Norton Wetherby Wealth Management, LLC","12/31/2023","580","12,068",""
"Meridian Wealth Management, LLC","12/31/2023","576","11,970",""
"Kestra Advisory Services, LLC","12/31/2023","554","11,512",""
"Trexquant Investment LP","12/31/2023","539","11,206",""
"Aull & Monroe Investment Management Corp","12/31/2023","539","11,200",""
"Squarepoint Ops LLC","12/31/2023","528","10,982",""
"REUTER JAMES WEALTH MANAGEMENT, LLC","12/31/2023","523","10,884",""
"STRS OHIO","12/31/2023","520","10,754",""
"M&T Bank Corp","12/31/2023","509","10,592",""
"Berger Financial Group, Inc","12/31/2023","505","10,494",""
"BLAIR WILLIAM & CO/IL","12/31/2023","494","10,270",""
"MAIRS & POWER INC","12/31/2023","489","10,176",""
"Engineers Gate Manager LP","12/31/2023","477","9,924",""
"MERCER GLOBAL ADVISORS INC /ADV","12/31/2023","477","9,907",""
"Savant Capital, LLC","12/31/2023","472","9,809",""
"Cerity Partners LLC","12/31/2023","470","9,778",""
"Cambridge Investment Research Advisors, Inc.","12/31/2023","463","9,627",""
"Walleye Capital LLC","12/31/2023","457","9,500","put"
"Park Place Capital Corp","12/31/2023","454","9,441",""
"XTX Topco Ltd","12/31/2023","454","9,436",""
"VAUGHAN & Co SECURITIES, INC.","12/31/2023","450","9,363",""
"Slagle Financial, LLC","12/31/2023","222","9,234",""
"Orion Porfolio Solutions, LLC","12/31/2023","442","9,229",""
"Orion Portfolio Solutions, LLC","12/31/2023","442","9,229",""
"EVERGREEN CAPITAL MANAGEMENT LLC","12/31/2023","431","8,956",""
"BARTLETT & CO. WEALTH MANAGEMENT LLC","12/31/2023","433","8,896",""
"Bartlett & Co. LLC","12/31/2023","0","8,896",""
"Chesley Taft & Associates LLC","12/31/2023","411","8,547",""
"Corient Private Wealth LLC","12/31/2023","410","8,535",""
"Pacer Advisors, Inc.","12/31/2023","404","8,394",""
"Cumberland Partners Ltd","12/31/2023","321","8,308",""
"Tower Research Capital LLC (TRC)","12/31/2023","399","8,299",""
"NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO","12/31/2023","397","8,259",""
"Procyon Advisors, LLC","12/31/2023","394","8,200",""
"Sciencast Management LP","12/31/2023","394","8,200",""
"PRUDENTIAL FINANCIAL INC","12/31/2023","394","8,185",""
"CAPSTONE INVESTMENT ADVISORS, LLC","12/31/2023","392","8,154",""
"BENJAMIN F. EDWARDS & COMPANY, INC.","12/31/2023","392","8,145",""
"PARK AVENUE SECURITIES LLC","12/31/2023","391","8,123",""
"Vise Technologies, Inc.","12/31/2023","385","8,009",""
"GUGGENHEIM CAPITAL LLC","12/31/2023","382","7,946",""
"Cresset Asset Management, LLC","12/31/2023","367","7,642",""
"TOWER BRIDGE ADVISORS","12/31/2023","366","7,614",""
"TOBAM","12/31/2023","354","7,316",""
"Arkos Global Advisors","12/31/2023","352","7,304",""
"CITADEL ADVISORS LLC","12/31/2023","350","7,276",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2023","346","7,200",""
"WRAPMANAGER INC","12/31/2023","344","7,146",""
"FIFTH THIRD BANCORP","12/31/2023","334","6,950",""
"First Affirmative Financial Network","12/31/2023","331","6,889",""
"Crestwood Advisors Group, LLC","12/31/2023","327","6,806",""
"UniSuper Management Pty Ltd","12/31/2023","433","6,800",""
"LOGAN CAPITAL MANAGEMENT INC","12/31/2023","326","6,783",""
"INTRUST BANK NA","12/31/2023","324","6,740",""
"Beverly Hills Private Wealth, LLC","12/31/2023","324","6,734",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2023","319","6,641",""
"First Trust Direct Indexing L.P.","12/31/2023","315","6,560",""
"TWO SIGMA SECURITIES, LLC","12/31/2023","303","6,300","put"
"EUDAIMONIA ADVISORS LLC","12/31/2023","296","6,168",""
"Gulf International Bank (UK) Ltd","12/31/2023","296","6,154",""
"SHUFRO ROSE & CO LLC","12/31/2023","231","6,000",""
"BROWN ADVISORY INC","12/31/2023","288","6,000",""
"Waratah Capital Advisors Ltd.","12/31/2023","286","5,956",""
"Bleakley Financial Group, LLC","12/31/2023","283","5,894",""
"Simplicity Solutions, LLC","12/31/2023","283","5,894",""
"Schonfeld Strategic Advisors LLC","12/31/2023","279","5,800",""
"Brown Shipley& Co Ltd","12/31/2023","278","5,760",""
"Tacita Capital Inc","12/31/2023","276","5,716",""
"BLUEFIN CAPITAL MANAGEMENT, LLC","12/31/2023","273","5,700",""
"AXQ CAPITAL, LP","12/31/2023","274","5,700",""
"SILVERLAKE WEALTH MANAGEMENT LLC","12/31/2023","274","5,698",""
"Lido Advisors, LLC","12/31/2023","277","5,682",""
"Aigen Investment Management, LP","12/31/2023","271","5,634",""
"West Family Investments, Inc.","12/31/2023","268","5,568",""
"TWO SIGMA SECURITIES, LLC","12/31/2023","264","5,500","call"
"FDx Advisors, Inc.","12/31/2023","264","5,485",""
"Triumph Capital Management","12/31/2023","260","5,403",""
"Snowden Capital Advisors LLC","12/31/2023","259","5,381",""
"Lantz Financial LLC","12/31/2023","258","5,361",""
"Hendershot Investments Inc.","12/31/2023","252","5,244",""
"Credit Agricole S A","12/31/2023","252","5,238",""
"CASCADE INVESTMENT GROUP, INC.","12/31/2023","249","5,190",""
"Forum Financial Management, LP","12/31/2023","247","5,146",""
"Hennion & Walsh Asset Management, Inc.","12/31/2023","240","4,988",""
"Texas Yale Capital Corp.","12/31/2023","232","4,820",""
"KINGSWOOD WEALTH ADVISORS, LLC","12/31/2023","226","4,715",""
"RHUMBLINE ADVISERS","12/31/2023","216","4,490",""
"PINEBRIDGE INVESTMENTS, L.P.","12/31/2023","285","4,473",""
"BUCKINGHAM STRATEGIC WEALTH, LLC","12/31/2023","212","4,404",""
"LSV ASSET MANAGEMENT","12/31/2023","212","4,400",""
"Wellington Wealth Strategies, LLC.","12/31/2023","210","4,374",""
"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC","12/31/2023","209","4,347",""
"TRUST CO OF TOLEDO NA /OH/","12/31/2023","203","4,230",""
"COZAD ASSET MANAGEMENT INC","12/31/2023","202","4,201",""
"BESSEMER GROUP INC","12/31/2023","171","3,535",""
"BANQUE PICTET & CIE SA","12/31/2023","204","3,213",""
"NBC SECURITIES, INC.","12/31/2023","130","2,708",""
"Independence Bank of Kentucky","12/31/2023","127","2,646",""
"Icon Wealth Advisors, LLC","12/31/2023","123","2,569",""
"EMFO, LLC","12/31/2023","115","2,400",""
"Parallel Advisors, LLC","12/31/2023","114","2,378",""
"Advisors Asset Management, Inc.","12/31/2023","112","2,328",""
"QUADRANT CAPITAL GROUP LLC","12/31/2023","109","2,281",""
"SG Americas Securities, LLC","12/31/2023","110","2,280",""
"JONES FINANCIAL COMPANIES LLLP","12/31/2023","107","2,232",""
"ACADIAN ASSET MANAGEMENT LLC","12/31/2023","106","2,200",""
"McIlrath & Eck, LLC","12/31/2023","105","2,186",""
"Clearstead Advisors, LLC","12/31/2023","104","2,180",""
"BALDWIN BROTHERS LLC/MA","12/31/2023","104","2,168",""
"Beutel, Goodman & Co Ltd.","12/31/2023","103","2,140",""
"Compagnie Lombard Odier SCmA","12/31/2023","98","2,040",""
"OPTIMUM INVESTMENT ADVISORS","12/31/2023","96","2,004",""
"TOMPKINS FINANCIAL CORP","12/31/2023","96","2,000",""
"UMB Bank, n.a.","12/31/2023","91","1,898",""
"WHITTIER TRUST CO OF NEVADA INC","12/31/2023","82","1,708",""
"Hexagon Capital Partners LLC","12/31/2023","81","1,692",""
"CENTRAL TRUST Co","12/31/2023","77","1,600",""
"Pacifica Partners Inc.","12/31/2023","66","1,566",""
"Global Retirement Partners, LLC","12/31/2023","70","1,529",""
"CWM, LLC","12/31/2023","73","1,519",""
"Advisory Services Network, LLC","12/31/2023","67","1,394",""
"PRINCIPAL SECURITIES, INC.","12/31/2023","63","1,323",""
"BESSEMER GROUP INC","12/31/2023","64","1,321",""
"JCIC Asset Management Inc.","12/31/2023","58","1,217",""
"EverSource Wealth Advisors, LLC","12/31/2023","51","1,066",""
"LOUISBOURG INVESTMENTS INC.","12/31/2023","49","1,021",""
"Cutler Group LLC / CA","12/31/2023","0","1,000","put"
"GPS Wealth Strategies Group, LLC","12/31/2023","47","993",""
"Geneos Wealth Management Inc.","12/31/2023","43","909",""
"BELLEVUE ASSET MANAGEMENT, LLC","12/31/2023","41","870",""
"Spire Wealth Management","12/31/2023","39","862",""
"JANICZEK WEALTH MANAGEMENT, LLC","12/31/2023","41","859",""
"Russell Investments Group, Ltd.","12/31/2023","41","855",""
"First Horizon Advisors, Inc.","12/31/2023","38","809",""
"PRIVATE TRUST CO NA","12/31/2023","38","805",""
"Aspire Private Capital, LLC","12/31/2023","36","753",""
"SYSTM Wealth Solutions LLC","12/31/2023","33","694",""
"Glassman Wealth Services","12/31/2023","33","693",""
"Lindbrook Capital, LLC","12/31/2023","33","689",""
"Bruce G. Allen Investments, LLC","12/31/2023","33","686",""
"Colonial Trust Advisors","12/31/2023","31","650",""
"MASSMUTUAL TRUST CO FSB/ADV","12/31/2023","27","562",""
"Capital Analysts, LLC","12/31/2023","26","544",""
"Manchester Capital Management LLC","12/31/2023","23","492",""
"WETZEL INVESTMENT ADVISORS, INC.","12/31/2023","23","468",""
"TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH PZU SA","12/31/2023","22","460",""
"Farther Finance Advisors, LLC","12/31/2023","21","440",""
"Headlands Technologies LLC","12/31/2023","20","416",""
"FIRST MANHATTAN CO. LLC.","12/31/2023","19","400",""
"North Star Investment Management Corp.","12/31/2023","19","400",""
"FSC Wealth Advisors, LLC","12/31/2023","15","320",""
"Banque Cantonale Vaudoise","12/31/2023","15","300",""
"JFS WEALTH ADVISORS, LLC","12/31/2023","14","299",""
"Asset Dedication, LLC","12/31/2023","15","294",""
"Richard W. Paul & Associates, LLC","12/31/2023","11","234",""
"Ritter Daniher Financial Advisory LLC / DE","12/31/2023","9","200",""
"GAMMA Investing LLC","12/31/2023","9","200",""
"Hobbs Group Advisors, LLC","12/31/2023","9","200",""
"OLD SECOND NATIONAL BANK OF AURORA","12/31/2023","8","170",""
"NATIXIS","12/31/2023","7","158",""
"ADIRONDACK TRUST CO","12/31/2023","7","150",""
"Private Ocean, LLC","12/31/2023","7","149",""
"VALLEY NATIONAL ADVISERS INC","12/31/2023","7","146",""
"Steward Partners Investment Advisory, LLC","12/31/2023","7","146",""
"Rosenberg Matthew Hamilton","12/31/2023","6","142",""
"Allworth Financial LP","12/31/2023","6","139",""
"Smartleaf Asset Management LLC","12/31/2023","6","125",""
"Salomon & Ludwin, LLC","12/31/2023","3","102",""
"Walleye Capital LLC","12/31/2023","4","100","call"
"Bell Investment Advisors, Inc","12/31/2023","4","94",""
"Nalls Sherbakoff Group, LLC","12/31/2023","4","94",""
"ICA Group Wealth Management, LLC","12/31/2023","3","80",""
"CVA Family Office, LLC","12/31/2023","3","78",""
"IFP Advisors, Inc","12/31/2023","3","78",""
"Penserra Capital Management LLC","12/31/2023","3","75",""
