"Manager","Report Date","Value ($000)","Shares","Option Type"
"MONTRUSCO BOLTON INVESTMENTS INC.","12/31/2019","93,075","1,608,626",""
"CREDIT SUISSE AG/","12/31/2019","92,093","1,593,298",""
"CITADEL ADVISORS LLC","12/31/2019","90,919","1,573,040",""
"EdgePoint Investment Group Inc.","12/31/2019","89,753","1,563,759",""
"Addenda Capital Inc.","12/31/2019","87,775","1,517,022",""
"BAMCO INC /NY/","12/31/2019","87,490","1,513,666",""
"NEW SOUTH CAPITAL MANAGEMENT INC","12/31/2019","86,964","1,504,561",""
"HORIZON KINETICS ASSET MANAGEMENT LLC","12/31/2019","83,773","1,449,355",""
"WELLS FARGO & COMPANY/MN","12/31/2019","81,084","1,402,855",""
"GLUSKIN SHEFF & ASSOC INC","12/31/2019","77,277","1,363,512",""
"MCDONALD CAPITAL INVESTORS INC/CA","12/31/2019","77,368","1,338,539",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2019","74,900","1,289,392",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2019","74,900","1,289,392",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2019","94,987","1,268,360",""
"CANNELL PETER B & CO INC","12/31/2019","71,895","1,236,564",""
"BRUNI J V & CO /CO","12/31/2019","66,460","1,149,823",""
"River Road Asset Management, LLC","12/31/2019","65,069","1,125,761",""
"CIDEL ASSET MANAGEMENT INC","12/31/2019","64,660","1,117,526",""
"Alberta Investment Management Corp","12/31/2019","64,042","1,106,840",""
"National Pension Service","12/31/2019","82,378","1,097,938",""
"PUBLIC SECTOR PENSION INVESTMENT BOARD","12/31/2019","62,765","1,084,779",""
"THIRD AVENUE MANAGEMENT LLC","12/31/2019","62,179","1,075,748",""
"Bank of New York Mellon Corp","12/31/2019","61,428","1,062,780",""
"St. James Investment Company, LLC","12/31/2019","60,717","1,050,462",""
"SCHWARTZ INVESTMENT COUNSEL INC","12/31/2019","58,771","1,016,800",""
"GOLDMAN SACHS GROUP INC","12/31/2019","55,061","952,621",""
"Highstreet Asset Management Inc.","12/31/2019","53,751","930,281",""
"Ardevora Asset Management LLP","12/31/2019","53,723","929,458",""
"MUFG Securities EMEA plc","12/31/2019","50,981","882,021",""
"DEUTSCHE BANK AG\","12/31/2019","50,242","869,334",""
"OSTERWEIS CAPITAL MANAGEMENT INC","12/31/2019","48,499","839,091",""
"STATE OF WISCONSIN INVESTMENT BOARD","12/31/2019","47,286","817,245",""
"Cumberland Partners Ltd","12/31/2019","46,764","808,250",""
"STIFEL FINANCIAL CORP","12/31/2019","46,599","806,068",""
"CONFLUENCE INVESTMENT MANAGEMENT LLC","12/31/2019","37,347","781,643",""
"PRICE T ROWE ASSOCIATES INC /MD/","12/31/2019","44,886","776,544",""
"NORTHERN TRUST CORP","12/31/2019","44,027","761,720",""
"UBS Group AG","12/31/2019","41,201","712,819",""
"BECK MACK & OLIVER LLC","12/31/2019","40,618","702,725",""
"GREENLEA LANE CAPITAL MANAGEMENT, LLC","12/31/2019","40,010","692,215",""
"Novo Holdings A/S","12/31/2019","38,879","672,652",""
"State of Tennessee, Treasury Department","12/31/2019","50,269","669,983",""
"AGF INVESTMENTS INC.","12/31/2019","37,757","653,471",""
"THORNBURG INVESTMENT MANAGEMENT INC","12/31/2019","36,909","638,557",""
"Aristotle Capital Management, LLC","12/31/2019","34,803","602,131",""
"ARAVT GLOBAL LLC","12/31/2019","34,272","592,937",""
"Baskin Financial Services Inc.","12/31/2019","31,801","550,586",""
"BARR E S & CO","12/31/2019","31,797","549,925",""
"AMUNDI PIONEER ASSET MANAGEMENT INC","12/31/2019","31,571","546,211",""
"Parametric Portfolio Associates LLC","12/31/2019","31,297","541,473",""
"RAYMOND JAMES & ASSOCIATES","12/31/2019","31,184","539,333",""
"Sather Financial Group Inc","12/31/2019","31,133","538,649",""
"CAPITAL ADVISORS INC/OK","12/31/2019","30,480","527,331",""
"AMERIPRISE FINANCIAL INC","12/31/2019","29,948","518,130",""
"M&G INVESTMENT MANAGEMENT LTD","12/31/2019","29,444","509,753",""
"Mawer Investment Management Ltd.","12/31/2019","28,483","492,780",""
"Credential Qtrade Securities Inc.","12/31/2019","28,445","492,294",""
"CITIGROUP INC","12/31/2019","25,873","447,170",""
"Compagnie Lombard Odier SCmA","12/31/2019","25,823","446,300",""
"East Coast Asset Management, LLC.","12/31/2019","25,499","441,155",""
"Manitou Investment Management Ltd.","12/31/2019","25,280","437,598",""
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2019","25,094","433,700",""
"NORTHERN TRUST CORP","12/31/2019","24,265","419,816",""
"GUARDIAN CAPITAL ADVISORS LP","12/31/2019","28,929","370,808",""
"BANK OF NOVA SCOTIA TRUST CO","12/31/2019","20,682","357,818",""
"PRIVATE MANAGEMENT GROUP INC","12/31/2019","20,523","355,064",""
"NN Investment Partners Holdings N.V.","12/31/2019","19,895","344,181",""
"CITIGROUP INC","12/31/2019","19,672","340,000","put"
"AVIVA PLC","12/31/2019","18,287","317,288",""
"KARPAS STRATEGIES, LLC","12/31/2019","17,694","306,131",""
"America First Investment Advisors, LLC","12/31/2019","17,610","304,672",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2019","17,565","303,888",""
"PICTET ASSET MANAGEMENT LTD","12/31/2019","17,448","301,562",""
"LGT CAPITAL PARTNERS LTD.","12/31/2019","17,356","300,000",""
"MADISON WEALTH MANAGEMENT","12/31/2019","17,307","299,431",""
"FIRST FOUNDATION ADVISORS","12/31/2019","16,365","283,121",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2019","16,154","279,489",""
"Bridgewater Associates, LP","12/31/2019","16,075","277,824",""
"Philadelphia Financial Management of San Francisco, LLC","12/31/2019","15,968","276,258",""
"Hillsdale Investment Management Inc.","12/31/2019","15,797","274,070",""
"Hexavest Inc.","12/31/2019","15,704","271,407",""
"TORONTO DOMINION BANK","12/31/2019","15,395","266,259",""
"Callahan Advisors, LLC","12/31/2019","15,082","260,940",""
"BAROMETER CAPITAL MANAGEMENT INC.","12/31/2019","19,530","260,300",""
"TWO SIGMA INVESTMENTS, LP","12/31/2019","14,719","254,655",""
"PCJ Investment Counsel Ltd.","12/31/2019","14,576","251,976",""
"D. E. Shaw & Co., Inc.","12/31/2019","14,250","246,697",""
"Brown University","12/31/2019","14,249","246,531",""
"Northeast Financial Consultants Inc","12/31/2019","14,086","243,703",""
"Waratah Capital Advisors Ltd.","12/31/2019","13,965","241,746",""
"KLINGENSTEIN FIELDS & CO LLC","12/31/2019","13,876","240,068",""
"COBBLESTONE CAPITAL ADVISORS LLC /NY/","12/31/2019","13,225","228,799",""
"HSBC HOLDINGS PLC","12/31/2019","13,010","224,512",""
"Nuveen Asset Management, LLC","12/31/2019","12,300","212,797",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2019","12,063","208,700","put"
"LAWSON KROEKER INVESTMENT MANAGEMENT INC/NE","12/31/2019","11,955","206,826",""
"AMP Capital Investors Ltd","12/31/2019","12,019","206,426",""
"JANUS HENDERSON GROUP PLC","12/31/2019","11,508","198,972",""
"ENVESTNET ASSET MANAGEMENT INC","12/31/2019","11,345","196,275",""
"Zurcher Kantonalbank (Zurich Cantonalbank)","12/31/2019","11,261","194,618",""
"TRUIST FINANCIAL CORP","12/31/2019","11,230","194,288",""
"Smith, Salley & Associates","12/31/2019","11,163","193,135",""
"Moerus Capital Management LLC","12/31/2019","10,706","185,230",""
"Motley Fool Wealth Management, LLC","12/31/2019","10,347","179,008",""
"Korea Investment CORP","12/31/2019","10,347","178,824",""
"Westpac Banking Corp","12/31/2019","10,935","167,532",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2019","9,302","160,939",""
"COMMONWEALTH EQUITY SERVICES, LLC","12/31/2019","9,205","159,256",""
"Creative Planning","12/31/2019","9,149","158,289",""
"Timber Creek Capital Management LLC","12/31/2019","9,095","157,370",""
"Ensign Peak Advisors, Inc","12/31/2019","8,692","150,296",""
"BANK OF MONTREAL /CAN/","12/31/2019","8,670","150,000","call"
"CREDIT AGRICOLE S A","12/31/2019","8,670","150,000",""
"ALPS ADVISORS INC","12/31/2019","8,514","147,300",""
"Raymond James Financial Services Advisors, Inc.","12/31/2019","8,489","146,810",""
"LEE DANNER & BASS INC","12/31/2019","8,462","146,400",""
"FORT WASHINGTON INVESTMENT ADVISORS INC /OH/","12/31/2019","8,286","143,359",""
"PNC Financial Services Group, Inc.","12/31/2019","7,923","137,099",""
"Rathbone Brothers plc","12/31/2019","7,702","133,109",""
"NICOLA WEALTH MANAGEMENT LTD.","12/31/2019","9,979","133,000",""
"OPPENHEIMER & CO INC","12/31/2019","7,665","132,608",""
"Sandy Spring Bank","12/31/2019","7,408","128,167",""
"DAVIS-REA LTD.","12/31/2019","7,379","127,518",""
"Gratus Capital LLC","12/31/2019","7,344","127,053",""
"Dixon Mitchell Investment Counsel Inc.","12/31/2019","7,239","125,120",""
"Adalta Capital Management LLC","12/31/2019","6,926","119,826",""
"Rheos Capital Works Inc.","12/31/2019","6,734","116,500",""
"LINCLUDEN MANAGEMENT LTD","12/31/2019","6,668","115,412",""
"JANE STREET GROUP, LLC","12/31/2019","6,649","115,036",""
"TWO SIGMA ADVISERS, LP","12/31/2019","6,521","112,821",""
"Point72 Asset Management, L.P.","12/31/2019","6,520","112,800",""
"Moon Capital Management, LLC","12/31/2019","6,461","111,783",""
"Weather Gauge Advisory, LLC","12/31/2019","6,373","110,266",""
"Miura Global Management, LLC","12/31/2019","6,358","110,000",""
"TANDEM CAPITAL MANAGEMENT CORP /ADV","12/31/2019","6,263","108,354",""
"Oak Grove Capital LLC","12/31/2019","6,161","106,600",""
"ENDEAVOUR CAPITAL ADVISORS INC","12/31/2019","6,031","104,350",""
"Marshall Wace North America L.P.","12/31/2019","6,012","103,900",""
"ALLIANCEBERNSTEIN L.P.","12/31/2019","5,828","100,829",""
"SOROS CAPITAL MANAGEMENT LLC","12/31/2019","5,780","100,000",""
"SILVERCREST ASSET MANAGEMENT GROUP LLC","12/31/2019","5,737","99,264",""
"Lipe & Dalton","12/31/2019","5,708","98,755",""
"State of New Jersey Common Pension Fund D","12/31/2019","5,645","97,669",""
"Parkside Investments, LLC","12/31/2019","5,615","97,152",""
"PECAUT & CO.","12/31/2019","5,612","97,085",""
"COLONY GROUP LLC","12/31/2019","5,525","95,592",""
"Delta Investment Management, LLC","12/31/2019","5,500","95,158",""
"Deep Field Asset Management LLC","12/31/2019","5,479","94,800","put"
"Kovitz Investment Group Partners, LLC","12/31/2019","5,403","93,475",""
"Neuberger Berman Group LLC","12/31/2019","5,334","92,219",""
"GRAYBILL BARTZ & ASSOC LTD","12/31/2019","5,269","91,155",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2019","5,176","89,551",""
"EATON VANCE MANAGEMENT","12/31/2019","5,137","88,871",""
"LEUTHOLD GROUP, LLC","12/31/2019","5,111","88,421",""
"BLAIR WILLIAM & CO/IL","12/31/2019","6,557","87,078",""
"DekaBank Deutsche Girozentrale","12/31/2019","5,023","85,411",""
"Crossmark Global Holdings, Inc.","12/31/2019","4,722","81,690",""
"ArrowMark Colorado Holdings LLC","12/31/2019","4,719","81,648",""
"Texas Yale Capital Corp.","12/31/2019","4,639","80,255",""
"CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM","12/31/2019","4,622","79,971",""
"APPLETON PARTNERS INC/MA","12/31/2019","4,549","78,711",""
"Baird Financial Group, Inc.","12/31/2019","4,360","75,438",""
"MILLENNIUM MANAGEMENT LLC","12/31/2019","4,291","74,245",""
"Veritable, L.P.","12/31/2019","4,270","73,876",""
"NATIXIS ADVISORS, L.P.","12/31/2019","4,239","73,336",""
"CITADEL ADVISORS LLC","12/31/2019","4,173","72,200","call"
"Janney Montgomery Scott LLC","12/31/2019","4,163","72,021",""
"CPWM, LLC","12/31/2019","4,151","71,812",""
"CULBERTSON A N & CO INC","12/31/2019","4,143","71,673",""
"BROWN ADVISORY INC","12/31/2019","3,963","68,562",""
"BARCLAYS PLC","12/31/2019","3,913","67,696",""
"MONETA GROUP INVESTMENT ADVISORS LLC","12/31/2019","3,899","67,457",""
"MEAG MUNICH ERGO KAPITALANLAGEGESELLSCHAFT MBH","12/31/2019","3,876","67,020",""
"FIRST REPUBLIC INVESTMENT MANAGEMENT, INC.","12/31/2019","3,869","66,936",""
"HighTower Advisors, LLC","12/31/2019","3,854","66,663",""
"Alpha Omega Wealth Management LLC","12/31/2019","3,758","65,024",""
"Argent Wealth Management LLC","12/31/2019","3,622","62,661",""
"AE Wealth Management LLC","12/31/2019","3,566","61,687",""
"LEAVELL INVESTMENT MANAGEMENT, INC.","12/31/2019","3,492","60,419",""
"Cambridge Investment Research Advisors, Inc.","12/31/2019","3,460","59,862",""
"THAMES CAPITAL MANAGEMENT LLC","12/31/2019","3,341","57,800",""
"HENNESSY ADVISORS INC","12/31/2019","3,300","57,100",""
"CADINHA & CO LLC","12/31/2019","3,268","56,547",""
"SHELL ASSET MANAGEMENT CO","12/31/2019","3,251","56,192",""
"Radnor Capital Management, LLC","12/31/2019","3,236","55,986",""
"Cubist Systematic Strategies, LLC","12/31/2019","3,175","54,932",""
"GAMCO INVESTORS, INC. ET AL","12/31/2019","3,125","54,073",""
"Taylor Hoffman Wealth Management","12/31/2019","3,111","53,827",""
"KAYNE ANDERSON CAPITAL ADVISORS LP","12/31/2019","3,097","53,600",""
"Azimuth Capital Management LLC","12/31/2019","3,081","53,305",""
"Teamwork Financial Advisors, LLC","12/31/2019","3,051","52,783",""
"Marks Group Wealth Management, Inc","12/31/2019","3,012","52,112",""
"COMERICA BANK","12/31/2019","3,233","51,998",""
"SYNOVUS FINANCIAL CORP","12/31/2019","2,974","51,452",""
"Blue Fin Capital, Inc.","12/31/2019","2,863","49,569",""
"MAD RIVER INVESTORS","12/31/2019","2,810","48,611",""
"OPPENHEIMER ASSET MANAGEMENT INC.","12/31/2019","2,784","48,165",""
"CITADEL ADVISORS LLC","12/31/2019","2,636","45,600","put"
"LPL Financial LLC","12/31/2019","2,629","45,477",""
"LADENBURG THALMANN FINANCIAL SERVICES INC.","12/31/2019","2,610","45,120",""
"Shelter Mutual Insurance Co","12/31/2019","2,497","43,194",""
"Steward Partners Investment Advisory, LLC","12/31/2019","2,453","42,433",""
"Rockefeller Capital Management L.P.","12/31/2019","2,328","40,275",""
"PITTENGER & ANDERSON INC","12/31/2019","2,313","40,015",""
"GABELLI FUNDS LLC","12/31/2019","2,283","39,500",""
"Osborn Williams & Donohoe LLC","12/31/2019","2,283","39,499",""
"BESSEMER GROUP INC","12/31/2019","2,255","39,010",""
"GoodHaven Capital Management, LLC","12/31/2019","2,239","38,737",""
"Dynamic Technology Lab Private Ltd","12/31/2019","2,229","38,561",""
"AIGEN INVESTMENT MANAGEMENT, LP","12/31/2019","2,186","37,827",""
"Live Oak Private Wealth LLC","12/31/2019","2,160","37,366",""
"DORCHESTER WEALTH MANAGEMENT Co","12/31/2019","2,145","37,136",""
"NEEDHAM INVESTMENT MANAGEMENT LLC","12/31/2019","2,141","37,037",""
"NEEDHAM INVESTMENT MANAGEMENT LLC","12/31/2019","2,141","37,037",""
"Allen Investment Management LLC","12/31/2019","2,131","36,863",""
"NORDEA INVESTMENT MANAGEMENT AB","12/31/2019","2,123","36,719",""
"EPIQ PARTNERS, LLC","12/31/2019","2,106","36,435",""
"Kemnay Advisory Services Inc.","12/31/2019","2,067","35,759",""
"Advisory Services Network, LLC","12/31/2019","2,046","35,400",""
"PORTLAND INVESTMENT COUNSEL INC.","12/31/2019","2,021","34,739",""
"Russell Investments Group, Ltd.","12/31/2019","1,977","34,186",""
"Princeton Global Asset Management LLC","12/31/2019","1,973","34,135",""
"Redmond Asset Management, LLC","12/31/2019","1,970","34,085",""
"UNITED CAPITAL FINANCIAL ADVISERS, LLC","12/31/2019","1,914","33,117",""
"ATRIA INVESTMENTS LLC","12/31/2019","1,901","32,895",""
"PenderFund Capital Management Ltd.","12/31/2019","2,438","32,500",""
"SEI INVESTMENTS CO","12/31/2019","1,865","32,281",""
"FRONTIER INVESTMENT MGMT CO","12/31/2019","1,818","31,453",""
"Citizens Business Bank","12/31/2019","1,815","31,400",""
"Nexus Investment Management Inc.","12/31/2019","1,717","29,671",""
"Heritage Wealth Advisors","12/31/2019","1,662","28,767",""
"Williams Jones Wealth Management, LLC.","12/31/2019","1,662","28,750",""
"Vivaldi Capital Management, LLC","12/31/2019","1,635","28,292",""
"Ancora Advisors, LLC","12/31/2019","1,632","28,235",""
"BRADLEY FOSTER & SARGENT INC/CT","12/31/2019","1,611","27,874",""
"Candriam Luxembourg S.C.A.","12/31/2019","1,609","27,814",""
"BOENNING & SCATTERGOOD, INC.","12/31/2019","1,597","27,632",""
"Qube Research & Technologies Ltd","12/31/2019","1,570","27,155",""
"Mraz, Amerine & Associates, Inc.","12/31/2019","1,558","26,954",""
"Man Group plc","12/31/2019","1,542","26,677",""
"Twin Tree Management, LP","12/31/2019","1,516","26,235",""
"IRIDIAN ASSET MANAGEMENT LLC/CT","12/31/2019","1,501","25,969",""
"Pacifica Partners Inc.","12/31/2019","1,452","25,115",""
"Polar Asset Management Partners Inc.","12/31/2019","1,387","24,000",""
"KEYBANK NATIONAL ASSOCIATION/OH","12/31/2019","1,381","23,889",""
"PARSONS CAPITAL MANAGEMENT INC/RI","12/31/2019","1,376","23,809",""
"Schneider Downs Wealth Management Advisors, LP","12/31/2019","1,374","23,780",""
"Legacy Private Trust Co.","12/31/2019","1,362","23,562",""
"FIFTH THIRD BANCORP","12/31/2019","1,335","23,101",""
"Quadrant Capital Management, LLC","12/31/2019","1,306","22,600",""
"Evercore Wealth Management, LLC","12/31/2019","1,273","22,019",""
"PINNACLE FINANCIAL PARTNERS INC","12/31/2019","1,226","21,219",""
"VIRGINIA RETIREMENT SYSTEMS ET AL","12/31/2019","1,221","21,100",""
"Capital One, National Association","12/31/2019","1,218","21,081",""
"Advisor Group, Inc.","12/31/2019","1,209","20,895",""
"Legacy Financial Advisors, Inc.","12/31/2019","1,186","20,515",""
"Holt Capital Advisors, L.L.C. dba Holt Capital Partners, L.P.","12/31/2019","1,164","20,146",""
"CAPITAL INSIGHT PARTNERS, LLC","12/31/2019","1,162","20,108",""
"RMB Capital Management, LLC","12/31/2019","1,132","19,595",""
"Jefferies Group LLC","12/31/2019","1,111","19,227",""
"CIDEL ASSET MANAGEMENT INC","12/31/2019","1,103","19,061",""
"WALTER & KEENAN FINANCIAL CONSULTING CO /MI/ /ADV","12/31/2019","1,102","19,058",""
"MCKINLEY CAPITAL MANAGEMENT LLC /DELAWARE","12/31/2019","1,092","18,898",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2019","1,081","18,700","call"
"GLENMEDE TRUST CO NA","12/31/2019","1,066","18,468",""
"ALPHASIMPLEX GROUP, LLC","12/31/2019","1,060","18,343",""
"SFMG, LLC","12/31/2019","1,052","18,200",""
"Sarasin & Partners LLP","12/31/2019","1,040","18,000",""
"SOL Capital Management CO","12/31/2019","1,036","17,930",""
"REGIONS FINANCIAL CORP","12/31/2019","1,034","17,894",""
"Doyle Wealth Management","12/31/2019","1,018","17,618",""
"BLUESTEIN R H & CO","12/31/2019","1,012","17,500",""
"Powell Investment Advisors, LLC","12/31/2019","1,004","17,363",""
"Resonant Capital Advisors, LLC","12/31/2019","996","17,233",""
"MARSHALL WACE, LLP","12/31/2019","979","16,935",""
"Jackson Hole Capital Partners, LLC","12/31/2019","961","16,624",""
"Lester Murray Antman dba SimplyRich","12/31/2019","954","16,506",""
"Nelson, Van Denburg & Campbell Wealth Management Group, LLC","12/31/2019","951","16,460",""
"QUADRANT CAPITAL GROUP LLC","12/31/2019","950","16,459",""
"AXA","12/31/2019","925","15,997",""
"AXA S.A.","12/31/2019","925","15,997",""
"WETHERBY ASSET MANAGEMENT INC","12/31/2019","910","15,757",""
"Retirement Group, LLC","12/31/2019","902","15,605",""
"TWO SIGMA SECURITIES, LLC","12/31/2019","890","15,400","call"
"HAP Trading, LLC","12/31/2019","1","15,000","call"
"SEARLE & CO.","12/31/2019","867","15,000",""
"CAPITAL FUND MANAGEMENT S.A.","12/31/2019","855","14,786",""
"STEPHENS INC /AR/","12/31/2019","848","14,678",""
"Gulf International Bank (UK) Ltd","12/31/2019","840","14,560",""
"HOYLECOHEN, LLC","12/31/2019","835","14,451",""
"NEXT Financial Group, Inc","12/31/2019","822","14,218",""
"Sunbelt Securities, Inc.","12/31/2019","809","13,997",""
"WINTRUST INVESTMENTS LLC","12/31/2019","807","13,962",""
"Dynamic Advisor Solutions LLC","12/31/2019","799","13,826",""
"Assenagon Asset Management S.A.","12/31/2019","791","13,663",""
"ARMSTRONG SHAW ASSOCIATES INC/CT","12/31/2019","789","13,650",""
"Voya Investment Management LLC","12/31/2019","777","13,430",""
"LEVIN CAPITAL STRATEGIES, L.P.","12/31/2019","767","13,275",""
"CIGNA INVESTMENTS INC /NEW","12/31/2019","803","13,094",""
"Giverny Capital Inc.","12/31/2019","748","12,938",""
"Essex Financial Services, Inc.","12/31/2019","709","12,270",""
"Cutler Group LP","12/31/2019","39","12,100","call"
"USCA RIA LLC","12/31/2019","699","12,099",""
"ELLINGTON MANAGEMENT GROUP LLC","12/31/2019","694","12,000",""
"SANDERS MORRIS HARRIS LLC","12/31/2019","694","12,000",""
"FORA Capital, LLC","12/31/2019","689","11,913",""
"Parsec Financial Management, Inc.","12/31/2019","682","11,806",""
"US BANCORP \DE\","12/31/2019","661","11,436",""
"JAG CAPITAL MANAGEMENT, LLC","12/31/2019","645","11,161",""
"ETRADE Capital Management LLC","12/31/2019","633","10,954",""
"Red Cedar Capital, LLC","12/31/2019","622","10,760",""
"Greenline Partners, LLC","12/31/2019","605","10,465",""
"GRIFFIN ASSET MANAGEMENT, INC.","12/31/2019","605","10,464",""
"CAPTRUST FINANCIAL ADVISORS","12/31/2019","602","10,395",""
"Spears Abacus Advisors LLC","12/31/2019","598","10,350",""
"Geneos Wealth Management Inc.","12/31/2019","600","10,338",""
"TORONTO DOMINION BANK","12/31/2019","595","10,300",""
"CRAWFORD INVESTMENT COUNSEL INC","12/31/2019","592","10,237",""
"EXANE DERIVATIVES","12/31/2019","611","10,071",""
"CRA Financial Services, LLC","12/31/2019","578","10,000",""
"Fosun International Ltd","12/31/2019","581","10,000",""
"IFP Advisors, Inc","12/31/2019","578","9,927",""
"BBR PARTNERS, LLC","12/31/2019","571","9,886",""
"GYL Financial Synergies, LLC","12/31/2019","567","9,818",""
"Harbour Capital Advisors, LLC","12/31/2019","555","9,600",""
"Vident Investment Advisory, LLC","12/31/2019","553","9,568",""
"World Asset Management Inc","12/31/2019","553","9,561",""
"Dean Capital Investments Management, LLC","12/31/2019","534","9,247",""
"Bienville Capital Management, LLC","12/31/2019","520","9,000",""
"Lombard Odier Asset Management (Europe) Ltd","12/31/2019","658","8,769",""
"Aperio Group, LLC","12/31/2019","504","8,725",""
"Coe Capital Management, LLC","12/31/2019","503","8,704",""
"BOOTHBAY FUND MANAGEMENT, LLC","12/31/2019","496","8,580",""
"Gilbert & Cook, Inc.","12/31/2019","488","8,444",""
"Ninepoint Partners LP","12/31/2019","480","8,296",""
"WHITTIER TRUST CO","12/31/2019","478","8,269",""
"Homrich & Berg","12/31/2019","472","8,169",""
"ADVISOR PARTNERS LLC","12/31/2019","492","8,100",""
"Quilter Plc","12/31/2019","462","7,992",""
"Platform Technology Partners","12/31/2019","458","7,923",""
"EXENCIAL WEALTH ADVISORS, LLC","12/31/2019","458","7,919",""
"Engineers Gate Manager LP","12/31/2019","457","7,900",""
