"Manager","Report Date","Value ($000)","Shares","Option Type"
"Beutel, Goodman & Co Ltd.","12/31/2021","130,746","1,851,032",""
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2021","125,098","1,765,737",""
"MONTRUSCO BOLTON INVESTMENTS INC.","12/31/2021","118,952","1,677,874",""
"COWEN AND COMPANY, LLC","12/31/2021","5,837","1,660,000","call"
"Addenda Capital Inc.","12/31/2021","148,206","1,636,730",""
"CIDEL ASSET MANAGEMENT INC","12/31/2021","111,671","1,575,186",""
"HSBC HOLDINGS PLC","12/31/2021","98,441","1,388,773",""
"DEUTSCHE BANK AG\","12/31/2021","98,661","1,376,222",""
"BANK OF AMERICA CORP /DE/","12/31/2021","96,781","1,350,000","call"
"Bank of New York Mellon Corp","12/31/2021","95,667","1,334,458",""
"Burgundy Asset Management Ltd.","12/31/2021","89,342","1,264,850",""
"Credential Qtrade Securities Inc.","12/31/2021","88,811","1,254,071",""
"MORGAN STANLEY","12/31/2021","89,900","1,254,008",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2021","109,742","1,226,439",""
"GUARDIAN CAPITAL LP","12/31/2021","86,127","1,214,866",""
"NICOLA WEALTH MANAGEMENT LTD.","12/31/2021","75,980","1,072,200",""
"Polar Asset Management Partners Inc.","12/31/2021","74,424","1,050,000","call"
"Dixon Mitchell Investment Counsel Inc.","12/31/2021","74,218","1,049,101",""
"STATE OF WISCONSIN INVESTMENT BOARD","12/31/2021","72,903","1,028,331",""
"PICTET ASSET MANAGEMENT SA","12/31/2021","72,697","1,025,447",""
"Triasima Portfolio Management inc.","12/31/2021","72,355","1,024,361",""
"Marathon Asset Mgmt Ltd","12/31/2021","70,801","988,337",""
"Value Partners Investments Inc.","12/31/2021","69,743","987,379",""
"FIRST TRUST ADVISORS LP","12/31/2021","69,627","972,435",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2021","68,668","971,982",""
"MILLENNIUM MANAGEMENT LLC","12/31/2021","80,784","940,000","put"
"GOLDMAN SACHS GROUP INC","12/31/2021","66,695","930,336",""
"AMUNDI","12/31/2021","65,710","892,428",""
"LINCLUDEN MANAGEMENT LTD","12/31/2021","62,489","882,703",""
"DekaBank Deutsche Girozentrale","12/31/2021","61,182","848,804",""
"QV Investors Inc.","12/31/2021","57,798","815,268",""
"M&G INVESTMENT MANAGEMENT LTD","12/31/2021","57,874","812,793",""
"Russell Investments Group, Ltd.","12/31/2021","56,783","800,562",""
"BlackRock Inc.","12/31/2021","56,629","789,916",""
"JANE STREET GROUP, LLC","12/31/2021","55,919","780,015",""
"GLUSKIN SHEFF & ASSOC INC","12/31/2021","53,769","759,749",""
"Northwest & Ethical Investments L.P.","12/31/2021","52,908","747,359",""
"Korea Investment CORP","12/31/2021","51,931","732,517",""
"ROYAL BANK OF CANADA","12/31/2021","52,334","730,000","call"
"HAP Trading, LLC","12/31/2021","1,045","713,300","put"
"BANK OF NOVA SCOTIA TRUST CO","12/31/2021","49,778","694,351",""
"Skandinaviska Enskilda Banken AB (publ)","12/31/2021","46,300","645,473",""
"TORONTO DOMINION BANK","12/31/2021","43,815","618,919",""
"Parametric Portfolio Associates LLC","12/31/2021","44,112","615,319",""
"AXA S.A.","12/31/2021","43,142","601,791",""
"Zurcher Kantonalbank (Zurich Cantonalbank)","12/31/2021","41,904","600,234",""
"JANUS HENDERSON GROUP PLC","12/31/2021","41,906","591,005",""
"GUARDIAN CAPITAL ADVISORS LP","12/31/2021","42,550","586,035",""
"Nexus Investment Management ULC","12/31/2021","39,255","554,881",""
"AMF Tjanstepension AB","12/31/2021","39,402","554,222",""
"Parallax Volatility Advisers, L.P.","12/31/2021","37,996","530,000","put"
"Galibier Capital Management Ltd.","12/31/2021","37,041","522,483",""
"NORTHERN TRUST CORP","12/31/2021","36,494","509,051",""
"SIG North Trading, ULC","12/31/2021","34,732","489,800","put"
"Artemis Investment Management LLP","12/31/2021","33,967","479,640",""
"MARSHALL WACE, LLP","12/31/2021","30,371","424,735",""
"CITADEL ADVISORS LLC","12/31/2021","29,658","413,700","put"
"UBS Group AG","12/31/2021","28,812","401,896",""
"Neuberger Berman Group LLC","12/31/2021","28,679","399,294",""
"Evoke Wealth, LLC","12/31/2021","27,758","387,200",""
"AVIVA PLC","12/31/2021","27,338","386,348",""
"ACADIAN ASSET MANAGEMENT LLC","12/31/2021","27,173","383,308",""
"BARCLAYS PLC","12/31/2021","25,943","361,874",""
"BARCLAYS PLC","12/31/2021","25,943","361,874",""
"Walleye Trading LLC","12/31/2021","25,930","361,700","put"
"FORSTA AP-FONDEN","12/31/2021","24,841","350,400",""
"D. E. Shaw & Co., Inc.","12/31/2021","24,792","350,000","put"
"Hillsdale Investment Management Inc.","12/31/2021","24,685","348,247",""
"Unigestion Holding SA","12/31/2021","23,776","335,588",""
"VIRGINIA RETIREMENT SYSTEMS ET AL","12/31/2021","22,934","323,500",""
"CITIGROUP INC","12/31/2021","22,514","317,568",""
"Ilmarinen Mutual Pension Insurance Co","12/31/2021","22,056","313,000",""
"BANK OF AMERICA CORP /DE/","12/31/2021","21,507","300,000","put"
"CITADEL ADVISORS LLC","12/31/2021","20,052","279,700","call"
"USS Investment Management Ltd","12/31/2021","18,972","267,751",""
"D. E. Shaw & Co., Inc.","12/31/2021","18,397","259,600","call"
"CITADEL ADVISORS LLC","12/31/2021","18,260","254,714",""
"NN Investment Partners Holdings N.V.","12/31/2021","18,150","253,187",""
"Fairfax Financial Holdings Ltd/ Can","12/31/2021","17,535","247,100",""
"Public Sector Pension Investment Board","12/31/2021","17,495","246,774",""
"Man Group plc","12/31/2021","17,191","242,150",""
"Candriam Luxembourg S.C.A.","12/31/2021","16,945","239,020",""
"Waratah Capital Advisors Ltd.","12/31/2021","16,802","237,300",""
"Schonfeld Strategic Advisors LLC","12/31/2021","16,644","235,100",""
"SIG North Trading, ULC","12/31/2021","16,175","228,100","call"
"ROYAL LONDON ASSET MANAGEMENT LTD","12/31/2021","16,096","224,520",""
"DORCHESTER WEALTH MANAGEMENT Co","12/31/2021","15,853","224,439",""
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC","12/31/2021","15,851","223,413",""
"Achmea Investment Management B.V.","12/31/2021","14,570","205,529",""
"NATIXIS","12/31/2021","14,483","204,263",""
"Voya Investment Management LLC","12/31/2021","14,406","203,209",""
"Crossmark Global Holdings, Inc.","12/31/2021","14,383","200,633",""
"BANK OF MONTREAL /CAN/","12/31/2021","14,479","200,000","put"
"Euro Pacific Asset Management, LLC","12/31/2021","13,591","190,445",""
"APG Asset Management N.V.","12/31/2021","11,868","190,373",""
"K.J. Harrison & Partners Inc","12/31/2021","13,385","189,200",""
"Lorne Steinberg Wealth Management Inc.","12/31/2021","12,680","179,486",""
"AGF INVESTMENTS INC.","12/31/2021","12,019","169,775",""
"BAROMETER CAPITAL MANAGEMENT INC.","12/31/2021","14,994","167,448",""
"HOWLAND CAPITAL MANAGEMENT LLC","12/31/2021","11,882","165,748",""
"MILLENNIUM MANAGEMENT LLC","12/31/2021","11,719","163,658",""
"WESTPAC BANKING CORP","12/31/2021","13,904","155,270",""
"HAP Trading, LLC","12/31/2021","11,125","155,189",""
"Rathbones Group PLC","12/31/2021","10,847","153,006",""
"SCHRODER INVESTMENT MANAGEMENT GROUP","12/31/2021","13,662","152,558",""
"PCJ Investment Counsel Ltd.","12/31/2021","10,765","151,942",""
"PORTLAND INVESTMENT COUNSEL INC.","12/31/2021","10,208","144,200",""
"Cumberland Partners Ltd","12/31/2021","9,773","138,032",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","9,721","135,600","put"
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","9,721","135,600","put"
"Mitsubishi UFJ Trust & Banking Corp","12/31/2021","14,412","126,325",""
"Investment Management Corp of Ontario","12/31/2021","8,708","121,470",""
"WELLS FARGO & COMPANY/MN","12/31/2021","8,588","119,794",""
"Twin Tree Management, LP","12/31/2021","8,531","119,000","put"
"CAPITAL FUND MANAGEMENT S.A.","12/31/2021","7,419","103,494",""
"VOLORIDGE INVESTMENT MANAGEMENT, LLC","12/31/2021","6,937","96,767",""
"American Assets Investment Management, LLC","12/31/2021","6,811","95,000",""
"ClariVest Asset Management LLC","12/31/2021","6,703","94,550",""
"Snowden Capital Advisors LLC","12/31/2021","6,402","89,312",""
"ALLIANCEBERNSTEIN L.P.","12/31/2021","6,358","88,694",""
"Manitou Investment Management Ltd.","12/31/2021","6,197","87,727",""
"Martin Capital Partners, LLC","12/31/2021","6,100","85,093",""
"Cutler Group LP","12/31/2021","176","85,000","put"
"SUSQUEHANNA FUNDAMENTAL INVESTMENTS, LLC","12/31/2021","5,912","83,500",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","5,972","83,300","call"
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","5,972","83,300","call"
"MEAG MUNICH ERGO, Kapitalanlagegesellschaft mbH","12/31/2021","5,230","73,016",""
"SHELL ASSET MANAGEMENT CO","12/31/2021","5,057","71,338",""
"BANK OF NOVA SCOTIA","12/31/2021","4,987","70,421",""
"Avalon Investment & Advisory","12/31/2021","4,693","65,461",""
"AlphaCrest Capital Management LLC","12/31/2021","4,676","65,228",""
"Allianz Asset Management GmbH","12/31/2021","4,443","62,671",""
"US BANCORP \DE\","12/31/2021","4,477","62,454",""
"SIG North Trading, ULC","12/31/2021","4,175","59,047",""
"Ensign Peak Advisors, Inc","12/31/2021","4,155","58,606",""
"AMERICAN CENTURY COMPANIES INC","12/31/2021","4,114","58,114",""
"COMMONWEALTH EQUITY SERVICES, LLC","12/31/2021","3,773","52,629",""
"Cardinal Capital Management","12/31/2021","3,437","47,948",""
"GROUP ONE TRADING, L.P.","12/31/2021","3,437","47,947",""
"AMERIPRISE FINANCIAL INC","12/31/2021","3,150","47,080",""
"Parallax Volatility Advisers, L.P.","12/31/2021","3,370","47,001",""
"RAYMOND JAMES & ASSOCIATES","12/31/2021","3,250","45,845",""
"Cutler Group LP","12/31/2021","3,261","45,501",""
"LPL Financial LLC","12/31/2021","3,160","44,084",""
"DAVIS-REA LTD.","12/31/2021","3,091","43,698",""
"KEYBANK NATIONAL ASSOCIATION/OH","12/31/2021","3,055","42,607",""
"Assenagon Asset Management S.A.","12/31/2021","2,982","42,067",""
"LSV ASSET MANAGEMENT","12/31/2021","2,982","41,600",""
"FIERA CAPITAL CORP","12/31/2021","2,865","40,475",""
"Tacita Capital Inc","12/31/2021","2,826","39,947",""
"DAVENPORT & Co LLC","12/31/2021","2,823","39,373",""
"Callahan Advisors, LLC","12/31/2021","2,672","37,267",""
"Walleye Trading LLC","12/31/2021","2,545","35,500","call"
"KEMPEN CAPITAL MANAGEMENT N.V.","12/31/2021","4,000","35,351",""
"NATIXIS ADVISORS, L.P.","12/31/2021","2,512","35,040",""
"HIGHLAND CAPITAL MANAGEMENT, LLC","12/31/2021","2,280","31,800",""
"STIFEL FINANCIAL CORP","12/31/2021","2,154","30,054",""
"Pacifica Partners Inc.","12/31/2021","2,138","29,571",""
"Radnor Capital Management, LLC","12/31/2021","2,042","28,485",""
"HighTower Advisors, LLC","12/31/2021","1,938","27,008",""
"Verition Fund Management LLC","12/31/2021","1,792","25,000","call"
"Twin Tree Management, LP","12/31/2021","1,757","24,513",""
"Bollard Group LLC","12/31/2021","1,749","24,397",""
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main","12/31/2021","1,724","24,200",""
"BOWEN HANES & CO INC","12/31/2021","1,696","23,656",""
"ROCKY MOUNTAIN ADVISERS, LLC","12/31/2021","1,649","23,000",""
"Baader Bank Aktiengesellschaft","12/31/2021","1,559","22,000",""
"Ipswich Investment Management Co., Inc.","12/31/2021","1,574","21,962",""
"Andra AP-fonden","12/31/2021","1,961","21,900",""
"Walleye Trading LLC","12/31/2021","1,561","21,781",""
"RESOURCES MANAGEMENT CORP /CT/ /ADV","12/31/2021","1,531","21,359",""
"CenterStar Asset Management, LLC","12/31/2021","1,378","21,200","put"
"BANQUE PICTET & CIE SA","12/31/2021","1,449","20,435",""
"CenterStar Asset Management, LLC","12/31/2021","1,326","20,400","call"
"Arnhold LLC","12/31/2021","1,455","20,300",""
"Advisors Asset Management, Inc.","12/31/2021","1,435","20,017",""
"WETHERBY ASSET MANAGEMENT INC","12/31/2021","1,422","19,832",""
"BI Asset Management Fondsmaeglerselskab A/S","12/31/2021","1,381","19,476",""
"COMERICA BANK","12/31/2021","1,338","18,849",""
"YOUSIF CAPITAL MANAGEMENT, LLC","12/31/2021","1,348","18,803",""
"ADVISOR GROUP HOLDINGS, INC.","12/31/2021","1,332","18,554",""
"Kestra Advisory Services, LLC","12/31/2021","1,306","18,217",""
"ADVISOR PARTNERS LLC","12/31/2021","1,302","18,158",""
"CIGNA INVESTMENTS INC /NEW","12/31/2021","1,273","17,959",""
"Cambridge Investment Research Advisors, Inc.","12/31/2021","1,282","17,884",""
"TODD ASSET MANAGEMENT LLC","12/31/2021","1,271","17,727",""
"VAN ECK ASSOCIATES CORP","12/31/2021","1,228","17,328",""
"Brookstone Capital Management","12/31/2021","1,213","16,744",""
"Raymond James Financial Services Advisors, Inc.","12/31/2021","1,178","16,620",""
"GUGGENHEIM CAPITAL LLC","12/31/2021","1,161","16,193",""
"RENAISSANCE TECHNOLOGIES LLC","12/31/2021","1,154","16,100",""
"Texas Yale Capital Corp.","12/31/2021","1,143","15,950",""
"JANE STREET GROUP, LLC","12/31/2021","1,133","15,800","put"
"Gulf International Bank (UK) Ltd","12/31/2021","1,050","14,823",""
"Bogart Wealth, LLC","12/31/2021","1,053","14,685",""
"FIRST REPUBLIC INVESTMENT MANAGEMENT, INC.","12/31/2021","1,037","14,469",""
"M&T Bank Corp","12/31/2021","1,011","14,092",""
"AVANTAX ADVISORY SERVICES, INC.","12/31/2021","986","13,748",""
"CLEAR STREET MARKETS LLC","12/31/2021","953","13,300",""
"Cornerstone Wealth Management, LLC","12/31/2021","916","12,885",""
"Forum Financial Management, LP","12/31/2021","897","12,516",""
"Pendal Group Ltd","12/31/2021","833","11,752",""
"BESSEMER GROUP INC","12/31/2021","820","11,584",""
"JANE STREET GROUP, LLC","12/31/2021","810","11,300","call"
"SIGNATUREFD, LLC","12/31/2021","787","10,977",""
"Vident Investment Advisory, LLC","12/31/2021","777","10,970",""
"Merit Financial Group, LLC","12/31/2021","776","10,821",""
"Summit Global Investments","12/31/2021","770","10,745",""
"AIGEN INVESTMENT MANAGEMENT, LP","12/31/2021","709","10,380",""
"qPULA Trading Management LP","12/31/2021","738","10,300",""
"MBB PUBLIC MARKETS I LLC","12/31/2021","735","10,249",""
"SMITHBRIDGE ASSET MANAGEMENT INC/DE","12/31/2021","724","10,106",""
"Boston Trust Walden Corp","12/31/2021","722","10,075",""
"Legg Mason Asset Management (Japan) Co., Ltd.","12/31/2021","708","10,000",""
"BLUESTEIN R H & CO","12/31/2021","717","10,000",""
"Nippon Life Global Investors Americas, Inc.","12/31/2021","712","9,930",""
"EXENCIAL WEALTH ADVISORS, LLC","12/31/2021","702","9,796",""
"IEQ CAPITAL, LLC","12/31/2021","694","9,684",""
"Proquility Private Wealth Partners, LLC","12/31/2021","685","9,348",""
"First National Trust Co","12/31/2021","668","9,318",""
"Pacer Advisors, Inc.","12/31/2021","668","9,317",""
"Veriti Management LLC","12/31/2021","665","9,281",""
"1620 INVESTMENT ADVISORS, INC.","12/31/2021","660","9,205",""
"Sterling Manor Financial, LLC","12/31/2021","655","9,137",""
"GLENMEDE TRUST CO NA","12/31/2021","638","8,918",""
"RITHOLTZ WEALTH MANAGEMENT","12/31/2021","636","8,871",""
"Allspring Global Investments Holdings, LLC","12/31/2021","630","8,800",""
"180 WEALTH ADVISORS, LLC","12/31/2021","606","8,482",""
"NEIRG Wealth Management, LLC","12/31/2021","591","8,246",""
"Hennion & Walsh Asset Management, Inc.","12/31/2021","591","8,238",""
"ENVESTNET ASSET MANAGEMENT INC","12/31/2021","589","8,217",""
"Total Clarity Wealth Management, Inc.","12/31/2021","585","8,160",""
"MAI Capital Management","12/31/2021","583","8,127",""
"Vontobel Holding Ltd.","12/31/2021","586","8,113",""
"Quilter Plc","12/31/2021","546","7,700",""
"MITCHELL MCLEOD PUGH & WILLIAMS INC","12/31/2021","548","7,650",""
"Financial Advisory Service, Inc.","12/31/2021","545","7,602",""
"BREWIN DOLPHIN LTD","12/31/2021","544","7,585",""
"Brinker Capital Investments, LLC","12/31/2021","540","7,531",""
"Lombard Odier Asset Management (Switzerland) SA","12/31/2021","667","7,444",""
"JJJ Advisors Inc.","12/31/2021","531","7,411",""
"EVERGREEN CAPITAL MANAGEMENT LLC","12/31/2021","530","7,399",""
"CAPTRUST FINANCIAL ADVISORS","12/31/2021","528","7,363",""
"BNP PARIBAS ARBITRAGE, SA","12/31/2021","523","7,307",""
"SILVERLAKE WEALTH MANAGEMENT LLC","12/31/2021","510","7,126",""
"Marathon Capital Management","12/31/2021","511","7,125",""
"BLAIR WILLIAM & CO/IL","12/31/2021","511","7,121",""
"EATON VANCE MANAGEMENT","12/31/2021","496","6,927",""
"KAVAR CAPITAL PARTNERS GROUP, LLC","12/31/2021","491","6,850",""
"Edgestream Partners, L.P.","12/31/2021","487","6,794",""
"OPPENHEIMER & CO INC","12/31/2021","482","6,721",""
"Moors & Cabot, Inc.","12/31/2021","472","6,585",""
"Creative Planning","12/31/2021","456","6,368",""
"PNC Financial Services Group, Inc.","12/31/2021","452","6,290",""
"Cohen Investment Advisors LLC","12/31/2021","449","6,270",""
"Geneos Wealth Management Inc.","12/31/2021","449","6,267",""
"Hemenway Trust Co LLC","12/31/2021","449","6,260",""
"JustInvest LLC","12/31/2021","439","6,129",""
"FORBES J M & CO LLP","12/31/2021","430","6,000",""
"Checchi Capital Advisers, LLC","12/31/2021","411","5,732",""
"Tower Research Capital LLC (TRC)","12/31/2021","388","5,525",""
"AE Wealth Management LLC","12/31/2021","394","5,500",""
"Cetera Investment Advisers","12/31/2021","384","5,352",""
"Laurel Wealth Advisors, Inc.","12/31/2021","382","5,325",""
"Engineers Gate Manager LP","12/31/2021","381","5,320",""
"Compagnie Lombard Odier SCmA","12/31/2021","375","5,285",""
"Baskin Financial Services Inc.","12/31/2021","373","5,275",""
"Ballentine Partners, LLC","12/31/2021","366","5,109",""
"NWAM LLC","12/31/2021","359","5,009",""
"Alan B. Lancz & Associates, Inc.","12/31/2021","358","5,000",""
"Ridgewood Investments LLC","12/31/2021","358","5,000",""
"Unio Capital LLC","12/31/2021","351","4,903",""
"Capital Investment Advisors, LLC","12/31/2021","351","4,895",""
"Old North State Trust, LLC","12/31/2021","349","4,872",""
"PEAK6 Investments LLC","12/31/2021","344","4,800","call"
"Sara-Bay Financial","12/31/2021","337","4,695",""
"Private Advisor Group, LLC","12/31/2021","334","4,653",""
"Americana Partners, LLC","12/31/2021","331","4,623",""
"Corient Capital Partners, LLC","12/31/2021","330","4,598",""
"Rockefeller Capital Management L.P.","12/31/2021","324","4,530",""
"West Family Investments, Inc.","12/31/2021","324","4,523",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","315","4,390",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","315","4,390",""
"FOX RUN MANAGEMENT, L.L.C.","12/31/2021","310","4,331",""
"NAPLES GLOBAL ADVISORS, LLC","12/31/2021","300","4,185",""
"Source Financial Advisors LLC","12/31/2021","297","4,152",""
"Venture Visionary Partners LLC","12/31/2021","297","4,150",""
"CIBC Private Wealth Group, LLC","12/31/2021","296","4,129",""
"Magnus Financial Group LLC","12/31/2021","296","4,129",""
"XTX Topco Ltd","12/31/2021","296","4,127",""
"Versor Investments LP","12/31/2021","290","4,100",""
"FIRST MANHATTAN CO","12/31/2021","286","4,000",""
"TWO SIGMA INVESTMENTS, LP","12/31/2021","287","4,000","call"
"Hotaling Investment Management, LLC","12/31/2021","287","4,000",""
"Robertson Stephens Wealth Management, LLC","12/31/2021","289","3,991",""
"Enterprise Bank & Trust Co","12/31/2021","285","3,977",""
"QUADRANT CAPITAL GROUP LLC","12/31/2021","284","3,955",""
"Gotham Asset Management, LLC","12/31/2021","283","3,942",""
"Essex Financial Services, Inc.","12/31/2021","282","3,930",""
"Sigma Planning Corp","12/31/2021","273","3,802",""
"Bridgefront Capital, LLC","12/31/2021","271","3,776",""
"BURNEY CO/","12/31/2021","268","3,745",""
"Parallel Advisors, LLC","12/31/2021","264","3,683",""
"Investors Research Corp","12/31/2021","251","3,500",""
"CONCOURSE FINANCIAL GROUP SECURITIES, INC.","12/31/2021","250","3,482",""
"PATHSTONE FAMILY OFFICE, LLC","12/31/2021","248","3,452",""
"PEAK6 Investments LLC","12/31/2021","241","3,356",""
"Baird Financial Group, Inc.","12/31/2021","240","3,344",""
"PRUDENTIAL FINANCIAL INC","12/31/2021","227","3,334",""
"D. E. Shaw & Co., Inc.","12/31/2021","232","3,230",""
"Qtron Investments LLC","12/31/2021","228","3,220",""
"JCIC Asset Management Inc.","12/31/2021","227","3,200",""
"TRUIST FINANCIAL CORP","12/31/2021","228","3,184",""
"Schechter Investment Advisors, LLC","12/31/2021","224","3,129",""
"Moloney Securities Asset Management, LLC","12/31/2021","224","3,120",""
"TWO SIGMA SECURITIES, LLC","12/31/2021","223","3,109",""
"Wealthsimple Inc.","12/31/2021","220","3,104",""
"BROWN BROTHERS HARRIMAN & CO","12/31/2021","222","3,100",""
"CREDIT AGRICOLE S A","12/31/2021","222","3,091",""
"Titus Wealth Management","12/31/2021","222","3,090",""
"TrinityPoint Wealth, LLC","12/31/2021","219","3,056",""
"Mutual Advisors, LLC","12/31/2021","218","3,043",""
"ONTARIO TEACHERS PENSION PLAN BOARD","12/31/2021","215","3,033",""
"ING GROEP NV","12/31/2021","217","3,026",""
"First Heartland Consultants, Inc.","12/31/2021","216","3,020",""
"Cerity Partners LLC","12/31/2021","218","3,012",""
"Stokes Family Office, LLC","12/31/2021","214","2,981",""
"Aull & Monroe Investment Management Corp","12/31/2021","208","2,900",""
"FIDUCIARY TRUST CO","12/31/2021","207","2,895",""
"Fortitude Advisory Group L.L.C.","12/31/2021","183","2,549",""
"NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO","12/31/2021","174","2,433",""
"Blueprint Investment Partners LLC","12/31/2021","155","2,167",""
"Cutler Group LP","12/31/2021","6","2,100","call"
"FARMERS & MERCHANTS INVESTMENTS INC","12/31/2021","143","2,000",""
"MIROVA","12/31/2021","141","1,993",""
"M&R CAPITAL MANAGEMENT INC","12/31/2021","131","1,840",""
"HARBOUR INVESTMENTS, INC.","12/31/2021","122","1,707",""
"COMMONS CAPITAL, LLC","12/31/2021","121","1,692",""
"TRUST CO OF VERMONT","12/31/2021","115","1,610",""
"Desjardins Global Asset Management Inc.","12/31/2021","113","1,589",""
"Parallax Volatility Advisers, L.P.","12/31/2021","94","1,300","call"
"UMB BANK N A/MO","12/31/2021","84","1,168",""
"Plante Moran Financial Advisors, LLC","12/31/2021","82","1,137",""
"Steward Partners Investment Advisory, LLC","12/31/2021","80","1,128",""
"American Portfolios Advisors","12/31/2021","78","1,100",""
"Mystic Asset Management, Inc.","12/31/2021","75","1,050",""
"Sandy Spring Bank","12/31/2021","72","1,010",""
"FIFTH THIRD BANCORP","12/31/2021","72","1,000",""
"Graves-Light Private Wealth Management, Inc.","12/31/2021","72","1,000",""
"WHITTIER TRUST CO","12/31/2021","72","1,000",""
"Lindbrook Capital, LLC","12/31/2021","69","969",""
"AdvisorNet Financial, Inc","12/31/2021","67","934",""
"BDO Wealth Advisors, LLC","12/31/2021","65","903",""
"Bedel Financial Consulting, Inc.","12/31/2021","57","800",""
"WASHINGTON TRUST Co","12/31/2021","57","800",""
"LORING WOLCOTT & COOLIDGE FIDUCIARY ADVISORS LLP/MA","12/31/2021","57","800",""
"Clearstead Advisors, LLC","12/31/2021","54","750",""
"Carroll Financial Associates, Inc.","12/31/2021","53","750",""
"Fieldpoint Private Securities, LLC","12/31/2021","54","747",""
"Pinnacle Bancorp, Inc.","12/31/2021","53","735",""
"Jackson, Grant Investment Advisers, Inc.","12/31/2021","50","700",""
"Optiver Holding B.V.","12/31/2021","44","680",""
"Asset Dedication, LLC","12/31/2021","48","661",""
"Princeton Global Asset Management LLC","12/31/2021","47","650",""
"Spire Wealth Management","12/31/2021","47","650",""
"HM PAYSON & CO","12/31/2021","45","630",""
"Barrett Asset Management, LLC","12/31/2021","45","625",""
