"Manager","Report Date","Value ($000)","Shares","Option Type"
"TWO SIGMA ADVISERS, LP","12/31/2020","2,929","54,209",""
"Ensign Peak Advisors, Inc","12/31/2020","2,906","53,806",""
"KEYBANK NATIONAL ASSOCIATION/OH","12/31/2020","2,749","50,872",""
"Capula Management Ltd","12/31/2020","2,702","50,000","put"
"PRELUDE CAPITAL MANAGEMENT, LLC","12/31/2020","2,702","50,000","put"
"Capula Management Ltd","12/31/2020","2,702","50,000","call"
"Candriam Luxembourg S.C.A.","12/31/2020","2,667","49,389",""
"VAN ECK ASSOCIATES CORP","12/31/2020","2,596","48,010",""
"DAVIS-REA LTD.","12/31/2020","2,565","47,569",""
"Cardinal Capital Management","12/31/2020","2,552","47,232",""
"AlphaCrest Capital Management LLC","12/31/2020","2,351","43,509",""
"JANE STREET GROUP, LLC","12/31/2020","2,322","42,991",""
"Allianz Asset Management GmbH","12/31/2020","2,309","42,753",""
"Tacita Capital Inc","12/31/2020","2,252","41,760",""
"NATIXIS ADVISORS, L.P.","12/31/2020","2,017","37,317",""
"CLARET ASSET MANAGEMENT Corp","12/31/2020","1,958","36,220",""
"KEMPEN CAPITAL MANAGEMENT N.V.","12/31/2020","3,174","36,208",""
"Russell Investments Group, Ltd.","12/31/2020","1,882","34,916",""
"Avalon Investment & Advisory","12/31/2020","1,843","34,106",""
"Radnor Capital Management, LLC","12/31/2020","1,836","33,975",""
"RESOURCES MANAGEMENT CORP /CT/ /ADV","12/31/2020","1,789","33,100",""
"MEAG MUNICH ERGO, Kapitalanlagegesellschaft mbH","12/31/2020","1,761","32,674",""
"TWO SIGMA INVESTMENTS, LP","12/31/2020","1,737","32,145",""
"NATIXIS","12/31/2020","1,658","30,683",""
"CenterStar Asset Management, LLC","12/31/2020","1,505","30,100","put"
"RAYMOND JAMES & ASSOCIATES","12/31/2020","1,586","29,368",""
"LPL Financial LLC","12/31/2020","1,573","29,112",""
"Pacifica Partners Inc.","12/31/2020","1,530","28,605",""
"Arnhold LLC","12/31/2020","1,546","28,600",""
"BREWIN DOLPHIN LTD","12/31/2020","1,483","27,452",""
"HighTower Advisors, LLC","12/31/2020","1,458","26,967",""
"Russell Investments Group, Ltd.","12/31/2020","1,409","26,113",""
"AMERICAN CENTURY COMPANIES INC","12/31/2020","1,411","26,097",""
"STIFEL FINANCIAL CORP","12/31/2020","1,349","24,962",""
"Nippon Life Global Investors Americas, Inc.","12/31/2020","1,329","24,590",""
"CAPITAL FUND MANAGEMENT S.A.","12/31/2020","1,307","24,200","call"
"ROCKY MOUNTAIN ADVISERS, LLC","12/31/2020","1,243","23,000",""
"M&T Bank Corp","12/31/2020","1,204","22,286",""
"Ipswich Investment Management Co., Inc.","12/31/2020","1,200","22,212",""
"Kestra Advisory Services, LLC","12/31/2020","1,187","22,019",""
"BOWEN HANES & CO INC","12/31/2020","1,162","21,506",""
"BI Asset Management Fondsmaeglerselskab A/S","12/31/2020","1,132","20,954",""
"COMMONWEALTH EQUITY SERVICES, LLC","12/31/2020","1,089","20,164",""
"Quantitative Systematic Strategies LLC","12/31/2020","1,084","20,058",""
"FOUNDERS FINANCIAL SECURITIES LLC","12/31/2020","1,032","19,106",""
"USS Investment Management Ltd","12/31/2020","1,027","19,000",""
"CIGNA INVESTMENTS INC /NEW","12/31/2020","993","18,391",""
"ADVISOR PARTNERS LLC","12/31/2020","992","18,366",""
"TODD ASSET MANAGEMENT LLC","12/31/2020","991","18,346",""
"AMERIPRISE FINANCIAL INC","12/31/2020","974","18,117",""
"CAPITAL FUND MANAGEMENT S.A.","12/31/2020","953","17,637",""
"SMITHBRIDGE ASSET MANAGEMENT INC/DE","12/31/2020","938","17,357",""
"Gulf International Bank (UK) Ltd","12/31/2020","914","16,921",""
"WETHERBY ASSET MANAGEMENT INC","12/31/2020","911","16,860",""
"WOLVERINE TRADING, LLC","12/31/2020","906","16,800","call"
"FIRST REPUBLIC INVESTMENT MANAGEMENT, INC.","12/31/2020","903","16,719",""
"Raymond James Financial Services Advisors, Inc.","12/31/2020","898","16,625",""
"Texas Yale Capital Corp.","12/31/2020","861","15,925",""
"Bollard Group LLC","12/31/2020","854","15,809",""
"Legg Mason Asset Management (Japan) Co., Ltd.","12/31/2020","838","15,500",""
"Brookstone Capital Management","12/31/2020","816","15,091",""
"CAPITAL FUND MANAGEMENT S.A.","12/31/2020","810","15,000","put"
"Advisors Asset Management, Inc.","12/31/2020","810","14,987",""
"FormulaFolio Investments, LLC","12/31/2020","803","14,858",""
"ADVISOR GROUP HOLDINGS, INC.","12/31/2020","793","14,655",""
"Y-Intercept (Hong Kong) Ltd","12/31/2020","747","13,865",""
"PEAK6 Investments LLC","12/31/2020","719","13,300","put"
"Balyasny Asset Management LLC","12/31/2020","713","13,200",""
"AVANTAX ADVISORY SERVICES, INC.","12/31/2020","665","12,340",""
"CONNING INC.","12/31/2020","647","11,974",""
"ONTARIO TEACHERS PENSION PLAN BOARD","12/31/2020","615","11,388",""
"Cornerstone Wealth Management, LLC","12/31/2020","610","11,291",""
"Lombard Odier Asset Management (Europe) Ltd","12/31/2020","591","10,939",""
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main","12/31/2020","579","10,781",""
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC","12/31/2020","579","10,714",""
"Paloma Partners Management Co","12/31/2020","558","10,319",""
"Pacer Advisors, Inc.","12/31/2020","543","10,049",""
"BLUESTEIN R H & CO","12/31/2020","540","10,000",""
"PNC Financial Services Group, Inc.","12/31/2020","530","9,819",""
"Paloma Partners Management Co","12/31/2020","530","9,800","call"
"CLEAR STREET MARKETS LLC","12/31/2020","530","9,800",""
"Merit Financial Group, LLC","12/31/2020","529","9,782",""
"PDT Partners, LLC","12/31/2020","526","9,731",""
"Boston Trust Walden Corp","12/31/2020","526","9,725",""
"Total Clarity Wealth Management, Inc.","12/31/2020","519","9,610",""
"Qtron Investments LLC","12/31/2020","490","9,073",""
"Trexquant Investment LP","12/31/2020","485","8,980",""
"Creative Planning","12/31/2020","485","8,974",""
"BESSEMER GROUP INC","12/31/2020","475","8,799",""
"Cubist Systematic Strategies, LLC","12/31/2020","450","8,322",""
"HRT FINANCIAL LP","12/31/2020","446","8,260",""
"OPPENHEIMER & CO INC","12/31/2020","439","8,116",""
"Marathon Capital Management","12/31/2020","436","8,070",""
"180 WEALTH ADVISORS, LLC","12/31/2020","448","8,061",""
"Bridgecreek Investment Management, LLC","12/31/2020","432","8,000",""
"BLUEFIN CAPITAL MANAGEMENT, LLC","12/31/2020","427","7,900",""
"Quilter Plc","12/31/2020","426","7,883",""
"Financial Advisory Service, Inc.","12/31/2020","419","7,748",""
"WELD CAPITAL MANAGEMENT LLC","12/31/2020","416","7,693",""
"MITCHELL MCLEOD PUGH & WILLIAMS INC","12/31/2020","413","7,650",""
"Baskin Financial Services Inc.","12/31/2020","406","7,523",""
"Callahan Advisors, LLC","12/31/2020","404","7,477",""
"First National Trust Co","12/31/2020","403","7,453",""
"KAVAR CAPITAL PARTNERS GROUP, LLC","12/31/2020","403","7,450",""
"SIGNATUREFD, LLC","12/31/2020","398","7,366",""
"Cambridge Investment Research Advisors, Inc.","12/31/2020","392","7,259",""
"Hemenway Trust Co LLC","12/31/2020","369","6,825",""
"Veriti Management LLC","12/31/2020","363","6,723",""
"BLAIR WILLIAM & CO/IL","12/31/2020","350","6,480",""
"Moors & Cabot, Inc.","12/31/2020","347","6,410",""
"Cohen Investment Advisors LLC","12/31/2020","327","6,042",""
"FORBES J M & CO LLP","12/31/2020","324","6,000",""
"Unio Capital LLC","12/31/2020","324","5,999",""
"Laurel Wealth Advisors, Inc.","12/31/2020","320","5,925",""
"Ballentine Partners, LLC","12/31/2020","319","5,890",""
"NWAM LLC","12/31/2020","318","5,885",""
"Baird Financial Group, Inc.","12/31/2020","316","5,839",""
"IMS Capital Management","12/31/2020","311","5,756",""
"Cresset Asset Management, LLC","12/31/2020","306","5,666",""
"CenterStar Asset Management, LLC","12/31/2020","297","5,513",""
"Ridgewood Investments LLC","12/31/2020","212","5,100",""
"GLENMEDE TRUST CO NA","12/31/2020","264","4,908",""
"Old North State Trust, LLC","12/31/2020","263","4,872",""
"Vident Investment Advisory, LLC","12/31/2020","247","4,642",""
"Checchi Capital Advisers, LLC","12/31/2020","242","4,472",""
"EVERGREEN CAPITAL MANAGEMENT LLC","12/31/2020","238","4,401",""
"HORIZON KINETICS ASSET MANAGEMENT LLC","12/31/2020","227","4,205",""
"Walleye Trading LLC","12/31/2020","227","4,200","put"
"JJJ Advisors Inc.","12/31/2020","226","4,176",""
"Magnus Financial Group LLC","12/31/2020","223","4,129",""
"CIBC Private Wealth Group, LLC","12/31/2020","223","4,129",""
"Capital Investment Advisors, LLC","12/31/2020","223","4,120",""
"Ethic Inc.","12/31/2020","220","4,072",""
"Source Financial Advisors LLC","12/31/2020","217","4,020",""
"Altium Wealth Management LLC","12/31/2020","216","4,000",""
"FIRST MANHATTAN CO","12/31/2020","216","4,000",""
"Robertson Stephens Wealth Management, LLC","12/31/2020","215","3,991",""
"JustInvest LLC","12/31/2020","214","3,961",""
"CAPROCK Group, Inc.","12/31/2020","212","3,916",""
"GROUP ONE TRADING, L.P.","12/31/2020","210","3,893",""
"Squarepoint Ops LLC","12/31/2020","205","3,790",""
"ENVESTNET ASSET MANAGEMENT INC","12/31/2020","205","3,788",""
"WOLVERINE TRADING, LLC","12/31/2020","204","3,779",""
"Sara-Bay Financial","12/31/2020","204","3,770",""
"Brandywine Oak Private Wealth LLC","12/31/2020","201","3,727",""
"RITHOLTZ WEALTH MANAGEMENT","12/31/2020","201","3,716",""
"GUGGENHEIM CAPITAL LLC","12/31/2020","201","3,708",""
"Walleye Trading LLC","12/31/2020","195","3,600","call"
"BNP PARIBAS ARBITRAGE, SA","12/31/2020","189","3,500",""
"Investors Research Corp","12/31/2020","189","3,500",""
"JCIC Asset Management Inc.","12/31/2020","173","3,200",""
"Sowell Financial Services LLC","12/31/2020","171","3,172",""
"Glassman Wealth Services","12/31/2020","170","3,144",""
"BROWN BROTHERS HARRIMAN & CO","12/31/2020","168","3,100",""
"Endurance Wealth Management, Inc.","12/31/2020","164","3,042",""
"Tower Research Capital LLC (TRC)","12/31/2020","159","2,946",""
"QUADRANT CAPITAL GROUP LLC","12/31/2020","153","2,833",""
"M&R CAPITAL MANAGEMENT INC","12/31/2020","152","2,830",""
"PATHSTONE FAMILY OFFICE, LLC","12/31/2020","145","2,687",""
"Parallel Advisors, LLC","12/31/2020","143","2,653",""
"FIFTH THIRD BANCORP","12/31/2020","142","2,634",""
"NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO","12/31/2020","126","2,333",""
"Walleye Trading LLC","12/31/2020","123","2,280",""
"MIROVA","12/31/2020","117","2,167",""
"FARMERS & MERCHANTS INVESTMENTS INC","12/31/2020","108","2,000",""
"Compagnie Lombard Odier SCmA","12/31/2020","105","1,940",""
"Banque Cantonale Vaudoise","12/31/2020","100","1,869",""
"TRUST CO OF VERMONT","12/31/2020","97","1,802",""
"CAPTRUST FINANCIAL ADVISORS","12/31/2020","92","1,705",""
"LSV ASSET MANAGEMENT","12/31/2020","91","1,700",""
"Parallax Volatility Advisers, L.P.","12/31/2020","89","1,642",""
"Bogart Wealth, LLC","12/31/2020","84","1,569",""
"Princeton Global Asset Management LLC","12/31/2020","65","1,200",""
"KBC Group NV","12/31/2020","63","1,164",""
"PROEQUITIES, INC.","12/31/2020","62","1,146",""
"Plante Moran Financial Advisors, LLC","12/31/2020","61","1,137",""
"Steward Partners Investment Advisory, LLC","12/31/2020","57","1,052",""
"Sandy Spring Bank","12/31/2020","55","1,010",""
"CREDIT AGRICOLE S A","12/31/2020","54","1,001",""
"Graves-Light Private Wealth Management, Inc.","12/31/2020","54","1,000",""
"Firestone Capital Management","12/31/2020","54","1,000",""
"MCMILLION CAPITAL MANAGEMENT INC","12/31/2020","45","840",""
"Geneos Wealth Management Inc.","12/31/2020","51","827",""
"WASHINGTON TRUST Co","12/31/2020","43","800",""
"LORING WOLCOTT & COOLIDGE FIDUCIARY ADVISORS LLP/MA","12/31/2020","43","800",""
"HM PAYSON & CO","12/31/2020","43","797",""
"Carroll Financial Associates, Inc.","12/31/2020","40","750",""
"Pinnacle Bank","12/31/2020","40","735",""
"Lindbrook Capital, LLC","12/31/2020","38","712",""
"Clearstead Advisors, LLC","12/31/2020","36","675",""
"HALL LAURIE J TRUSTEE","12/31/2020","33","600",""
"Freestone Capital Holdings, LLC","12/31/2020","32","600",""
"Lipe & Dalton","12/31/2020","31","575",""
"Zions Bancorporation, N.A.","12/31/2020","31","573",""
"SECURITY NATIONAL TRUST CO","12/31/2020","30","550",""
"BENJAMIN F. EDWARDS & COMPANY, INC.","12/31/2020","28","525",""
"North Star Investment Management Corp.","12/31/2020","27","500",""
"Cutler Group LP","12/31/2020","26","497",""
"NEXT Financial Group, Inc","12/31/2020","24","440",""
"Charter Oak Capital Management, LLC","12/31/2020","24","438",""
"INTERNATIONAL ASSETS INVESTMENT MANAGEMENT, LLC","12/31/2020","22","409",""
"Knott David M","12/31/2020","22","400",""
"CENTRAL TRUST Co","12/31/2020","22","400",""
"TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH PZU SA","12/31/2020","21","400",""
"Cutler Group LP","12/31/2020","0","400","put"
"Rockefeller Capital Management L.P.","12/31/2020","19","367",""
"TRUE Private Wealth Advisors","12/31/2020","16","303",""
"Front Row Advisors LLC","12/31/2020","16","300",""
"Private Capital Group, LLC","12/31/2020","16","295",""
"ENTERPRISE FINANCIAL SERVICES CORP","12/31/2020","15","285",""
"BlackRock Inc.","12/31/2020","14","264",""
"BerganKDV Wealth Management, LLC","12/31/2020","12","225",""
"AdvisorNet Financial, Inc","12/31/2020","12","224",""
"HUNTINGTON NATIONAL BANK","12/31/2020","11","200",""
"FSA Wealth Management LLC","12/31/2020","11","200",""
"Arkadios Wealth Advisors","12/31/2020","10","186",""
"TSFG, LLC","12/31/2020","10","180",""
"AlphaMark Advisors, LLC","12/31/2020","10","180",""
"Pinnacle Wealth Planning Services, Inc.","12/31/2020","10","176",""
"EARNEST PARTNERS LLC","12/31/2020","9","161",""
"CITY HOLDING CO","12/31/2020","8","150",""
"Altus Wealth Group LLC","12/31/2020","8","150",""
"Daiwa Securities Group Inc.","12/31/2020","7","130",""
"CWM, LLC","12/31/2020","8","117",""
"Farmers & Merchants Trust Co of Chambersburg PA","12/31/2020","5","100",""
"Financial Perspectives, Inc","12/31/2020","5","100",""
"Nelson, Van Denburg & Campbell Wealth Management Group, LLC","12/31/2020","4","90",""
"American Portfolios Advisors","12/31/2020","4","85",""
"HHM Wealth Advisors, LLC","12/31/2020","5","85",""
"Winslow, Evans & Crocker, Inc.","12/31/2020","4","75",""
"Kistler-Tiffany Companies, LLC","12/31/2020","4","65",""
"Tradewinds Capital Management, LLC","12/31/2020","3","55",""
"Prime Capital Investment Advisors, LLC","12/31/2020","3","50",""
"Pacitti Group Inc.","12/31/2020","2","48",""
"Financial Management Professionals, Inc.","12/31/2020","3","47",""
"MASSMUTUAL TRUST CO FSB/ADV","12/31/2020","2","39",""
"Archer Investment Corp","12/31/2020","1","37",""
"Gemmer Asset Management LLC","12/31/2020","1","27",""
"Barrett Asset Management, LLC","12/31/2020","1","25",""
"SOA Wealth Advisors, LLC.","12/31/2020","1","25",""
"Berman Capital Advisors, LLC","12/31/2020","1","21",""
"Advisory Services Network, LLC","12/31/2020","1","20",""
"Gradient Investments LLC","12/31/2020","0","12",""
"PNC Financial Services Group, Inc.","12/31/2020","0","4",""
"IFP Advisors, Inc","12/31/2020","0","0",""
"Erste Asset Management GmbH","12/31/2020","0","0",""
