"Manager","Report Date","Value ($000)","Shares","Option Type"
"Parallax Volatility Advisers, L.P.","12/31/2022","9,560","195,200","call"
"Euro Pacific Asset Management, LLC","12/31/2022","8,805","178,332",""
"AGF MANAGEMENT LTD","12/31/2022","8,579","175,106",""
"Achmea Investment Management B.V.","12/31/2022","7,621","166,129",""
"VAN ECK ASSOCIATES CORP","12/31/2022","7,494","153,011",""
"JANUS HENDERSON GROUP PLC","12/31/2022","7,054","144,110",""
"Balyasny Asset Management LLC","12/31/2022","6,905","140,991",""
"AMERIPRISE FINANCIAL INC","12/31/2022","8,373","140,654",""
"Cutler Group LLC / CA","12/31/2022","3","137,300","call"
"AMERICAN CENTURY COMPANIES INC","12/31/2022","6,680","136,339",""
"HOWLAND CAPITAL MANAGEMENT LLC","12/31/2022","6,537","133,470",""
"CenterBook Partners LP","12/31/2022","6,451","131,717",""
"Allianz Asset Management GmbH","12/31/2022","6,215","126,862",""
"Rathbones Group Plc","12/31/2022","6,179","126,208",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2022","6,076","123,800","put"
"Investment Management Corp of Ontario","12/31/2022","6,039","123,361",""
"MILLENNIUM MANAGEMENT LLC","12/31/2022","5,735","117,061",""
"Covea Finance","12/31/2022","5,513","112,500",""
"Candriam S.C.A.","12/31/2022","5,293","108,113",""
"Lombard Odier Asset Management (Europe) Ltd","12/31/2022","6,917","104,213",""
"Cumberland Partners Ltd","12/31/2022","5,088","103,828",""
"OSSIAM","12/31/2022","5,061","103,375",""
"Cubist Systematic Strategies, LLC","12/31/2022","5,049","103,100","call"
"GROUP ONE TRADING, L.P.","12/31/2022","4,920","100,459",""
"Lorne Steinberg Wealth Management Inc.","12/31/2022","4,902","100,080",""
"American Assets Investment Management, LLC","12/31/2022","4,898","100,000",""
"DUALITY ADVISERS, LP","12/31/2022","4,896","99,961",""
"Cubist Systematic Strategies, LLC","12/31/2022","4,780","97,600","put"
"TWO SIGMA INVESTMENTS, LP","12/31/2022","4,729","96,551",""
"ALLIANCEBERNSTEIN L.P.","12/31/2022","4,573","93,383",""
"WELLS FARGO & COMPANY/MN","12/31/2022","4,418","90,088",""
"BANK OF MONTREAL /CAN/","12/31/2022","4,293","85,300","call"
"ClariVest Asset Management LLC","12/31/2022","4,167","85,060",""
"Avalon Investment & Advisory","12/31/2022","4,031","82,297",""
"Snowden Capital Advisors LLC","12/31/2022","3,951","80,685",""
"BANK OF NOVA SCOTIA","12/31/2022","3,562","72,672",""
"Assenagon Asset Management S.A.","12/31/2022","3,390","69,198",""
"Ilmarinen Mutual Pension Insurance Co","12/31/2022","3,260","66,485",""
"US BANCORP \DE\","12/31/2022","3,219","65,728",""
"Walleye Trading LLC","12/31/2022","3,208","65,500","put"
"Squarepoint Ops LLC","12/31/2022","3,203","65,400","put"
"Cutler Group LLC / CA","12/31/2022","151","64,600","put"
"ROYAL LONDON ASSET MANAGEMENT LTD","12/31/2022","3,097","63,233",""
"Ensign Peak Advisors, Inc","12/31/2022","3,221","61,506",""
"Mitsubishi UFJ Trust & Banking Corp","12/31/2022","3,000","61,313",""
"Cubist Systematic Strategies, LLC","12/31/2022","2,909","59,356",""
"PEAK6 Investments LLC","12/31/2022","2,889","59,000","call"
"Pathway Financial Advisers, LLC","12/31/2022","2,828","57,750",""
"LPL Financial LLC","12/31/2022","2,772","56,610",""
"Andra AP-fonden","12/31/2022","3,675","55,400",""
"RAYMOND JAMES & ASSOCIATES","12/31/2022","2,607","53,246",""
"COMMONWEALTH EQUITY SERVICES, LLC","12/31/2022","2,607","53,245",""
"NATIXIS","12/31/2022","2,387","48,753",""
"SHELL ASSET MANAGEMENT CO","12/31/2022","2,373","48,438",""
"Cardinal Capital Management","12/31/2022","2,365","48,300",""
"Metis Global Partners, LLC","12/31/2022","2,294","46,829",""
"Grantham, Mayo, Van Otterloo & Co. LLC","12/31/2022","2,292","46,800",""
"CAPITAL FUND MANAGEMENT S.A.","12/31/2022","2,257","46,100","put"
"WOLVERINE TRADING, LLC","12/31/2022","2,253","46,000","call"
"Fiera Capital Corp","12/31/2022","2,190","44,652",""
"Arabesque Asset Management Ltd","12/31/2022","2,164","44,198",""
"Qube Research & Technologies Ltd","12/31/2022","2,133","43,564",""
"Cutler Group LLC / CA","12/31/2022","2,116","43,210",""
"K.J. Harrison & Partners Inc","12/31/2022","2,754","41,521",""
"DAVENPORT & Co LLC","12/31/2022","1,979","40,412",""
"WOLVERINE TRADING, LLC","12/31/2022","1,907","38,937",""
"Walleye Trading LLC","12/31/2022","1,865","38,089",""
"KEYBANK NATIONAL ASSOCIATION/OH","12/31/2022","1,845","37,678",""
"DAVIS-REA LTD.","12/31/2022","1,805","37,613",""
"CAPITAL FUND MANAGEMENT S.A.","12/31/2022","1,827","37,321",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2022","1,796","36,700","call"
"STIFEL FINANCIAL CORP","12/31/2022","1,711","34,936",""
"PCJ Investment Counsel Ltd.","12/31/2022","1,687","34,447",""
"Callahan Advisors, LLC","12/31/2022","1,604","32,755",""
"Summit Global Investments","12/31/2022","1,603","32,726",""
"Kestra Advisory Services, LLC","12/31/2022","1,586","32,381",""
"FORA Capital, LLC","12/31/2022","1,561","31,885",""
"Pacifica Partners Inc.","12/31/2022","1,498","30,677",""
"WETHERBY ASSET MANAGEMENT INC","12/31/2022","1,474","30,098",""
"NATIXIS ADVISORS, L.P.","12/31/2022","1,472","30,043",""
"HIGHLAND CAPITAL MANAGEMENT, LLC","12/31/2022","1,460","29,800",""
"Arnhold LLC","12/31/2022","1,400","28,600",""
"Radnor Capital Management, LLC","12/31/2022","1,408","28,215",""
"Tacita Capital Inc","12/31/2022","1,374","28,030",""
"AVANTAX ADVISORY SERVICES, INC.","12/31/2022","1,361","27,806",""
"La Banque Postale Asset Management SA","12/31/2022","1,346","27,508",""
"Ipswich Investment Management Co., Inc.","12/31/2022","1,266","25,851",""
"Y-Intercept (Hong Kong) Ltd","12/31/2022","1,265","25,829",""
"Mariner, LLC","12/31/2022","1,250","25,523",""
"CAPITAL FUND MANAGEMENT S.A.","12/31/2022","1,204","24,600","call"
"Raymond James Financial Services Advisors, Inc.","12/31/2022","1,196","24,427",""
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main","12/31/2022","1,185","24,200",""
"PRINCIPAL FINANCIAL GROUP INC","12/31/2022","1,175","24,003",""
"ROCKY MOUNTAIN ADVISERS, LLC","12/31/2022","1,127","23,000",""
"CIGNA INVESTMENTS INC /NEW","12/31/2022","1,124","22,943",""
"HighTower Advisors, LLC","12/31/2022","1,110","22,586",""
"BNP PARIBAS ARBITRAGE, SNC","12/31/2022","1,080","22,066",""
"Schonfeld Strategic Advisors LLC","12/31/2022","1,077","22,000",""
"Creative Planning","12/31/2022","1,073","21,909",""
"Intrua Financial, LLC","12/31/2022","1,065","20,805",""
"YOUSIF CAPITAL MANAGEMENT, LLC","12/31/2022","984","20,108",""
"COMERICA BANK","12/31/2022","1,046","20,108",""
"BOWEN HANES & CO INC","12/31/2022","973","19,881",""
