"Manager","Report Date","Value ($000)","Shares","Option Type"
"CITADEL ADVISORS LLC","12/31/2021","24,226","224,900","call"
"Ilmarinen Mutual Pension Insurance Co","12/31/2021","24,039","224,304",""
"UBS Group AG","12/31/2021","23,455","217,751",""
"Rempart Asset Management Inc.","12/31/2021","23,124","214,924",""
"AVIVA PLC","12/31/2021","22,718","211,108",""
"Hillsdale Investment Management Inc.","12/31/2021","22,571","209,390",""
"RENAISSANCE TECHNOLOGIES LLC","12/31/2021","22,394","207,895",""
"CIBC World Markets Inc.","12/31/2021","21,544","200,000","call"
"GLUSKIN SHEFF & ASSOC INC","12/31/2021","21,496","199,581",""
"VIRGINIA RETIREMENT SYSTEMS ET AL","12/31/2021","21,057","195,300",""
"DekaBank Deutsche Girozentrale","12/31/2021","20,523","192,401",""
"FORSTA AP-FONDEN","12/31/2021","20,572","190,800",""
"TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY","12/31/2021","20,254","188,020",""
"CITADEL ADVISORS LLC","12/31/2021","20,022","185,868",""
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC","12/31/2021","19,632","182,211",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","19,454","180,600","put"
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","19,454","180,600","put"
"DORCHESTER WEALTH MANAGEMENT Co","12/31/2021","19,389","180,497",""
"BAROMETER CAPITAL MANAGEMENT INC.","12/31/2021","23,968","177,627",""
"Neuberger Berman Group LLC","12/31/2021","19,214","176,039",""
"Zurcher Kantonalbank (Zurich Cantonalbank)","12/31/2021","18,561","174,816",""
"STATE OF WISCONSIN INVESTMENT BOARD","12/31/2021","18,832","174,662",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","18,215","169,100","call"
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","18,215","169,100","call"
"AlphaCrest Capital Management LLC","12/31/2021","18,171","168,686",""
"HAP Trading, LLC","12/31/2021","1,001","156,200","put"
"Qube Research & Technologies Ltd","12/31/2021","16,099","149,452",""
"NN Investment Partners Holdings N.V.","12/31/2021","15,844","147,076",""
"Jarislowsky, Fraser Ltd","12/31/2021","15,544","145,954",""
"USS Investment Management Ltd","12/31/2021","15,392","142,868",""
"FEDERATED HERMES, INC.","12/31/2021","15,101","140,185",""
"Burgundy Asset Management Ltd.","12/31/2021","15,039","140,000",""
"ST GERMAIN D J CO INC","12/31/2021","14,761","137,029",""
"Candriam Luxembourg S.C.A.","12/31/2021","14,681","136,170",""
"MARSHALL WACE, LLP","12/31/2021","14,158","131,383",""
"PINNACLE FINANCIAL PARTNERS INC","12/31/2021","13,154","122,110",""
"JANE STREET GROUP, LLC","12/31/2021","12,851","119,300","call"
"Achmea Investment Management B.V.","12/31/2021","12,838","119,077",""
"STRS OHIO","12/31/2021","12,571","116,600",""
"CITIGROUP INC","12/31/2021","12,507","116,000",""
"Walleye Trading LLC","12/31/2021","11,289","104,800","put"
"D. E. Shaw & Co., Inc.","12/31/2021","11,193","103,900","put"
"APG Asset Management N.V.","12/31/2021","9,564","100,875",""
"Cutler Group LP","12/31/2021","503","100,800","put"
"Polar Asset Management Partners Inc.","12/31/2021","10,780","100,000","call"
"American Assets Investment Management, LLC","12/31/2021","10,341","96,000",""
"K.J. Harrison & Partners Inc","12/31/2021","9,950","92,478",""
"EATON VANCE MANAGEMENT","12/31/2021","9,874","91,662",""
"ClariVest Asset Management LLC","12/31/2021","9,088","84,286",""
"Investment Management Corp of Ontario","12/31/2021","8,921","82,820",""
"Cubist Systematic Strategies, LLC","12/31/2021","8,614","79,963",""
"PCJ Investment Counsel Ltd.","12/31/2021","8,601","79,830",""
"RAYMOND JAMES & ASSOCIATES","12/31/2021","8,465","78,525",""
"WELLS FARGO & COMPANY/MN","12/31/2021","8,442","78,367",""
"BARCLAYS PLC","12/31/2021","8,386","77,864",""
"BARCLAYS PLC","12/31/2021","8,386","77,864",""
"SCHRODER INVESTMENT MANAGEMENT GROUP","12/31/2021","10,453","76,754",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2021","7,902","73,284",""
"SHELL ASSET MANAGEMENT CO","12/31/2021","7,585","70,357",""
"BANK OF AMERICA CORP /DE/","12/31/2021","7,540","70,000","put"
"Northwest & Ethical Investments L.P.","12/31/2021","7,219","67,056",""
"Azimuth Capital Management LLC","12/31/2021","7,217","67,001",""
"CAPITAL FUND MANAGEMENT S.A.","12/31/2021","6,875","63,831",""
"NATIXIS","12/31/2021","6,832","63,353",""
"Hudson Bay Capital Management LP","12/31/2021","6,463","60,000",""
"LPL Financial LLC","12/31/2021","6,420","59,595",""
"M&T Bank Corp","12/31/2021","6,364","59,070",""
"Cumberland Partners Ltd","12/31/2021","6,286","58,341",""
"Legacy Capital Partners, Inc.","12/31/2021","6,045","56,128",""
"ALLIANCEBERNSTEIN L.P.","12/31/2021","5,982","55,535",""
"Walleye Trading LLC","12/31/2021","5,963","55,360",""
"Rockefeller Capital Management L.P.","12/31/2021","5,782","53,678",""
"WESTPAC BANKING CORP","12/31/2021","7,264","53,342",""
"STIFEL FINANCIAL CORP","12/31/2021","5,597","51,972",""
"Mitsubishi UFJ Trust & Banking Corp","12/31/2021","8,937","51,510",""
"Waratah Capital Advisors Ltd.","12/31/2021","5,242","48,686",""
"Balyasny Asset Management LLC","12/31/2021","5,009","46,500","put"
"AMERIPRISE FINANCIAL INC","12/31/2021","4,759","45,730",""
"Crossmark Global Holdings, Inc.","12/31/2021","4,868","45,187",""
"Walleye Trading LLC","12/31/2021","4,664","43,300","call"
"HAP Trading, LLC","12/31/2021","4,615","42,841",""
"Edgestream Partners, L.P.","12/31/2021","4,435","41,176",""
"DSM Capital Partners LLC","12/31/2021","4,338","40,291",""
"CITIGROUP INC","12/31/2021","4,313","40,000","call"
"JANE STREET GROUP, LLC","12/31/2021","4,244","39,400","put"
"AMERICAN CENTURY COMPANIES INC","12/31/2021","4,234","39,324",""
"Rathbones Group PLC","12/31/2021","3,927","36,422",""
"Quantbot Technologies LP","12/31/2021","3,921","36,405",""
"ADVISOR GROUP HOLDINGS, INC.","12/31/2021","3,779","35,035",""
"D. E. Shaw & Co., Inc.","12/31/2021","3,663","34,000",""
"LSV ASSET MANAGEMENT","12/31/2021","3,544","32,900",""
"Baird Financial Group, Inc.","12/31/2021","3,527","32,744",""
"ENVESTNET ASSET MANAGEMENT INC","12/31/2021","3,520","32,677",""
"SUSQUEHANNA FUNDAMENTAL INVESTMENTS, LLC","12/31/2021","3,450","32,043",""
"Silver Lake Advisory, LLC","12/31/2021","3,390","31,471",""
"Ensign Peak Advisors, Inc","12/31/2021","3,281","30,429",""
"Parallax Volatility Advisers, L.P.","12/31/2021","3,232","30,000","call"
"Credential Qtrade Securities Inc.","12/31/2021","3,191","29,637",""
"UMB BANK N A/MO","12/31/2021","3,081","28,600",""
"Paloma Partners Management Co","12/31/2021","3,071","28,496",""
"WoodTrust Financial Corp","12/31/2021","2,909","27,003",""
"VOLORIDGE INVESTMENT MANAGEMENT, LLC","12/31/2021","2,854","26,490",""
"Parallax Volatility Advisers, L.P.","12/31/2021","2,843","26,395",""
"Pendal Group Ltd","12/31/2021","2,830","26,267",""
"BRIDGEWAY CAPITAL MANAGEMENT, LLC","12/31/2021","2,715","25,200",""
"RESOURCES MANAGEMENT CORP /CT/ /ADV","12/31/2021","2,706","25,120",""
"PORTLAND INVESTMENT COUNSEL INC.","12/31/2021","2,671","24,810",""
"COMMONWEALTH EQUITY SERVICES, LLC","12/31/2021","2,569","23,856",""
"PRICE T ROWE ASSOCIATES INC /MD/","12/31/2021","2,529","23,458",""
"Stratos Wealth Partners, LTD.","12/31/2021","2,488","23,095",""
"US BANCORP \DE\","12/31/2021","2,487","23,089",""
"Assenagon Asset Management S.A.","12/31/2021","2,478","22,980",""
"HighTower Advisors, LLC","12/31/2021","2,440","22,639",""
"VAN ECK ASSOCIATES CORP","12/31/2021","2,372","22,012",""
"NATIXIS ADVISORS, L.P.","12/31/2021","2,252","20,908",""
"Manitou Investment Management Ltd.","12/31/2021","2,230","20,760",""
"Private Advisor Group, LLC","12/31/2021","2,190","20,332",""
"NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO","12/31/2021","2,179","20,232",""
"TRUIST FINANCIAL CORP","12/31/2021","2,156","20,015",""
"Schonfeld Strategic Advisors LLC","12/31/2021","2,112","19,600",""
"Lombard Odier Asset Management (Europe) Ltd","12/31/2021","2,638","19,368",""
"Magnetar Financial LLC","12/31/2021","2,061","19,136",""
"ASSOCIATED BANC-CORP","12/31/2021","2,007","18,626",""
"BANQUE PICTET & CIE SA","12/31/2021","1,985","18,415",""
"Unigestion Holding SA","12/31/2021","1,981","18,383",""
"Squarepoint Ops LLC","12/31/2021","1,964","18,237",""
"Vontobel Holding Ltd.","12/31/2021","1,929","17,853",""
"Lorne Steinberg Wealth Management Inc.","12/31/2021","1,854","17,262",""
"WETHERBY ASSET MANAGEMENT INC","12/31/2021","1,818","16,876",""
"Nexus Investment Management ULC","12/31/2021","1,780","16,544",""
"NorthRock Partners, LLC","12/31/2021","1,778","16,495",""
"BREWIN DOLPHIN LTD","12/31/2021","1,774","16,472",""
"MML INVESTORS SERVICES, LLC","12/31/2021","1,771","16,442",""
"Raymond James Financial Services Advisors, Inc.","12/31/2021","1,691","15,686",""
"Tacita Capital Inc","12/31/2021","1,667","15,495",""
"Perfromance Wealth Partners, LLC","12/31/2021","1,627","15,100",""
"Baader Bank Aktiengesellschaft","12/31/2021","1,616","15,000",""
"NAPLES GLOBAL ADVISORS, LLC","12/31/2021","1,598","14,832",""
"Curbstone Financial Management Corp","12/31/2021","1,566","14,534",""
"Essex Financial Services, Inc.","12/31/2021","1,564","14,523",""
"DAVIS-REA LTD.","12/31/2021","1,446","13,443",""
"Summit Global Investments","12/31/2021","1,370","12,719",""
"Advisors Asset Management, Inc.","12/31/2021","1,328","12,326",""
"Pegasus Partners Ltd.","12/31/2021","1,308","12,145",""
"OPPENHEIMER & CO INC","12/31/2021","1,307","12,131",""
"Texas Yale Capital Corp.","12/31/2021","1,255","11,648",""
"PRUDENTIAL FINANCIAL INC","12/31/2021","1,247","11,566",""
"FIRST AMERICAN BANK","12/31/2021","1,245","11,558",""
"Creative Planning","12/31/2021","1,239","11,499",""
"Crescent Grove Advisors, LLC","12/31/2021","1,180","10,951",""
"Castleview Partners, LLC","12/31/2021","100","10,772",""
"NORTH STAR ASSET MANAGEMENT INC","12/31/2021","1,136","10,549",""
"FINANCIAL COUNSELORS INC","12/31/2021","1,118","10,383",""
"ADVISOR PARTNERS LLC","12/31/2021","1,107","10,276",""
"Smithfield Trust Co","12/31/2021","1,106","10,268",""
"STATE STREET CORP","12/31/2021","1,093","10,148",""
"COMERICA BANK","12/31/2021","1,157","10,119",""
"YOUSIF CAPITAL MANAGEMENT, LLC","12/31/2021","1,080","10,027",""
"Anson Funds Management LP","12/31/2021","1,078","10,000",""
"Geneos Wealth Management Inc.","12/31/2021","1,063","9,871",""
"Cutler Group LP","12/31/2021","1,046","9,719",""
"CIGNA INVESTMENTS INC /NEW","12/31/2021","1,027","9,531",""
"AE Wealth Management LLC","12/31/2021","1,013","9,401",""
"Johnson Financial Group, Inc.","12/31/2021","999","9,272",""
"Berger Financial Group, Inc","12/31/2021","963","8,937",""
"Probity Advisors, Inc.","12/31/2021","961","8,920",""
"FIFTH THIRD BANCORP","12/31/2021","958","8,896",""
"Ipswich Investment Management Co., Inc.","12/31/2021","948","8,802",""
"Trexquant Investment LP","12/31/2021","937","8,700",""
"SEGALL BRYANT & HAMILL, LLC","12/31/2021","893","8,274",""
"Kestra Advisory Services, LLC","12/31/2021","880","8,173",""
"Connectus Wealth, LLC","12/31/2021","880","8,146",""
"Baskin Financial Services Inc.","12/31/2021","850","7,903",""
"Veritable, L.P.","12/31/2021","812","7,542",""
"Astrantus Ltd","12/31/2021","803","7,455",""
"BLAIR WILLIAM & CO/IL","12/31/2021","801","7,432",""
"Vident Investment Advisory, LLC","12/31/2021","793","7,350",""
"ACADIAN ASSET MANAGEMENT LLC","12/31/2021","790","7,342",""
"Marathon Capital Management","12/31/2021","782","7,255",""
"Cambridge Investment Research Advisors, Inc.","12/31/2021","777","7,213",""
"Veriti Management LLC","12/31/2021","762","7,072",""
"Cetera Advisor Networks LLC","12/31/2021","748","6,943",""
"Forum Financial Management, LP","12/31/2021","736","6,828",""
"Busey Wealth Management","12/31/2021","718","6,668",""
"CIBC Private Wealth Group, LLC","12/31/2021","716","6,641",""
"Gulf International Bank (UK) Ltd","12/31/2021","705","6,543",""
"NICOLET ADVISORY SERVICES, LLC","12/31/2021","688","6,384",""
"NWAM LLC","12/31/2021","683","6,336",""
"BURNEY CO/","12/31/2021","680","6,315",""
"TI-TRUST, INC","12/31/2021","668","6,200",""
"Cresset Asset Management, LLC","12/31/2021","655","6,082",""
"PREMIER ASSET MANAGEMENT LLC","12/31/2021","651","6,047",""
"SIGNATUREFD, LLC","12/31/2021","641","5,953",""
"MERCER GLOBAL ADVISORS INC /ADV","12/31/2021","629","5,839",""
"PNC Financial Services Group, Inc.","12/31/2021","627","5,829",""
"ATLAS CAPITAL ADVISORS LLC","12/31/2021","625","5,803",""
"VAUGHAN & Co SECURITIES, INC.","12/31/2021","620","5,755",""
"Allspring Global Investments Holdings, LLC","12/31/2021","606","5,628",""
"Patten Group, Inc.","12/31/2021","604","5,609",""
"MBB PUBLIC MARKETS I LLC","12/31/2021","602","5,593",""
"Quilter Plc","12/31/2021","602","5,590",""
"D.A. DAVIDSON & CO.","12/31/2021","592","5,524",""
"Dorsey & Whitney Trust CO LLC","12/31/2021","595","5,522",""
"JCIC Asset Management Inc.","12/31/2021","590","5,473",""
"HARBOUR INVESTMENTS, INC.","12/31/2021","582","5,401",""
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main","12/31/2021","580","5,400",""
"GROUP ONE TRADING, L.P.","12/31/2021","578","5,369",""
"Brinker Capital Investments, LLC","12/31/2021","574","5,324",""
"Lingohr & Partner Asset Management GmbH","12/31/2021","566","5,296",""
"Tradition Wealth Management, LLC","12/31/2021","563","5,223",""
"qPULA Trading Management LP","12/31/2021","560","5,200",""
"AIGEN INVESTMENT MANAGEMENT, LP","12/31/2021","540","5,090",""
"Dixon Mitchell Investment Counsel Inc.","12/31/2021","546","5,076",""
"Pacer Advisors, Inc.","12/31/2021","535","4,965",""
"GLENMEDE TRUST CO NA","12/31/2021","532","4,944",""
"BI Asset Management Fondsmaeglerselskab A/S","12/31/2021","527","4,885",""
"Tower Research Capital LLC (TRC)","12/31/2021","519","4,851",""
"MQS Management LLC","12/31/2021","508","4,719",""
"TWO SIGMA SECURITIES, LLC","12/31/2021","503","4,673",""
"FIRST BUSINESS FINANCIAL SERVICES, INC.","12/31/2021","499","4,635",""
"CARRET ASSET MANAGEMENT, LLC","12/31/2021","496","4,609",""
"Voya Investment Management LLC","12/31/2021","494","4,580",""
"Corient Capital Partners, LLC","12/31/2021","491","4,557",""
"JustInvest LLC","12/31/2021","488","4,530",""
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.","12/31/2021","484","4,522",""
"ROWLAND & CO INVESTMENT COUNSEL/ADV","12/31/2021","482","4,476",""
"Magnus Financial Group LLC","12/31/2021","477","4,425",""
"Lombard Odier Asset Management (Switzerland) SA","12/31/2021","599","4,400",""
"Engineers Gate Manager LP","12/31/2021","474","4,396",""
"OLD NATIONAL BANCORP /IN/","12/31/2021","459","4,262",""
"JOHNSON INVESTMENT COUNSEL INC","12/31/2021","458","4,248",""
"COMMERCE BANK","12/31/2021","456","4,232",""
"CenterStar Asset Management, LLC","12/31/2021","430","4,100","call"
"Hennion & Walsh Asset Management, Inc.","12/31/2021","435","4,034",""
"Boltwood Capital Management","12/31/2021","431","4,000",""
"Annex Advisory Services, LLC","12/31/2021","411","3,820",""
"Cetera Investment Advisers","12/31/2021","407","3,776",""
"RITHOLTZ WEALTH MANAGEMENT","12/31/2021","404","3,752",""
"COZAD ASSET MANAGEMENT INC","12/31/2021","401","3,724",""
"DIXON HUBARD FEINOUR & BROWN INC/VA","12/31/2021","399","3,700",""
"GREAT VALLEY ADVISOR GROUP, INC.","12/31/2021","390","3,619",""
"Gotham Asset Management, LLC","12/31/2021","385","3,578",""
"BRIGHTON JONES LLC","12/31/2021","381","3,539",""
"Ballentine Partners, LLC","12/31/2021","380","3,525",""
"SILVERLAKE WEALTH MANAGEMENT LLC","12/31/2021","378","3,517",""
"PUZO MICHAEL J","12/31/2021","377","3,500",""
"Bay Colony Advisory Group, Inc d/b/a Bay Colony Advisors","12/31/2021","371","3,442",""
"BNP PARIBAS ARBITRAGE, SA","12/31/2021","358","3,326",""
"Archford Capital Strategies, LLC","12/31/2021","358","3,323",""
"BANK OF HAWAII","12/31/2021","358","3,319",""
"Andra AP-fonden","12/31/2021","449","3,300",""
"THOMPSON INVESTMENT MANAGEMENT, INC.","12/31/2021","352","3,269",""
"KLCM Advisors, Inc.","12/31/2021","351","3,261",""
"Blueshift Asset Management, LLC","12/31/2021","338","3,137",""
"EVERGREEN CAPITAL MANAGEMENT LLC","12/31/2021","336","3,115",""
"FDx Advisors, Inc.","12/31/2021","334","3,105",""
"FIRST REPUBLIC INVESTMENT MANAGEMENT, INC.","12/31/2021","333","3,094",""
"Americana Partners, LLC","12/31/2021","332","3,084",""
"BROWN BROTHERS HARRIMAN & CO","12/31/2021","332","3,079",""
"QUADRANT CAPITAL GROUP LLC","12/31/2021","329","3,052",""
"WESTWOOD HOLDINGS GROUP INC","12/31/2021","323","3,000",""
"BOSTON PRIVATE WEALTH LLC","12/31/2021","319","2,965",""
"AFT, FORSYTH & COMPANY, INC.","12/31/2021","316","2,936",""
"Enterprise Bank & Trust Co","12/31/2021","315","2,920",""
"Petrus Trust Company, LTA","12/31/2021","310","2,877",""
"Y-Intercept (Hong Kong) Ltd","12/31/2021","306","2,843",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","301","2,796",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","301","2,796",""
"PATTEN & PATTEN INC/TN","12/31/2021","300","2,783",""
"Belpointe Asset Management LLC","12/31/2021","293","2,725",""
"Archetype Wealth Partners","12/31/2021","286","2,657",""
"DOLIVER ADVISORS, LP","12/31/2021","308","2,650",""
"Parallel Advisors, LLC","12/31/2021","283","2,627",""
"Checchi Capital Advisers, LLC","12/31/2021","283","2,624",""
"North Star Investment Management Corp.","12/31/2021","280","2,599",""
"PARK NATIONAL CORP /OH/","12/31/2021","278","2,585",""
"AdvisorNet Financial, Inc","12/31/2021","271","2,520",""
"ING GROEP NV","12/31/2021","270","2,509",""
"CAPTRUST FINANCIAL ADVISORS","12/31/2021","270","2,508",""
"BLUESTEIN R H & CO","12/31/2021","269","2,500",""
"Integrated Wealth Concepts LLC","12/31/2021","269","2,494",""
"Cordasco Financial Network","12/31/2021","264","2,455",""
"Bayesian Capital Management, LP","12/31/2021","261","2,422",""
"WENDELL DAVID ASSOCIATES INC","12/31/2021","259","2,400",""
"Westover Capital Advisors, LLC","12/31/2021","259","2,400",""
"Bogart Wealth, LLC","12/31/2021","258","2,391",""
"Ameritas Advisory Services, LLC","12/31/2021","257","2,386",""
"CREDIT AGRICOLE S A","12/31/2021","254","2,361",""
"Focus Financial Network, Inc.","12/31/2021","254","2,359",""
"West Family Investments, Inc.","12/31/2021","253","2,349",""
"LANDAAS & CO /WI /ADV","12/31/2021","251","2,326",""
"OARSMAN CAPITAL, INC.","12/31/2021","250","2,323",""
"BNP PARIBAS ASSET MANAGEMENT Holding S.A.","12/31/2021","248","2,300",""
"SCHMIDT P J INVESTMENT MANAGEMENT INC","12/31/2021","254","2,242",""
"PATHSTONE FAMILY OFFICE, LLC","12/31/2021","241","2,235",""
"OBERMEYER WOOD INVESTMENT COUNSEL, LLLP","12/31/2021","240","2,225",""
"REDW Wealth LLC","12/31/2021","239","2,220",""
"Independent Advisor Alliance","12/31/2021","235","2,179",""
"Boston Trust Walden Corp","12/31/2021","234","2,175",""
"Diversified Trust Co","12/31/2021","234","2,168",""
"Good Life Advisors, LLC","12/31/2021","233","2,161",""
"Investors Research Corp","12/31/2021","232","2,157",""
"PRIO WEALTH LIMITED PARTNERSHIP","12/31/2021","232","2,150",""
"Lindbrook Capital, LLC","12/31/2021","229","2,127",""
"Mutual Advisors, LLC","12/31/2021","229","2,123",""
"BDO Wealth Advisors, LLC","12/31/2021","227","2,110",""
"Sheaff Brock Investment Advisors, LLC","12/31/2021","227","2,107",""
"GUGGENHEIM CAPITAL LLC","12/31/2021","225","2,085",""
"Ausdal Financial Partners, Inc.","12/31/2021","223","2,071",""
"SNS Financial Group, LLC","12/31/2021","218","2,025",""
"BRIDGES INVESTMENT MANAGEMENT INC","12/31/2021","215","2,000",""
"Southland Equity Partners LLC","12/31/2021","211","1,965",""
"RMB Capital Management, LLC","12/31/2021","212","1,965",""
"Tudor Investment Corp Et Al","12/31/2021","210","1,951",""
"Ellenbecker Investment Group","12/31/2021","207","1,922",""
