"Manager","Report Date","Value ($000)","Shares","Option Type"
"NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO","12/31/2019","1,531","19,754",""
"PORTLAND INVESTMENT COUNSEL INC.","12/31/2019","1,528","19,710",""
"REILLY FINANCIAL ADVISORS, LLC","12/31/2019","1,526","19,685",""
"Johnson Financial Group, Inc.","12/31/2019","1,492","19,254",""
"Walleye Trading LLC","12/31/2019","1,473","19,000","call"
"Baskin Financial Services Inc.","12/31/2019","1,373","17,717",""
"Candriam Luxembourg S.C.A.","12/31/2019","1,340","17,272",""
"Zurich Insurance Group Ltd/FI","12/31/2019","1,319","17,000",""
"NAPLES GLOBAL ADVISORS, LLC","12/31/2019","1,313","16,947",""
"Ativo Capital Management LLC","12/31/2019","1,280","16,511",""
"Addenda Capital Inc.","12/31/2019","1,280","16,483",""
"Sullivan, Bruyette, Speros & Blaney, LLC","12/31/2019","1,244","16,048",""
"Cambridge Investment Research Advisors, Inc.","12/31/2019","1,235","15,931",""
"NorthRock Partners, LLC","12/31/2019","1,588","15,779",""
"Credential Qtrade Securities Inc.","12/31/2019","1,198","15,461",""
"Moloney Securities Asset Management, LLC","12/31/2019","1,187","15,321",""
"DSM Capital Partners LLC","12/31/2019","1,115","14,400",""
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.","12/31/2019","1,084","13,970",""
"Signition LP","12/31/2019","1,031","13,300",""
"FERGUSON WELLMAN CAPITAL MANAGEMENT, INC","12/31/2019","1,028","13,260",""
"NATIXIS ADVISORS, L.P.","12/31/2019","1,018","13,136",""
"CITADEL ADVISORS LLC","12/31/2019","1,000","12,900","put"
"WETHERBY ASSET MANAGEMENT INC","12/31/2019","999","12,890",""
"FINANCIAL COUNSELORS INC","12/31/2019","994","12,823",""
"PNC Financial Services Group, Inc.","12/31/2019","987","12,734",""
"A.R.T. Advisors, LLC","12/31/2019","968","12,492",""
"Texas Yale Capital Corp.","12/31/2019","951","12,276",""
"FIRST AMERICAN BANK","12/31/2019","939","12,119",""
"Quantitative Investment Management, LLC","12/31/2019","915","11,818",""
"NORTH STAR ASSET MANAGEMENT INC","12/31/2019","893","11,523",""
"GLUSKIN SHEFF & ASSOC INC","12/31/2019","872","11,476",""
"Manitou Investment Management Ltd.","12/31/2019","883","11,397",""
"Nexus Investment Management Inc.","12/31/2019","863","11,120",""
"CIDEL ASSET MANAGEMENT INC","12/31/2019","846","10,896",""
"Gulf International Bank (UK) Ltd","12/31/2019","804","10,378",""
"STATE STREET CORP","12/31/2019","784","10,112",""
"Qube Research & Technologies Ltd","12/31/2019","760","9,800",""
"CIGNA INVESTMENTS INC /NEW","12/31/2019","717","9,393",""
"Cascade Investment Advisors, Inc.","12/31/2019","699","9,025",""
"D.A. DAVIDSON & CO.","12/31/2019","694","8,954",""
"SIGNATUREFD, LLC","12/31/2019","691","8,916",""
"BLAIR WILLIAM & CO/IL","12/31/2019","685","8,841",""
"Ipswich Investment Management Co., Inc.","12/31/2019","682","8,802",""
"Marathon Capital Management","12/31/2019","664","8,580",""
"MERCER GLOBAL ADVISORS INC /ADV","12/31/2019","663","8,554",""
"Probity Advisors, Inc.","12/31/2019","660","8,511",""
"Quilter Plc","12/31/2019","659","8,489",""
"JCIC Asset Management Inc.","12/31/2019","651","8,397",""
"VAUGHAN AND COMPANY SECURITIES, INC.","12/31/2019","625","8,072",""
"Blueshift Asset Management, LLC","12/31/2019","624","8,054",""
"OSSIAM","12/31/2019","621","8,000",""
"Cutler Group LP","12/31/2019","19","7,900","call"
"BUSEY WEALTH MANAGEMENT","12/31/2019","602","7,767",""
"SMITHFIELD TRUST CO","12/31/2019","596","7,688",""
"Creative Planning","12/31/2019","595","7,681",""
"BLUESTEIN R H & CO","12/31/2019","581","7,500",""
"CAPITAL FUND MANAGEMENT S.A.","12/31/2019","581","7,500","put"
"Dixon Mitchell Investment Counsel Inc.","12/31/2019","576","7,428",""
"Advisors Asset Management, Inc.","12/31/2019","575","7,414",""
"CSat Investment Advisory, L.P.","12/31/2019","572","7,384",""
"Crescent Grove Advisors, LLC","12/31/2019","568","7,334",""
"ASSOCIATED BANC-CORP","12/31/2019","568","7,319",""
"FIRST REPUBLIC INVESTMENT MANAGEMENT, INC.","12/31/2019","538","6,946",""
"NWAM LLC","12/31/2019","533","6,875",""
"Lombard Odier Asset Management (Europe) Ltd","12/31/2019","685","6,802",""
"RMB Capital Management, LLC","12/31/2019","525","6,764",""
"MEAG MUNICH ERGO KAPITALANLAGEGESELLSCHAFT MBH","12/31/2019","518","6,719",""
"FIFTH THIRD BANCORP","12/31/2019","519","6,702",""
"ALGERT GLOBAL LLC","12/31/2019","509","6,565",""
"COMMERZBANK AKTIENGESELLSCHAFT /FI","12/31/2019","504","6,501",""
"CITADEL ADVISORS LLC","12/31/2019","504","6,500","call"
"BENJAMIN F. EDWARDS & COMPANY, INC.","12/31/2019","493","6,359",""
"PREMIER ASSET MANAGEMENT LLC","12/31/2019","488","6,294",""
"Annex Advisory Services, LLC","12/31/2019","485","6,270",""
"OPPENHEIMER & CO INC","12/31/2019","477","6,149",""
