"Manager","Report Date","Value ($000)","Shares","Option Type"
"WELCH & FORBES LLC","12/31/2023","19,542","302,424",""
"HSBC HOLDINGS PLC","12/31/2023","19,474","300,900","call"
"Walleye Trading LLC","12/31/2023","19,004","294,100","call"
"COMMONWEALTH OF PENNSYLVANIA PUBLIC SCHOOL EMPLS RETRMT SYS","12/31/2023","18,893","290,964",""
"Erste Asset Management GmbH","12/31/2023","18,384","283,583",""
"Rempart Asset Management Inc.","12/31/2023","18,347","283,041",""
"Crossmark Global Holdings, Inc.","12/31/2023","18,255","282,493",""
"Investment Management Corp of Ontario","12/31/2023","18,250","282,434",""
"GODSEY & GIBB, INC","12/31/2023","18,224","282,025",""
"Heathbridge Capital Management Ltd.","12/31/2023","17,948","277,255",""
"USS Investment Management Ltd","12/31/2023","17,778","275,260",""
"Cubist Systematic Strategies, LLC","12/31/2023","17,298","267,648",""
"JANE STREET GROUP, LLC","12/31/2023","16,817","260,252",""
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC","12/31/2023","16,413","254,003",""
"AMERICAN CENTURY COMPANIES INC","12/31/2023","15,983","247,354",""
"Onex Canada Asset Management Inc.","12/31/2023","15,979","247,300",""
"ALLIANCEBERNSTEIN L.P.","12/31/2023","15,788","244,332",""
"First Long Island Investors, LLC","12/31/2023","15,785","244,275",""
"RAYMOND JAMES & ASSOCIATES","12/31/2023","15,601","241,429",""
"LPL Financial LLC","12/31/2023","15,496","239,811",""
"Skandinaviska Enskilda Banken AB (publ)","12/31/2023","15,133","234,188",""
"Advisors Capital Management, LLC","12/31/2023","14,670","227,022",""
"VAN ECK ASSOCIATES CORP","12/31/2023","14,584","225,581",""
"BANK OF AMERICA CORP /DE/","12/31/2023","14,539","225,000","put"
"K.J. Harrison & Partners Inc","12/31/2023","14,563","224,966",""
"MILLENNIUM MANAGEMENT LLC","12/31/2023","14,277","220,942",""
"BARCLAYS PLC","12/31/2023","14,176","219,390",""
"GTS SECURITIES LLC","12/31/2023","14,151","219,000","call"
"Utah Retirement Systems","12/31/2023","13,942","214,727",""
"Genus Capital Management Inc.","12/31/2023","13,610","209,606","put"
"STRS OHIO","12/31/2023","13,566","208,940",""
"Modera Wealth Management, LLC","12/31/2023","13,363","206,807",""
"HighTower Advisors, LLC","12/31/2023","13,345","206,658",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2023","12,255","188,743",""
"Power Corp of Canada","12/31/2023","11,211","173,229",""
