"Manager","Report Date","Value ($000)","Shares","Option Type"
"MONTRUSCO BOLTON INVESTMENTS INC.","12/31/2022","115,485","1,784,847",""
"Cardinal Capital Management, Inc.","12/31/2022","115,063","1,776,764",""
"Addenda Capital Inc.","12/31/2022","147,810","1,685,988",""
"Korea Investment CORP","12/31/2022","105,132","1,624,834",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2022","101,719","1,570,698",""
"Russell Investments Group, Ltd.","12/31/2022","99,343","1,533,486",""
"CLEAR STREET LLC","12/31/2022","97,140","1,500,000","call"
"D. E. Shaw & Co., Inc.","12/31/2022","94,991","1,467,600","call"
"CIBC WORLD MARKET INC.","12/31/2022","93,829","1,450,000","call"
"Capital International Investors","12/31/2022","93,337","1,441,322",""
"AustralianSuper Pty Ltd","12/31/2022","91,830","1,418,196",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2022","91,550","1,408,121",""
"Triasima Portfolio Management inc.","12/31/2022","88,554","1,368,063",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2022","83,370","1,288,495",""
"UBS Group AG","12/31/2022","81,846","1,263,841",""
"SIG North Trading, ULC","12/31/2022","80,138","1,236,700","put"
"Neuberger Berman Group LLC","12/31/2022","79,338","1,225,773",""
"LINCLUDEN MANAGEMENT LTD","12/31/2022","78,751","1,216,250",""
"FIRST TRUST ADVISORS LP","12/31/2022","74,033","1,143,204",""
"CITADEL ADVISORS LLC","12/31/2022","73,742","1,138,700","call"
"Dixon Mitchell Investment Counsel Inc.","12/31/2022","71,014","1,096,547",""
"Value Partners Investments Inc.","12/31/2022","65,717","1,015,258",""
"STATE OF WISCONSIN INVESTMENT BOARD","12/31/2022","62,672","968,605",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2022","60,421","933,000","call"
"CITIGROUP INC","12/31/2022","59,592","921,011",""
"BlackRock Inc.","12/31/2022","56,204","867,892",""
"GLUSKIN SHEFF & ASSOC INC","12/31/2022","54,095","835,406",""
"SIG North Trading, ULC","12/31/2022","53,557","826,500","call"
"JANUS HENDERSON GROUP PLC","12/31/2022","53,438","825,852",""
"NORTHERN TRUST CORP","12/31/2022","53,424","824,957",""
"GUARDIAN CAPITAL ADVISORS LP","12/31/2022","52,784","810,732",""
"BANK OF NOVA SCOTIA TRUST CO","12/31/2022","52,471","810,249",""
"Burgundy Asset Management Ltd.","12/31/2022","51,018","788,179",""
"Nexus Investment Management ULC","12/31/2022","50,599","781,316",""
"PICTET ASSET MANAGEMENT SA","12/31/2022","48,350","747,241",""
"Advisors Capital Management, LLC","12/31/2022","48,060","742,127",""
"Northwest & Ethical Investments L.P.","12/31/2022","47,465","733,074",""
"Royal Bank of Canada","12/31/2022","46,951","725,000","call"
"AVIVA PLC","12/31/2022","45,756","706,262",""
"Hillsdale Investment Management Inc.","12/31/2022","42,185","652,051",""
"Skandinaviska Enskilda Banken AB (publ)","12/31/2022","41,468","640,328",""
"Mawer Investment Management Ltd.","12/31/2022","39,736","613,600",""
"MILLENNIUM MANAGEMENT LLC","12/31/2022","38,568","595,445",""
"Walleye Trading LLC","12/31/2022","36,667","566,200","put"
"Candriam S.C.A.","12/31/2022","36,249","560,252",""
"TORONTO DOMINION BANK","12/31/2022","35,135","542,299",""
"Ilmarinen Mutual Pension Insurance Co","12/31/2022","34,367","530,711",""
"Zurcher Kantonalbank (Zurich Cantonalbank)","12/31/2022","32,597","503,799",""
"QV Investors Inc.","12/31/2022","32,115","496,351",""
"FORSTA AP-FONDEN","12/31/2022","29,893","462,000",""
"CITADEL ADVISORS LLC","12/31/2022","29,258","451,800","put"
"Allianz Asset Management GmbH","12/31/2022","28,807","445,211",""
"Man Group plc","12/31/2022","27,908","431,201",""
"M&T Bank Corp","12/31/2022","27,897","430,780",""
"Creative Planning","12/31/2022","25,955","400,793",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2022","25,872","400,000",""
"CITADEL ADVISORS LLC","12/31/2022","25,517","394,026",""
"Pendal Group Ltd","12/31/2022","25,198","389,159",""
"LAZARD ASSET MANAGEMENT LLC","12/31/2022","24,210","373,846",""
"JANE STREET GROUP, LLC","12/31/2022","23,678","365,628",""
"WELCH & FORBES LLC","12/31/2022","23,054","355,993",""
"AXA S.A.","12/31/2022","22,780","351,764",""
"UNITED SERVICES AUTOMOBILE ASSOCIATION","12/31/2022","21,540","332,656",""
"RAYMOND JAMES & ASSOCIATES","12/31/2022","21,366","329,934",""
"USS Investment Management Ltd","12/31/2022","21,238","327,985",""
"Walleye Trading LLC","12/31/2022","20,937","323,302",""
"Heathbridge Capital Management Ltd.","12/31/2022","20,744","320,475",""
"ROYAL LONDON ASSET MANAGEMENT LTD","12/31/2022","20,391","314,881",""
"TWO SIGMA INVESTMENTS, LP","12/31/2022","19,888","307,112",""
"NICOLA WEALTH MANAGEMENT LTD.","12/31/2022","19,577","303,000",""
"Crossmark Global Holdings, Inc.","12/31/2022","19,379","299,253",""
"TWO SIGMA ADVISERS, LP","12/31/2022","19,363","299,000",""
"Rempart Asset Management Inc.","12/31/2022","19,134","295,458",""
"COMMONWEALTH OF PENNSYLVANIA PUBLIC SCHOOL EMPLS RETRMT SYS","12/31/2022","18,471","285,464",""
"AMF Tjanstepension AB","12/31/2022","18,151","276,136",""
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC","12/31/2022","17,398","268,692",""
"DORCHESTER WEALTH MANAGEMENT Co","12/31/2022","17,001","264,865",""
"GODSEY & GIBB, INC","12/31/2022","17,035","263,051",""
"Baskin Financial Services Inc.","12/31/2022","16,875","260,893",""
"First Long Island Investors, LLC","12/31/2022","16,333","252,218",""
"Walleye Trading LLC","12/31/2022","15,950","246,300","call"
"MILLENNIUM MANAGEMENT LLC","12/31/2022","20,797","238,000","put"
"ClariVest Asset Management LLC","12/31/2022","15,280","236,150",""
"WOLVERINE TRADING, LLC","12/31/2022","15,206","234,800","put"
"Polar Capital Holdings Plc","12/31/2022","15,117","233,444",""
"Cumberland Partners Ltd","12/31/2022","14,758","227,953",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2022","14,758","227,900","put"
"Parsec Financial Management, Inc.","12/31/2022","14,637","226,022",""
"Qube Research & Technologies Ltd","12/31/2022","14,278","220,481",""
"VAN ECK ASSOCIATES CORP","12/31/2022","14,220","219,848",""
"Mitsubishi UFJ Trust & Banking Corp","12/31/2022","14,068","217,508",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2022","13,410","207,265",""
"HighTower Advisors, LLC","12/31/2022","13,387","206,749",""
"HAP Trading, LLC","12/31/2022","360","204,200","put"
"Unigestion Holding SA","12/31/2022","13,346","204,100",""
"BLAIR WILLIAM & CO/IL","12/31/2022","12,962","200,169",""
"BANK OF MONTREAL /CAN/","12/31/2022","12,944","199,400","call"
"MARSHALL WACE, LLP","12/31/2022","12,570","194,108",""
"Achmea Investment Management B.V.","12/31/2022","11,283","186,110",""
"BAROMETER CAPITAL MANAGEMENT INC.","12/31/2022","11,786","184,207",""
"HSBC HOLDINGS PLC","12/31/2022","11,863","184,000","call"
"STRS OHIO","12/31/2022","11,578","178,940",""
"SIG North Trading, ULC","12/31/2022","11,001","169,921",""
"LPL Financial LLC","12/31/2022","10,833","167,287",""
"Euro Pacific Asset Management, LLC","12/31/2022","1,632","166,997",""
"PCJ Investment Counsel Ltd.","12/31/2022","10,748","165,991",""
"ENVESTNET ASSET MANAGEMENT INC","12/31/2022","10,699","165,213",""
"D. E. Shaw & Co., Inc.","12/31/2022","10,074","155,656",""
"American Assets Investment Management, LLC","12/31/2022","10,037","155,000",""
"ADVOCATE GROUP LLC","12/31/2022","9,641","148,883",""
"DAVIS-REA LTD.","12/31/2022","9,185","141,827",""
"BARCLAYS PLC","12/31/2022","8,965","138,429",""
"SHELL ASSET MANAGEMENT CO","12/31/2022","8,809","136,146",""
"COMMONWEALTH EQUITY SERVICES, LLC","12/31/2022","8,430","130,177",""
"Parallax Volatility Advisers, L.P.","12/31/2022","8,095","125,000","put"
"MILLENNIUM MANAGEMENT LLC","12/31/2022","10,959","125,000","call"
"AMERIPRISE FINANCIAL INC","12/31/2022","8,896","123,244",""
"Rockefeller Capital Management L.P.","12/31/2022","7,915","122,259",""
"Azimuth Capital Investment Management LLC","12/31/2022","7,784","120,208",""
"M. Kulyk & Associates, LLC","12/31/2022","7,771","120,006",""
"Investment Management Corp of Ontario","12/31/2022","7,616","117,714",""
"Eagle Ridge Investment Management","12/31/2022","7,596","117,307",""
"NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO","12/31/2022","7,389","114,104",""
"RESOURCES MANAGEMENT CORP /CT/ /ADV","12/31/2022","7,321","113,046",""
"HAP Trading, LLC","12/31/2022","7,122","109,978",""
"ADELL HARRIMAN & CARPENTER INC","12/31/2022","7,074","109,246",""
"Power Corp of Canada","12/31/2022","7,042","108,874",""
"FIDUCIARY TRUST CO","12/31/2022","6,690","103,308",""
"MEAG MUNICH ERGO, Kapitalanlagegesellschaft mbH","12/31/2022","6,670","103,093",""
"STIFEL FINANCIAL CORP","12/31/2022","6,626","102,328",""
"OSSIAM","12/31/2022","6,507","100,570",""
"LVM CAPITAL MANAGEMENT LTD/MI","12/31/2022","6,476","100,006",""
"Capula Management Ltd","12/31/2022","6,476","100,000","call"
"NATIXIS ADVISORS, L.P.","12/31/2022","6,463","99,792",""
"Erste Asset Management GmbH","12/31/2022","6,338","97,026",""
"Lorne Steinberg Wealth Management Inc.","12/31/2022","6,207","95,896",""
"NATIXIS","12/31/2022","6,200","95,752",""
"NewSquare Capital LLC","12/31/2022","6,182","95,475",""
"Sequoia Financial Advisors, LLC","12/31/2022","6,083","93,946",""
"PEAK6 Investments LLC","12/31/2022","6,022","93,000","call"
"Connectus Wealth, LLC","12/31/2022","6,014","92,855",""
"DSM Capital Partners LLC","12/31/2022","5,946","91,820",""
"Waratah Capital Advisors Ltd.","12/31/2022","5,939","91,728",""
"K.J. Harrison & Partners Inc","12/31/2022","7,872","89,794",""
"Independent Advisor Alliance","12/31/2022","5,810","89,709",""
"Ensign Peak Advisors, Inc","12/31/2022","6,201","89,453",""
"Insight Folios Inc","12/31/2022","5,723","88,376",""
"Beaton Management Co. Inc.","12/31/2022","5,653","87,294",""
"JUPITER ASSET MANAGEMENT LTD","12/31/2022","5,518","85,360",""
"Eastover Investment Advisors LLC","12/31/2022","5,505","85,008",""
"Metis Global Partners, LLC","12/31/2022","5,419","83,702",""
"Epoch Investment Partners, Inc.","12/31/2022","5,397","83,344",""
"ADVISOR GROUP HOLDINGS, INC.","12/31/2022","5,348","82,573",""
"Te Ahumairangi Investment Management Ltd","12/31/2022","5,295","81,832",""
"Parallax Volatility Advisers, L.P.","12/31/2022","5,252","81,100","call"
"CITIGROUP INC","12/31/2022","5,176","80,000","call"
"Artemis Investment Management LLP","12/31/2022","5,163","79,401",""
"HENNESSY ADVISORS INC","12/31/2022","4,676","72,200",""
"JTC Employer Solutions Trustee Ltd","12/31/2022","4,623","71,315",""
"La Banque Postale Asset Management SA","12/31/2022","4,349","67,219",""
"Coastline Trust Co","12/31/2022","4,327","66,820",""
"Cetera Advisor Networks LLC","12/31/2022","4,140","63,933",""
"Mariner, LLC","12/31/2022","4,123","63,666",""
"Cutler Group LLC / CA","12/31/2022","168","63,500","call"
"CLARET ASSET MANAGEMENT Corp","12/31/2022","4,040","62,459",""
"Knights of Columbus Asset Advisors LLC","12/31/2022","3,874","59,823",""
"Varma Mutual Pension Insurance Co","12/31/2022","3,770","58,272",""
"BALDWIN BROTHERS LLC/MA","12/31/2022","3,738","57,730",""
"GIRARD PARTNERS LTD.","12/31/2022","3,700","57,147",""
"Cubist Systematic Strategies, LLC","12/31/2022","3,561","55,000","call"
"Cubist Systematic Strategies, LLC","12/31/2022","3,555","54,900","put"
"TRUIST FINANCIAL CORP","12/31/2022","3,514","54,271",""
"Lombard Odier Asset Management (Europe) Ltd","12/31/2022","4,527","51,641",""
"Auto-Owners Insurance Co","12/31/2022","3,294","50,875",""
"Covington Investment Advisors Inc.","12/31/2022","3,280","50,651",""
"Parallax Volatility Advisers, L.P.","12/31/2022","3,278","50,629",""
"Assenagon Asset Management S.A.","12/31/2022","3,273","50,585",""
"UMB Bank, n.a.","12/31/2022","3,238","50,005",""
"Caption Management, LLC","12/31/2022","3,238","50,000","call"
"TRUST CO OF VERMONT","12/31/2022","3,186","49,202",""
"Mirae Asset Global Investments Co., Ltd.","12/31/2022","3,123","48,228",""
"Cambridge Investment Research Advisors, Inc.","12/31/2022","3,116","48,122",""
"ACADIAN ASSET MANAGEMENT LLC","12/31/2022","3,060","47,342",""
"Pacifica Partners Inc.","12/31/2022","3,044","46,859",""
"Janney Montgomery Scott LLC","12/31/2022","2,953","45,600",""
"WRIGHT INVESTORS SERVICE INC","12/31/2022","2,893","44,676",""
"Tacita Capital Inc","12/31/2022","2,890","44,622",""
"PORTLAND INVESTMENT COUNSEL INC.","12/31/2022","2,748","42,437",""
"Rathbones Group Plc","12/31/2022","2,713","41,939",""
"Raymond James Financial Services Advisors, Inc.","12/31/2022","2,711","41,864",""
"CI Private Wealth, LLC","12/31/2022","2,678","41,355",""
"M&R CAPITAL MANAGEMENT INC","12/31/2022","2,632","40,655",""
"SEEYOND","12/31/2022","2,603","40,242",""
"FOSTER & MOTLEY INC","12/31/2022","2,590","39,990",""
"Manitou Investment Management Ltd.","12/31/2022","2,531","39,105",""
"VOLORIDGE INVESTMENT MANAGEMENT, LLC","12/31/2022","2,525","39,000",""
"Cassaday & Co Wealth Management LLC","12/31/2022","2,503","38,664",""
"Private Advisor Group, LLC","12/31/2022","1,092","37,884",""
"Cardinal Capital Management","12/31/2022","2,434","37,595",""
"Arabesque Asset Management Ltd","12/31/2022","2,383","36,807",""
"Stratos Wealth Advisors, LLC","12/31/2022","2,240","34,600",""
"EVOKE WEALTH, LLC","12/31/2022","2,220","34,281",""
"RAYMOND JAMES & ASSOCIATES","12/31/2022","6","33,700","call"
"PARSONS CAPITAL MANAGEMENT INC/RI","12/31/2022","2,163","33,415",""
"GRIMES & COMPANY, INC.","12/31/2022","2,148","33,177",""
"GUGGENHEIM CAPITAL LLC","12/31/2022","2,113","32,643",""
"PNC Financial Services Group, Inc.","12/31/2022","2,104","32,492",""
"Kestra Advisory Services, LLC","12/31/2022","2,092","32,313",""
"Claro Advisors LLC","12/31/2022","2,076","32,067",""
"TOBAM","12/31/2022","2,040","31,434",""
"COMERICA BANK","12/31/2022","2,110","31,404",""
"WealthTrust Axiom LLC","12/31/2022","2,010","31,050",""
"ALBERT D MASON INC","12/31/2022","2,011","31,048",""
"FIRST REPUBLIC INVESTMENT MANAGEMENT, INC.","12/31/2022","1,994","30,804",""
"YOUSIF CAPITAL MANAGEMENT, LLC","12/31/2022","1,985","30,660",""
"PARK CIRCLE Co","12/31/2022","1,929","29,800",""
"Weaver C. Barksdale & Associates, Inc.","12/31/2022","1,927","29,771",""
"DELTA FINANCIAL ADVISORS LLC","12/31/2022","1,894","29,252",""
"UBS Group AG","12/31/2022","1,890","29,200","put"
"Integrated Wealth Concepts LLC","12/31/2022","1,887","29,140",""
"Moors & Cabot, Inc.","12/31/2022","1,874","28,939",""
"LINCOLN NATIONAL CORP","12/31/2022","1,863","28,770",""
"PLIMOTH TRUST CO LLC","12/31/2022","1,828","28,227",""
"PINNACLE ASSOCIATES LTD","12/31/2022","1,827","28,215",""
"HIGHLAND CAPITAL MANAGEMENT, LLC","12/31/2022","1,774","27,400",""
"ADVISOR PARTNERS II, LLC","12/31/2022","1,754","27,093",""
"CAPTRUST FINANCIAL ADVISORS","12/31/2022","1,743","26,918",""
"Allspring Global Investments Holdings, LLC","12/31/2022","1,729","26,713",""
"Pathway Financial Advisers, LLC","12/31/2022","1,729","26,706",""
"Creegan & Nassoura Financial Group, LLC","12/31/2022","1,703","26,300",""
"SECURITY NATIONAL BANK OF SIOUX CITY IOWA /IA/","12/31/2022","1,657","25,582",""
"Family Legacy, Inc.","12/31/2022","1,700","25,256",""
"Crescent Sterling, Ltd.","12/31/2022","1,628","25,146",""
"Inlet Private Wealth, LLC","12/31/2022","1,626","25,115",""
"SECURITY NATIONAL BANK OF SO DAK","12/31/2022","1,614","24,918",""
"Hudson Portfolio Management LLC","12/31/2022","1,607","24,828",""
"Applied Capital LLC/FL","12/31/2022","1,599","24,706",""
"US BANCORP \DE\","12/31/2022","1,590","24,558",""
"M Holdings Securities, Inc.","12/31/2022","1,562","24,128",""
"GSB Wealth Management, LLC","12/31/2022","1,533","23,675",""
"Hanson & Doremus Investment Management","12/31/2022","1,527","23,575",""
"Vident Investment Advisory, LLC","12/31/2022","1,482","22,916",""
"Stratos Wealth Partners, LTD.","12/31/2022","1,406","21,714",""
"Bard Financial Services, Inc.","12/31/2022","1,403","21,665",""
"Bradley Mark J.","12/31/2022","1,398","21,585",""
"HM PAYSON & CO","12/31/2022","1,368","21,130",""
"WETHERBY ASSET MANAGEMENT INC","12/31/2022","1,339","20,677",""
"Richard P Slaughter Associates Inc","12/31/2022","1,322","20,429",""
"Brinker Capital Investments, LLC","12/31/2022","1,317","20,337",""
"Polar Asset Management Partners Inc.","12/31/2022","1,293","20,000",""
"D. E. Shaw & Co., Inc.","12/31/2022","1,295","20,000","put"
"Pearl River Capital, LLC","12/31/2022","1,270","19,617",""
"PRIO WEALTH LIMITED PARTNERSHIP","12/31/2022","1,251","19,320",""
"HORIZON KINETICS ASSET MANAGEMENT LLC","12/31/2022","1,230","19,000",""
"Valmark Advisers, Inc.","12/31/2022","1,224","18,902",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2022","1,222","18,900","call"
"Cubist Systematic Strategies, LLC","12/31/2022","1,205","18,619",""
"Vontobel Holding Ltd.","12/31/2022","1,192","18,434",""
"Lombard Odier Asset Management (Switzerland) SA","12/31/2022","1,609","18,358",""
"Steward Partners Investment Advisory, LLC","12/31/2022","1,170","18,082",""
"Cetera Advisors LLC","12/31/2022","1,148","17,730",""
"Bayesian Capital Management, LP","12/31/2022","1,133","17,506",""
"PAYDEN & RYGEL","12/31/2022","1,133","17,500",""
"Qtron Investments LLC","12/31/2022","1,112","17,191",""
"Massachusetts Wealth Management","12/31/2022","1,179","17,034",""
"VALLEY NATIONAL ADVISERS INC","12/31/2022","1,073","16,675",""
"Gulf International Bank (UK) Ltd","12/31/2022","1,077","16,655",""
"Boston Trust Walden Corp","12/31/2022","1,078","16,650",""
"COBBLESTONE CAPITAL ADVISORS LLC /NY/","12/31/2022","1,076","16,630",""
"Brookstone Capital Management","12/31/2022","1,057","16,461",""
"SkyOak Wealth, LLC","12/31/2022","1,065","16,454",""
"Empowered Funds, LLC","12/31/2022","1,064","16,431",""
"GLENMEDE TRUST CO NA","12/31/2022","1,052","16,247",""
"BROOKFIELD Corp /ON/","12/31/2022","1,034","16,000",""
"DONALDSON CAPITAL MANAGEMENT, LLC","12/31/2022","1,032","15,938",""
"CENTRAL TRUST Co","12/31/2022","1,018","15,721",""
"Banque Cantonale Vaudoise","12/31/2022","997","15,417",""
"Quilter Plc","12/31/2022","976","15,075",""
"AMERICAN ASSETS INC","12/31/2022","971","15,000",""
"Sky Investment Group LLC","12/31/2022","968","14,950",""
"Cetera Investment Advisers","12/31/2022","960","14,838",""
"BESSEMER GROUP INC","12/31/2022","958","14,785",""
"SIGNATUREFD, LLC","12/31/2022","947","14,638",""
"SILVERLAKE WEALTH MANAGEMENT LLC","12/31/2022","943","14,566",""
"MITCHELL CAPITAL MANAGEMENT CO","12/31/2022","909","14,051",""
"SEI INVESTMENTS CO","12/31/2022","909","14,046",""
"Quantinno Capital Management LP","12/31/2022","906","13,990",""
"XTX Topco Ltd","12/31/2022","904","13,967",""
"Cerity Partners LLC","12/31/2022","887","13,705",""
"Pacer Advisors, Inc.","12/31/2022","880","13,596",""
"ASSETMARK, INC","12/31/2022","875","13,518",""
"RITHOLTZ WEALTH MANAGEMENT","12/31/2022","854","13,192",""
"MML INVESTORS SERVICES, LLC","12/31/2022","847","13,075",""
"Squarepoint Ops LLC","12/31/2022","835","12,897",""
"KEYBANK NATIONAL ASSOCIATION/OH","12/31/2022","834","12,888",""
"CAPITAL FUND MANAGEMENT S.A.","12/31/2022","822","12,700","put"
"AVANTAX ADVISORY SERVICES, INC.","12/31/2022","817","12,625",""
"Cyndeo Wealth Partners, LLC","12/31/2022","806","12,460",""
"PATHSTONE FAMILY OFFICE, LLC","12/31/2022","1,174","12,413",""
"PATHSTONE FAMILY OFFICE, LLC","12/31/2022","811","12,413",""
"Plante Moran Financial Advisors, LLC","12/31/2022","803","12,412",""
"D.A. DAVIDSON & CO.","12/31/2022","806","12,360",""
"Tower Research Capital LLC (TRC)","12/31/2022","790","12,197",""
"Veriti Management LLC","12/31/2022","789","12,192",""
"Campion Asset Management","12/31/2022","785","12,133",""
"TD PRIVATE CLIENT WEALTH LLC","12/31/2022","771","11,912",""
"Forum Financial Management, LP","12/31/2022","767","11,852",""
"COMMONS CAPITAL, LLC","12/31/2022","763","11,794",""
"Probity Advisors, Inc.","12/31/2022","750","11,591",""
"OPPENHEIMER & CO INC","12/31/2022","747","11,548",""
"EVERGREEN CAPITAL MANAGEMENT LLC","12/31/2022","734","11,340",""
"Vanguard Personalized Indexing Management, LLC","12/31/2022","731","11,290",""
"NORTHERN TRUST CORP","12/31/2022","729","11,266",""
"TOWER BRIDGE ADVISORS","12/31/2022","729","11,258",""
"Versor Investments LP","12/31/2022","717","11,100",""
"Archer Investment Corp","12/31/2022","712","11,000",""
"Community Bank, N.A.","12/31/2022","710","10,977",""
"M&G INVESTMENT MANAGEMENT LTD","12/31/2022","707","10,892",""
"Y-Intercept (Hong Kong) Ltd","12/31/2022","704","10,876",""
"Penobscot Investment Management Company, Inc.","12/31/2022","702","10,854",""
"Laurel Wealth Advisors, Inc.","12/31/2022","690","10,659",""
"Family Management Corp","12/31/2022","679","10,500",""
"Eqis Capital Management, Inc.","12/31/2022","675","10,425",""
"BURNEY CO/","12/31/2022","667","10,311",""
"Hartford Financial Management Inc.","12/31/2022","666","10,298",""
"FARMERS & MERCHANTS INVESTMENTS INC","12/31/2022","665","10,279",""
"DAVIS R M INC","12/31/2022","664","10,249",""
"RAYMOND JAMES TRUST N.A.","12/31/2022","657","10,143",""
"Allworth Financial LP","12/31/2022","653","10,084",""
"HARBOUR INVESTMENTS, INC.","12/31/2022","639","9,871",""
"Henry James International Management Inc.","12/31/2022","638","9,856",""
"RESOLUTE FINANCIAL, LLC","12/31/2022","637","9,842",""
"ACORN FINANCIAL ADVISORY SERVICES INC /ADV","12/31/2022","631","9,750",""
