"Manager","Report Date","Value ($000)","Shares","Option Type"
"MILLENNIUM MANAGEMENT LLC","12/31/2024","32,658","427,500","put"
"ROYAL LONDON ASSET MANAGEMENT LTD","12/31/2024","22,218","417,319",""
"FORSTA AP-FONDEN","12/31/2024","22,184","416,900",""
"Lansforsakringar Fondforvaltning AB (publ)","12/31/2024","21,279","399,906",""
"Mn Services Vermogensbeheer B.V.","12/31/2024","20,609","387,300",""
"AXA S.A.","12/31/2024","20,427","383,695",""
"TWO SIGMA ADVISERS, LP","12/31/2024","20,401","383,200",""
"NEUBERGER BERMAN GROUP LLC","12/31/2024","20,262","380,783",""
"Candriam S.C.A.","12/31/2024","19,288","362,475",""
"OMERS ADMINISTRATION Corp","12/31/2024","19,212","361,052",""
"GODSEY & GIBB, INC","12/31/2024","17,800","334,340",""
"AMERICAN CENTURY COMPANIES INC","12/31/2024","17,789","334,137",""
"PEAK6 LLC","12/31/2024","17,659","331,700","put"
"MILLENNIUM MANAGEMENT LLC","12/31/2024","24,914","325,800","call"
"Man Group plc","12/31/2024","17,234","323,711",""
"Varma Mutual Pension Insurance Co","12/31/2024","17,187","322,998",""
"DORCHESTER WEALTH MANAGEMENT Co","12/31/2024","15,822","302,234",""
"Heathbridge Capital Management Ltd.","12/31/2024","16,072","302,200",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2024","15,876","298,200","put"
"COMMONWEALTH OF PENNSYLVANIA PUBLIC SCHOOL EMPLS RETRMT SYS","12/31/2024","15,466","290,664",""
"Advisors Capital Management, LLC","12/31/2024","15,456","290,324",""
"USS Investment Management Ltd","12/31/2024","14,501","272,534",""
"HSBC HOLDINGS PLC","12/31/2024","14,401","270,000","call"
"Sienna Gestion","12/31/2024","14,213","267,093",""
"Coleford Investment Management Ltd.","12/31/2024","13,476","253,707",""
"Mitsubishi UFJ Trust & Banking Corp","12/31/2024","12,623","236,713",""
"Skandinaviska Enskilda Banken AB (publ)","12/31/2024","12,513","235,623",""
"Erste Asset Management GmbH","12/31/2024","12,271","231,547",""
"Balyasny Asset Management L.P.","12/31/2024","12,262","230,332",""
"BANK OF AMERICA CORP /DE/","12/31/2024","11,979","225,000","put"
"Qube Research & Technologies Ltd","12/31/2024","11,795","221,840",""
"Crossmark Global Holdings, Inc.","12/31/2024","11,574","217,390",""
"Onex Canada Asset Management Inc.","12/31/2024","11,454","215,139",""
"Bridgewater Associates, LP","12/31/2024","11,205","210,583",""
"Federation des caisses Desjardins du Quebec","12/31/2024","11,069","208,283",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2024","11,042","207,511",""
"CenterBook Partners LP","12/31/2024","10,936","205,415",""
"CANERECTOR INC","12/31/2024","20,966","200,000",""
"Utah Retirement Systems","12/31/2024","10,505","197,427",""
"LOUISBOURG INVESTMENTS INC.","12/31/2024","10,218","192,027",""
"PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO","12/31/2024","10,175","191,229",""
"HighTower Advisors, LLC","12/31/2024","9,723","182,629",""
"JANUS HENDERSON GROUP PLC","12/31/2024","9,177","172,347",""
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC","12/31/2024","9,104","171,179",""
"Cubist Systematic Strategies, LLC","12/31/2024","9,040","169,800","call"
"Public Sector Pension Investment Board","12/31/2024","8,925","167,729",""
"American Assets Investment Management, LLC","12/31/2024","8,784","165,000",""
"Maryland State Retirement & Pension System","12/31/2024","8,354","157,036",""
"K.J. Harrison & Partners Inc","12/31/2024","8,157","153,745",""
"Walleye Capital LLC","12/31/2024","8,177","153,600","put"
"Quinn Opportunity Partners LLC","12/31/2024","8,134","152,791",""
"LPL Financial LLC","12/31/2024","7,920","148,769",""
"RAYMOND JAMES FINANCIAL INC","12/31/2024","7,864","147,721",""
"Lorne Steinberg Wealth Management Inc.","12/31/2024","7,841","147,442",""
"PEAK6 LLC","12/31/2024","7,751","145,600","call"
"Modera Wealth Management, LLC","12/31/2024","7,008","131,638",""
"ALLIANCEBERNSTEIN L.P.","12/31/2024","6,927","130,119",""
"Creative Planning","12/31/2024","6,917","129,929",""
"Walleye Capital LLC","12/31/2024","6,846","128,600","call"
"Forge First Asset Management Inc.","12/31/2024","6,760","127,100",""
"WOLVERINE TRADING, LLC","12/31/2024","6,714","126,500","put"
"Generali Asset Management SPA SGR","12/31/2024","9,659","126,222",""
"Claret Asset Management Corp","12/31/2024","6,638","124,751",""
"INTECH INVESTMENT MANAGEMENT LLC","12/31/2024","6,637","124,730",""
"Ensign Peak Advisors, Inc","12/31/2024","6,542","122,953",""
"NewSquare Capital LLC","12/31/2024","6,452","122,940",""
"BARCLAYS PLC","12/31/2024","6,493","121,962",""
"Avanza Fonder AB","12/31/2024","9,222","120,513",""
"Lombard Odier Asset Management (Europe) Ltd","12/31/2024","13,187","119,830",""
"Value Partners Investments Inc.","12/31/2024","6,293","118,337",""
"Value Partners Investments Inc.","12/31/2024","9,056","118,337",""
"PEAK6 LLC","12/31/2024","6,292","118,190",""
"Keystone Financial Planning, Inc.","12/31/2024","6,267","117,713",""
"Allianz Asset Management GmbH","12/31/2024","6,179","116,154",""
"Eagle Ridge Investment Management","12/31/2024","6,141","115,359",""
"M. Kulyk & Associates, LLC","12/31/2024","5,870","110,261",""
"Mediolanum International Funds Ltd","12/31/2024","5,792","109,582",""
"Gold Investment Management Ltd.","12/31/2024","5,752","108,081",""
"Squarepoint Ops LLC","12/31/2024","5,632","105,800","call"
"WOLVERINE TRADING, LLC","12/31/2024","5,530","104,185",""
"COMMONWEALTH EQUITY SERVICES, LLC","12/31/2024","5,527","103,822",""
"Credit Agricole S A","12/31/2024","5,488","103,088",""
"Anson Funds Management LP","12/31/2024","5,324","100,000","call"
"Corient Private Wealth LLC","12/31/2024","5,282","99,219",""
"Walleye Trading LLC","12/31/2024","5,111","96,000","put"
"Genus Capital Management Inc.","12/31/2024","4,992","93,823","put"
"WOLVERINE TRADING, LLC","12/31/2024","4,809","90,600","call"
"LMR Partners LLP","12/31/2024","4,706","88,400","call"
"Fiduciary Trust Co","12/31/2024","4,655","87,448",""
"Walleye Capital LLC","12/31/2024","4,413","82,899",""
"HENNESSY ADVISORS INC","12/31/2024","4,360","81,900",""
"Graham Capital Management, L.P.","12/31/2024","4,325","81,236",""
"Metis Global Partners, LLC","12/31/2024","4,258","79,991",""
"MARSHALL WACE, LLP","12/31/2024","4,180","78,520",""
"M&T BANK CORP","12/31/2024","4,122","77,435",""
"Beaton Management Co. Inc.","12/31/2024","4,029","75,672",""
"Twin Tree Management, LP","12/31/2024","3,909","73,441",""
"Cumberland Partners Ltd","12/31/2024","3,885","73,151",""
"Stablepoint Partners, LLC","12/31/2024","3,879","72,870",""
"JTC Employer Solutions Trustee Ltd","12/31/2024","3,790","71,315",""
"RESOURCES MANAGEMENT CORP /CT/ /ADV","12/31/2024","3,779","70,984",""
"AMERIPRISE FINANCIAL INC","12/31/2024","4,647","70,716",""
"UBS Group AG","12/31/2024","3,638","68,338","call"
"WELCH & FORBES LLC","12/31/2024","3,565","66,974",""
"NATIXIS","12/31/2024","3,530","66,320",""
"Rempart Asset Management Inc.","12/31/2024","3,502","65,930",""
"Pacifica Partners Inc.","12/31/2024","3,489","65,777",""
"UBS Group AG","12/31/2024","3,410","64,054","put"
"STIFEL FINANCIAL CORP","12/31/2024","3,385","63,593",""
"Te Ahumairangi Investment Management Ltd","12/31/2024","3,383","63,581",""
"UNIVEST FINANCIAL Corp","12/31/2024","3,232","60,710",""
"BESSEMER GROUP INC","12/31/2024","3,218","60,519",""
"UNITED SERVICES AUTOMOBILE ASSOCIATION","12/31/2024","6,312","57,472",""
"ENVESTNET ASSET MANAGEMENT INC","12/31/2024","3,050","57,288",""
"Assenagon Asset Management S.A.","12/31/2024","3,040","57,162",""
"Harvest Portfolios Group Inc.","12/31/2024","2,993","56,224",""
"PCJ Investment Counsel Ltd.","12/31/2024","2,945","55,390",""
"Ewing Morris & Co. Investment Partners Ltd.","12/31/2024","4,226","55,221",""
"Parallax Volatility Advisers, L.P.","12/31/2024","2,843","53,400","put"
"Auto-Owners Insurance Co","12/31/2024","2,708","50,875",""
"GOLDMAN SACHS GROUP INC","12/31/2024","2,662","50,000","call"
"Cubist Systematic Strategies, LLC","12/31/2024","2,592","48,700","put"
"BALDWIN WEALTH PARTNERS LLC/MA","12/31/2024","2,490","46,775",""
"TRUST CO OF VERMONT","12/31/2024","2,445","45,936",""
"Numerai GP LLC","12/31/2024","2,413","45,329",""
"OSAIC HOLDINGS, INC.","12/31/2024","2,407","45,194",""
"Cardinal Capital Management","12/31/2024","2,379","44,685",""
"Creegan & Nassoura Financial Group, LLC","12/31/2024","2,377","44,655",""
"SHELL ASSET MANAGEMENT CO","12/31/2024","2,361","44,372",""
"WASATCH ADVISORS LP","12/31/2024","2,308","43,420",""
"Cetera Investment Advisers","12/31/2024","2,291","43,034",""
"NATIXIS ADVISORS, LLC","12/31/2024","2,274","42,705",""
"NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO","12/31/2024","2,264","42,541",""
"Lombard Odier Asset Management (Switzerland) SA","12/31/2024","4,666","42,399",""
"Tacita Capital Inc","12/31/2024","2,174","40,935",""
"Generali Investments CEE, investicni spolecnost, a.s.","12/31/2024","2,076","39,000",""
"PRINCIPAL FINANCIAL GROUP INC","12/31/2024","2,059","38,700",""
"Mariner, LLC","12/31/2024","2,053","38,566",""
"Cassaday & Co Wealth Management LLC","12/31/2024","2,034","38,206",""
"Quantinno Capital Management LP","12/31/2024","1,979","37,172",""
"TABLEAUX LLC","12/31/2024","1,960","36,819",""
"Squarepoint Ops LLC","12/31/2024","1,952","36,675",""
"Nebula Research & Development LLC","12/31/2024","1,902","35,735",""
"Rathbones Group PLC","12/31/2024","1,857","34,899",""
"Ilmarinen Mutual Pension Insurance Co","12/31/2024","1,828","34,383",""
"Pathway Financial Advisers, LLC","12/31/2024","1,811","34,028",""
"GRIMES & COMPANY, INC.","12/31/2024","1,766","33,176",""
"LMR Partners LLP","12/31/2024","1,756","33,000","put"
"Equitable Holdings, Inc.","12/31/2024","1,752","32,924",""
"CAPITAL FUND MANAGEMENT S.A.","12/31/2024","1,751","32,900","call"
"Claro Advisors LLC","12/31/2024","1,691","31,762",""
"Dynamic Technology Lab Private Ltd","12/31/2024","1,686","31,664",""
"HORIZON KINETICS ASSET MANAGEMENT LLC","12/31/2024","1,647","30,950",""
"PARK CIRCLE Co","12/31/2024","1,586","29,800",""
"Cambridge Investment Research Advisors, Inc.","12/31/2024","1,556","29,223",""
"PNC Financial Services Group, Inc.","12/31/2024","1,541","28,948",""
"WealthTrust Axiom LLC","12/31/2024","1,537","28,871",""
"Janney Montgomery Scott LLC","12/31/2024","1,504","28,247",""
"GROUP ONE TRADING LLC","12/31/2024","1,481","27,825",""
"Moors & Cabot, Inc.","12/31/2024","1,471","27,630",""
"LVM CAPITAL MANAGEMENT LTD/MI","12/31/2024","1","27,181",""
"Weaver C. Barksdale & Associates, Inc.","12/31/2024","1,368","25,691",""
"Mutual Advisors, LLC","12/31/2024","1,370","24,779",""
"Focus Partners Wealth","12/31/2024","1,307","24,560",""
"Family Legacy, Inc.","12/31/2024","1,328","24,516",""
"Rockefeller Capital Management L.P.","12/31/2024","1,303","24,478",""
"HIGHLAND CAPITAL MANAGEMENT, LLC","12/31/2024","1,299","24,400",""
"PINNACLE ASSOCIATES LTD","12/31/2024","1,286","24,159",""
"LMR Partners LLP","12/31/2024","1,285","24,143",""
"Applied Capital LLC/FL","12/31/2024","1,275","23,961",""
"Cardinal Capital Management, Inc.","12/31/2024","1,262","23,770",""
"Hudson Portfolio Management LLC","12/31/2024","1,261","23,693",""
"Main Line Retirement Advisors, LLC","12/31/2024","1,238","23,259",""
"Cerity Partners LLC","12/31/2024","1,322","23,186",""
"FOSTER & MOTLEY INC","12/31/2024","1,225","23,000",""
"LRI Investments, LLC","12/31/2024","1,224","22,991",""
"Stratos Wealth Partners, LTD.","12/31/2024","1,200","22,548",""
"Tower Research Capital LLC (TRC)","12/31/2024","1,182","22,213",""
"SUMITOMO LIFE INSURANCE CO","12/31/2024","1,171","22,012",""
"Sumitomo Mitsui DS Asset Management Company, Ltd","12/31/2024","1,171","22,012",""
"Probity Advisors, Inc.","12/31/2024","1,168","21,947",""
"SIMPLEX TRADING, LLC","12/31/2024","1,162","21,835",""
"Squarepoint Ops LLC","12/31/2024","1,149","21,600","put"
"PLIMOTH TRUST CO LLC","12/31/2024","1,134","21,317",""
"&PARTNERS","12/31/2024","1,140","21,189",""
"Bard Financial Services, Inc.","12/31/2024","1,125","21,140",""
"Investors Research Corp","12/31/2024","1,120","21,042",""
"Integrated Wealth Concepts LLC","12/31/2024","1,096","20,600",""
"JONES FINANCIAL COMPANIES LLLP","12/31/2024","1,092","20,527",""
"PRUDENTIAL PLC","12/31/2024","1,079","20,300",""
"RHUMBLINE ADVISERS","12/31/2024","1,069","20,096",""
"YOUSIF CAPITAL MANAGEMENT, LLC","12/31/2024","1,045","19,641",""
"Focus Partners Wealth","12/31/2024","1,307","19,560",""
"Pathstone Holdings, LLC","12/31/2024","1,041","19,540",""
"DAVIS-REA LTD.","12/31/2024","1,005","18,935",""
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main","12/31/2024","999","18,789",""
"Forum Financial Management, LP","12/31/2024","996","18,711",""
"COMMONS CAPITAL, LLC","12/31/2024","967","18,174",""
"Y-Intercept (Hong Kong) Ltd","12/31/2024","901","16,938",""
"Valmark Advisers, Inc.","12/31/2024","900","16,921",""
"Vise Technologies, Inc.","12/31/2024","896","16,846",""
"COBBLESTONE CAPITAL ADVISORS LLC /NY/","12/31/2024","894","16,794",""
"UMB Bank, n.a.","12/31/2024","889","16,701",""
"SIGNATUREFD, LLC","12/31/2024","883","16,587",""
"BLAIR WILLIAM & CO/IL","12/31/2024","882","16,580",""
"TRUIST FINANCIAL CORP","12/31/2024","880","16,530",""
"US BANCORP \DE\","12/31/2024","879","16,512",""
"Private Advisor Group, LLC","12/31/2024","859","16,148",""
"Vanguard Personalized Indexing Management, LLC","12/31/2024","859","16,142",""
"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC","12/31/2024","858","16,126",""
"Sanctuary Advisors, LLC","12/31/2024","921","16,062",""
"Sequoia Financial Advisors, LLC","12/31/2024","847","15,910",""
"Cyndeo Wealth Partners, LLC","12/31/2024","822","15,452",""
"Pacer Advisors, Inc.","12/31/2024","805","15,121",""
"Orion Porfolio Solutions, LLC","12/31/2024","799","15,025",""
"Orion Portfolio Solutions, LLC","12/31/2024","799","15,025",""
"AMERICAN ASSETS INC","12/31/2024","798","15,000",""
"CENTRAL TRUST Co","12/31/2024","796","14,953",""
"CAPITAL FUND MANAGEMENT S.A.","12/31/2024","793","14,900","put"
"Balanced Rock Investment Advisors LLC","12/31/2024","789","14,820",""
"MANGROVE PARTNERS IM, LLC","12/31/2024","777","14,600",""
"Crescent Sterling, Ltd.","12/31/2024","776","14,584",""
"TRANSCEND CAPITAL ADVISORS, LLC","12/31/2024","757","14,236",""
"D.A. DAVIDSON & CO.","12/31/2024","748","14,052",""
"HM PAYSON & CO","12/31/2024","735","13,816",""
"Fullerton Fund Management Co Ltd.","12/31/2024","723","13,600",""
"ARS Wealth Advisors Group, LLC","12/31/2024","706","13,270",""
"Engineers Gate Manager LP","12/31/2024","702","13,206",""
"Radnor Capital Management, LLC","12/31/2024","703","13,199",""
"Laird Norton Wetherby Wealth Management, LLC","12/31/2024","697","13,093",""
"Kovitz Investment Group Partners, LLC","12/31/2024","681","12,801",""
"Kestra Advisory Services, LLC","12/31/2024","677","12,718",""
"DONALDSON CAPITAL MANAGEMENT, LLC","12/31/2024","674","12,665",""
"Leo Wealth, LLC","12/31/2024","672","12,630",""
"Entropy Technologies, LP","12/31/2024","656","12,328",""
"MERCER GLOBAL ADVISORS INC /ADV","12/31/2024","653","12,272",""
"CIBC Private Wealth Group LLC","12/31/2024","662","12,238",""
"Fulton Bank, N.A.","12/31/2024","651","12,228",""
"Vontobel Holding Ltd.","12/31/2024","644","12,118",""
"RITHOLTZ WEALTH MANAGEMENT","12/31/2024","634","11,921",""
"CAPTRUST FINANCIAL ADVISORS","12/31/2024","633","11,898",""
"Plante Moran Financial Advisors, LLC","12/31/2024","616","11,578",""
"SYON CAPITAL LLC","12/31/2024","614","11,533",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2024","606","11,395",""
"Ballentine Partners, LLC","12/31/2024","588","11,057",""
"MML INVESTORS SERVICES, LLC","12/31/2024","586","11,012",""
"Steward Partners Investment Advisory, LLC","12/31/2024","585","11,004",""
"Quinn Opportunity Partners LLC","12/31/2024","585","11,000","call"
"Quilter Plc","12/31/2024","583","10,975",""
"Affinity Capital Advisors, LLC","12/31/2024","578","10,590",""
"NATURAL INVESTMENTS, LLC","12/31/2024","557","10,467",""
"Bridgewater Advisors Inc.","12/31/2024","567","10,381",""
"Hartford Financial Management Inc.","12/31/2024","541","10,176",""
"TI-TRUST, INC","12/31/2024","540","10,144",""
"SILVERLAKE WEALTH MANAGEMENT LLC","12/31/2024","533","10,030",""
"EP Wealth Advisors, LLC","12/31/2024","525","9,868",""
"BURNEY CO/","12/31/2024","517","9,723",""
"KEYBANK NATIONAL ASSOCIATION/OH","12/31/2024","515","9,686",""
"Daiwa Securities Group Inc.","12/31/2024","506","9,500",""
"GLENMEDE TRUST CO NA","12/31/2024","497","9,336",""
"Penobscot Investment Management Company, Inc.","12/31/2024","486","9,144",""
"Apollon Wealth Management, LLC","12/31/2024","483","9,086",""
"CRA Financial Services, LLC","12/31/2024","483","9,083",""
"Carnegie Lake Advisors LLC","12/31/2024","483","9,081",""
"AVANTAX ADVISORY SERVICES, INC.","12/31/2024","479","9,010",""
"IFG Advisory, LLC","12/31/2024","477","8,962",""
"OneDigital Investment Advisors LLC","12/31/2024","468","8,796",""
"EVERGREEN CAPITAL MANAGEMENT LLC","12/31/2024","462","8,681",""
"Sky Investment Group LLC","12/31/2024","457","8,596",""
"180 WEALTH ADVISORS, LLC","12/31/2024","457","8,593",""
"JCIC Asset Management Inc.","12/31/2024","457","8,590",""
"First Affirmative Financial Network","12/31/2024","456","8,567",""
"SkyOak Wealth, LLC","12/31/2024","451","8,485",""
"ADELL HARRIMAN & CARPENTER INC","12/31/2024","451","8,485",""
"BOSTON FINANCIAL MANGEMENT LLC","12/31/2024","450","8,460",""
"Ethic Inc.","12/31/2024","449","8,438",""
"LGT Group Foundation","12/31/2024","441","8,300",""
"Scientech Research LLC","12/31/2024","438","8,245",""
"Bayesian Capital Management, LP","12/31/2024","433","8,145",""
"Five Oceans Advisors","12/31/2024","430","8,093",""
"DAVIS R M INC","12/31/2024","422","7,932",""
"Mystic Asset Management, Inc.","12/31/2024","421","7,925",""
"Clark Capital Management Group, Inc.","12/31/2024","419","7,872",""
"ASAHI LIFE ASSET MANAGEMENT CO., LTD.","12/31/2024","416","7,820",""
